group_id	donor_id	carrier_group	study_id	n_cells_sampled	M02	M03	M04	M05	M06	M09	M10
Lee_2020_Nat_Genet.SMC13__tumor_epithelial	Lee_2020_Nat_Genet.SMC13	tumor_epithelial	Lee_2020_Nat_Genet	2	-0.19118269500999488	-0.395738094999863	0.1510369092863755	0.08495799713770542	-0.46957561199508585	0.2053311358433094	0.14937302653508128
Lee_2020_Nat_Genet.SMC171__normal_epithelial	Lee_2020_Nat_Genet.SMC171	normal_epithelial	Lee_2020_Nat_Genet	41	-0.15568574749240977	-0.5272429386282302	0.10502032074634295	0.2841716739088546	-0.426271227563702	0.24186291983359678	0.17935182638362313
Lee_2020_Nat_Genet.SMC171__tumor_cancer	Lee_2020_Nat_Genet.SMC171	tumor_cancer	Lee_2020_Nat_Genet	74	0.011965899234138577	-0.41378168977609087	-0.062182048145132396	0.01590604887128285	-0.3378036414585515	-0.11871516522362666	-0.00941372179011102
Lee_2020_Nat_Genet.SMC171__tumor_epithelial	Lee_2020_Nat_Genet.SMC171	tumor_epithelial	Lee_2020_Nat_Genet	7	0.23857638271791587	-0.2188696630718263	-0.5637594638864027	-0.5276730214453874	-0.2449137142076273	-0.6767827038014443	-0.4509110114366844
Li_2017_Nat_Genet.CRC05__normal_epithelial	Li_2017_Nat_Genet.CRC05	normal_epithelial	Li_2017_Nat_Genet	1	-0.3853025977339423	-0.6032753351670341	0.06491489089699926	0.07064924955711051	-0.6799131365728602	-0.2652357283654884	0.05759796305930557
Li_2017_Nat_Genet.CRC01__tumor_cancer	Li_2017_Nat_Genet.CRC01	tumor_cancer	Li_2017_Nat_Genet	1	-0.5545746798862472	-0.66658969501937	0.5402180350320779	0.19504616175915154	-0.636364454043937	-0.015464447111374166	0.7234392033824418
Li_2017_Nat_Genet.CRC09__tumor_cancer	Li_2017_Nat_Genet.CRC09	tumor_cancer	Li_2017_Nat_Genet	1	-0.6613060071745588	-0.6742052075600008	0.505890178739334	0.383769378108949	-0.6252865688286586	0.6436799672900492	0.6592889919120102
Li_2017_Nat_Genet.CRC10__tumor_cancer	Li_2017_Nat_Genet.CRC10	tumor_cancer	Li_2017_Nat_Genet	1	-0.7106656603977577	-0.7252764920324789	0.6658361430204901	0.7845400412263213	-0.7318279523525456	0.5556133146479328	0.786594535236052
Li_2023_Cancer_Cell.P11__tumor_cancer	Li_2023_Cancer_Cell.P11	tumor_cancer	Li_2023_Cancer_Cell	7	-0.218826140678869	-0.4284547534924073	0.049428043738067494	0.06424077828451527	-0.4006659943636376	0.1493951463546133	0.023750839312696444
Li_2023_Cancer_Cell.P11__tumor_epithelial	Li_2023_Cancer_Cell.P11	tumor_epithelial	Li_2023_Cancer_Cell	2	-0.08598987652009159	-0.2932780487309541	0.23267332500740717	0.24935911726854385	-0.24453238931600885	-0.027659062828375484	0.40148208105487854
Li_2023_Cancer_Cell.P14__tumor_cancer	Li_2023_Cancer_Cell.P14	tumor_cancer	Li_2023_Cancer_Cell	98	-0.02433688954301705	-0.32471899646506197	-0.04709934116534204	-0.012851225787321069	-0.23624425474762198	-0.11420141568075749	-0.09708723299600773
Li_2023_Cancer_Cell.P14__tumor_epithelial	Li_2023_Cancer_Cell.P14	tumor_epithelial	Li_2023_Cancer_Cell	9	-0.12372350593224327	-0.3694123940270299	0.1606910219978614	0.07407891817620837	-0.16687551308199075	-0.0245874259026458	0.10418422832193015
Li_2023_Cancer_Cell.P18__tumor_cancer	Li_2023_Cancer_Cell.P18	tumor_cancer	Li_2023_Cancer_Cell	234	0.06858094250726951	-0.32019875561217653	-0.114791561188137	-0.15950601117499666	-0.23595315887959242	-0.1735787405994322	-0.17623039504940546
Li_2023_Cancer_Cell.P18__tumor_epithelial	Li_2023_Cancer_Cell.P18	tumor_epithelial	Li_2023_Cancer_Cell	14	-0.22724774718339158	-0.3717125522873399	0.1937504659415865	0.11605681852876304	-0.32534940921144423	0.12516505872748818	0.029770895034580632
Li_2023_Cancer_Cell.P18__normal_epithelial	Li_2023_Cancer_Cell.P18	normal_epithelial	Li_2023_Cancer_Cell	53	-0.22825305173343685	-0.44375712994127037	0.26526898710156527	0.2952673716548815	-0.3038796384447871	0.3043998869851832	0.33636168733245736
Li_2023_Cancer_Cell.P11__normal_epithelial	Li_2023_Cancer_Cell.P11	normal_epithelial	Li_2023_Cancer_Cell	3	-0.05506994771376558	-0.2922156304022523	-0.18717472100579147	-0.17214868321243576	-0.29318151734178755	0.08431800078414306	-0.33830640331825496
Li_2023_Cancer_Cell.P12__tumor_cancer	Li_2023_Cancer_Cell.P12	tumor_cancer	Li_2023_Cancer_Cell	77	0.07573604940896284	-0.19946395087909163	-0.16060867042581048	-0.24863443440761127	-0.16890977444909408	-0.38828890435927416	-0.23191351152313938
Li_2023_Cancer_Cell.P12__tumor_epithelial	Li_2023_Cancer_Cell.P12	tumor_epithelial	Li_2023_Cancer_Cell	2	-0.04350035451319752	-0.1460514859599313	-0.043087176415445946	-0.18807688123575794	-0.2384426335654238	-0.2352077879545229	0.2666137749175659
