pseudobulk_id	specimen_id	donor_id	route	cell_type	n_cells	library_size
HTA11_1938_2000002011__GOB	HTA11_1938_2000002011	HTA11_1938	normal	GOB	88	602027
HTA11_2112_2000002021__GOB	HTA11_2112_2000002021	HTA11_2112	normal	GOB	209	2158621
HTA11_2235_2000001011__GOB	HTA11_2235_2000001011	HTA11_2235	conventional_adenoma	GOB	40	245608
HTA11_2235_2000002021__GOB	HTA11_2235_2000002021	HTA11_2235	normal	GOB	160	1028294
HTA11_2487_2000002011__GOB	HTA11_2487_2000002011	HTA11_2487	normal	GOB	95	402691
HTA11_2951_2000001011__GOB	HTA11_2951_2000001011	HTA11_2951	conventional_adenoma	GOB	147	914075
HTA11_2951_2000002011__GOB	HTA11_2951_2000002011	HTA11_2951	normal	GOB	214	1084686
HTA11_2951_2000002021__GOB	HTA11_2951_2000002021	HTA11_2951	normal	GOB	360	2033551
HTA11_3077_2000002011__GOB	HTA11_3077_2000002011	HTA11_3077	normal	GOB	252	1392223
HTA11_3252_2000002011__GOB	HTA11_3252_2000002011	HTA11_3252	normal	GOB	44	204458
HTA11_3252_2000002021__GOB	HTA11_3252_2000002021	HTA11_3252	normal	GOB	82	410070
HTA11_3361_2000001011__GOB	HTA11_3361_2000001011	HTA11_3361	conventional_adenoma	GOB	821	4470180
HTA11_3361_2000002011__GOB	HTA11_3361_2000002011	HTA11_3361	normal	GOB	207	906835
HTA11_3361_2000002021__GOB	HTA11_3361_2000002021	HTA11_3361	normal	GOB	52	355445
HTA11_3410_2000001011__GOB	HTA11_3410_2000001011	HTA11_3410	conventional_adenoma	GOB	493	2312513
HTA11_3410_2000002021__GOB	HTA11_3410_2000002021	HTA11_3410	normal	GOB	342	2069689
HTA11_347_2000001011__GOB	HTA11_347_2000001011	HTA11_347	conventional_adenoma	GOB	42	443782
HTA11_377_2000001011__GOB	HTA11_377_2000001011	HTA11_377	normal	GOB	120	973251
HTA11_392_3000012011__GOB	HTA11_392_3000012011	HTA11_392	normal	GOB	87	946177
HTA11_411_2000002011__GOB	HTA11_411_2000002011	HTA11_411	normal	GOB	185	1898757
HTA11_411_2000002021__GOB	HTA11_411_2000002021	HTA11_411	normal	GOB	469	3461309
HTA11_5216_2000002011__GOB	HTA11_5216_2000002011	HTA11_5216	normal	GOB	38	212008
HTA11_5216_2000002021__GOB	HTA11_5216_2000002021	HTA11_5216	normal	GOB	87	460910
HTA11_5363_2000002021__GOB	HTA11_5363_2000002021	HTA11_5363	normal	GOB	21	124137
HTA11_546_2000001011__GOB	HTA11_546_2000001011	HTA11_546	conventional_adenoma	GOB	181	1238066
HTA11_546_2000002011__GOB	HTA11_546_2000002011	HTA11_546	normal	GOB	110	1143718
HTA11_546_2000002021__GOB	HTA11_546_2000002021	HTA11_546	normal	GOB	269	3918253
HTA11_6025_2000002011__GOB	HTA11_6025_2000002011	HTA11_6025	normal	GOB	47	414876
HTA11_6134_2000002021__GOB	HTA11_6134_2000002021	HTA11_6134	normal	GOB	22	127390
HTA11_6147_2000002011__GOB	HTA11_6147_2000002011	HTA11_6147	normal	GOB	29	170415
HTA11_6147_2000002021__GOB	HTA11_6147_2000002021	HTA11_6147	normal	GOB	42	366108
HTA11_6310_2000002021__GOB	HTA11_6310_2000002021	HTA11_6310	normal	GOB	63	473180
HTA11_696_2000001011__GOB	HTA11_696_2000001011	HTA11_696	conventional_adenoma	GOB	905	8589884
HTA11_696_2000002011__GOB	HTA11_696_2000002011	HTA11_696	normal	GOB	67	725124
HTA11_696_2000002021__GOB	HTA11_696_2000002021	HTA11_696	normal	GOB	620	6234600
HTA11_78_2000001011__GOB	HTA11_78_2000001011	HTA11_78	conventional_adenoma	GOB	518	2646123
HTA11_78_2000002011__GOB	HTA11_78_2000002011	HTA11_78	normal	GOB	56	570206
HTA11_83_2000002011__GOB	HTA11_83_2000002011	HTA11_83	normal	GOB	137	1313406
HTA11_83_2000002021__GOB	HTA11_83_2000002021	HTA11_83	normal	GOB	219	2519311
HTA11_866_2000001011__GOB	HTA11_866_2000001011	HTA11_866	conventional_adenoma	GOB	595	3493366
HTA11_104_2000002011__TAC	HTA11_104_2000002011	HTA11_104	normal	TAC	59	737218
HTA11_1391_2000001011__TAC	HTA11_1391_2000001011	HTA11_1391	conventional_adenoma	TAC	152	2291413
HTA11_1938_2000001011__TAC	HTA11_1938_2000001011	HTA11_1938	conventional_adenoma	TAC	165	2245624
HTA11_2235_2000001011__TAC	HTA11_2235_2000001011	HTA11_2235	conventional_adenoma	TAC	61	620028
HTA11_2235_2000002021__TAC	HTA11_2235_2000002021	HTA11_2235	normal	TAC	121	1383783
HTA11_2487_2000002011__TAC	HTA11_2487_2000002011	HTA11_2487	normal	TAC	105	746375
HTA11_2951_2000001011__TAC	HTA11_2951_2000001011	HTA11_2951	conventional_adenoma	TAC	69	663932
HTA11_2951_2000002011__TAC	HTA11_2951_2000002011	HTA11_2951	normal	TAC	42	397785
HTA11_2951_2000002021__TAC	HTA11_2951_2000002021	HTA11_2951	normal	TAC	50	536362
HTA11_3077_2000002011__TAC	HTA11_3077_2000002011	HTA11_3077	normal	TAC	28	382483
HTA11_3252_2000002011__TAC	HTA11_3252_2000002011	HTA11_3252	normal	TAC	80	1216024
HTA11_3252_2000002021__TAC	HTA11_3252_2000002021	HTA11_3252	normal	TAC	91	1049168
HTA11_3361_2000001011__TAC	HTA11_3361_2000001011	HTA11_3361	conventional_adenoma	TAC	186	1621688
HTA11_3361_2000002011__TAC	HTA11_3361_2000002011	HTA11_3361	normal	TAC	85	571042
HTA11_3361_2000002021__TAC	HTA11_3361_2000002021	HTA11_3361	normal	TAC	68	703627
HTA11_3410_2000001011__TAC	HTA11_3410_2000001011	HTA11_3410	conventional_adenoma	TAC	182	1081235
HTA11_3410_2000002021__TAC	HTA11_3410_2000002021	HTA11_3410	normal	TAC	269	2698522
