gate	passed
fine_state_adjusted_effect_positive_at_k3_k4_k5	TRUE
fine_state_adjusted_effect_positive_within_all_broad_states_at_k4	TRUE
primary_within_component_positive	TRUE
primary_within_component_larger_than_composition	TRUE
primary_within_fraction_exceeds_half	TRUE
decomposition_reconstruction_error_below_1e-10	TRUE
