partition	k	broad_state	fine_state	route	n_cells	n_donors
validation	5	ABS	ABS_F2	conventional_adenoma	790	12
validation	5	ABS	ABS_F2	normal	3822	18
validation	5	ABS	ABS_F3	conventional_adenoma	1274	12
validation	5	ABS	ABS_F3	normal	5404	18
validation	5	ABS	ABS_F4	conventional_adenoma	840	12
validation	5	ABS	ABS_F4	normal	4294	18
validation	5	ABS	ABS_F5	conventional_adenoma	279	9
validation	5	ABS	ABS_F5	normal	2442	18
validation	5	GOB	GOB_F1	conventional_adenoma	652	12
validation	5	GOB	GOB_F1	normal	1276	18
validation	5	GOB	GOB_F2	conventional_adenoma	446	11
validation	5	GOB	GOB_F2	normal	1050	18
validation	5	GOB	GOB_F3	conventional_adenoma	188	8
validation	5	GOB	GOB_F3	normal	800	17
validation	5	GOB	GOB_F4	conventional_adenoma	134	8
validation	5	GOB	GOB_F4	normal	619	17
validation	5	GOB	GOB_F5	conventional_adenoma	67	6
validation	5	GOB	GOB_F5	normal	604	18
validation	5	TAC	TAC_F1	conventional_adenoma	57	9
validation	5	TAC	TAC_F1	normal	202	17
validation	5	TAC	TAC_F2	conventional_adenoma	72	10
validation	5	TAC	TAC_F2	normal	359	17
validation	5	TAC	TAC_F3	conventional_adenoma	259	11
validation	5	TAC	TAC_F3	normal	1076	18
validation	5	TAC	TAC_F4	conventional_adenoma	93	10
validation	5	TAC	TAC_F4	normal	693	18
validation	5	TAC	TAC_F5	conventional_adenoma	186	11
validation	5	TAC	TAC_F5	normal	1550	18
