k	scope	model	n_strata	n_specimens	n_donors	n_adenoma_strata	n_normal_strata	estimate	standard_error	degrees_of_freedom	ci_low	ci_high	p_value	singular_fit	p_value_BH
3	all	unweighted	264	42	23	63	201	0.0703714422267201	0.0123621619818515	34.7413363795039	0.0452682379812198	0.0954746464722203	2.01233691072633e-06	FALSE	2.68311588096844e-06
3	all	cell_count_weighted	264	42	23	63	201	0.073406163971302	0.0120789959192598	33.3809653948292	0.0488419121878595	0.0979704157547445	7.34975784119537e-07	FALSE	1.46995156823907e-06
3	ABS	unweighted	109	41	22	26	83	0.0868539913566208	0.0133912378032351	32.7641821369509	0.0596018618906358	0.114106120822606	2.40316266366753e-07	FALSE	7.20948799100259e-07
3	ABS	cell_count_weighted	109	41	22	26	83	0.0807393662125788	0.0132963906684474	32.5386508762827	0.0536730776434122	0.107805654781745	8.24466173441399e-07	FALSE	1.49886667348535e-06
3	GOB	unweighted	89	39	23	22	67	0.0709117675413724	0.0107296283015231	33.1357481281103	0.0490855714837127	0.0927379635990322	1.59399588385732e-07	FALSE	7.20948799100259e-07
3	GOB	cell_count_weighted	89	39	23	22	67	0.0705783388184391	0.0109127875079089	33.4595223538214	0.0483876834917653	0.092768994145113	2.3036709098458e-07	FALSE	7.20948799100259e-07
3	TAC	unweighted	66	38	21	15	51	0.0577969469412247	0.0145679437233301	29.221015081306	0.028011942241122	0.0875819516413274	0.000432590091710224	FALSE	0.000519108110052269
3	TAC	cell_count_weighted	66	38	21	15	51	0.0574734812656751	0.0140696456104346	29.8320478602437	0.0287326464092267	0.0862143161221235	0.000304670362533933	FALSE	0.000384846773727073
4	all	unweighted	287	43	23	63	224	0.0776184823159975	0.0117682334100736	35.4061517733032	0.0537374912397139	0.101499473392281	1.21119372722971e-07	FALSE	7.20948799100259e-07
4	all	cell_count_weighted	287	43	23	63	224	0.0766500223247373	0.0117554208330509	34.9850330861325	0.0527848843238519	0.100515160325623	1.6060412272215e-07	FALSE	7.20948799100259e-07
4	ABS	unweighted	135	42	22	30	105	0.0921206817093339	0.0129467609595086	33.8567550167887	0.0658055968742297	0.118435766544438	3.26965663632723e-08	FALSE	7.20948799100259e-07
4	ABS	cell_count_weighted	135	42	22	30	105	0.0845492024404743	0.0129985284296668	34.4097098997833	0.0581445950509973	0.110953809829951	1.81711676112848e-07	FALSE	7.20948799100259e-07
4	GOB	unweighted	91	39	23	21	70	0.0672205369403638	0.0109539193849854	33.511509738365	0.0449475358053446	0.0894935380753831	6.06931585681214e-07	FALSE	1.46995156823907e-06
4	GOB	cell_count_weighted	91	39	23	21	70	0.0674694283981867	0.0110369425629883	33.7279555958454	0.0450329967422819	0.0899058600540916	6.34426242805325e-07	FALSE	1.46995156823907e-06
4	TAC	unweighted	61	36	20	12	49	0.0432410853116897	0.0127914990905677	22.5776465028036	0.0167524360834599	0.0697297345399196	0.00262522477471349	FALSE	0.00300025688538685
4	TAC	cell_count_weighted	61	36	20	12	49	0.0440543323957307	0.0137304234405494	30.1524407215951	0.0160190104050851	0.0720896543863763	0.003156777700839	FALSE	0.00344375749182437
5	all	unweighted	337	42	23	68	269	0.0683677751150631	0.0114919272225656	34.8365595984997	0.0450340092154478	0.0917015410146784	9.16344890629513e-07	FALSE	1.49886667348535e-06
5	all	cell_count_weighted	337	42	23	68	269	0.0707177445205876	0.0117971657673782	33.398412245732	0.0467271024731812	0.094708386567994	9.36791670928341e-07	FALSE	1.49886667348535e-06
5	ABS	unweighted	163	41	22	34	129	0.0832405292809265	0.0125073276185731	32.5453075950621	0.057780667429215	0.108700391132638	1.52039942923268e-07	FALSE	7.20948799100259e-07
5	ABS	cell_count_weighted	163	41	22	34	129	0.0801351802391865	0.0130321811793777	32.225912693737	0.0535967922920839	0.106673568186289	6.85649527019467e-07	FALSE	1.46995156823907e-06
5	GOB	unweighted	104	38	23	24	80	0.0674777742851285	0.0114675993724591	32.5523387290066	0.0441345730536735	0.0908209755165834	1.42580038319572e-06	FALSE	2.01289465862925e-06
5	GOB	cell_count_weighted	104	38	23	24	80	0.0669622859473165	0.0112915320690983	32.4981985126696	0.0439760081122829	0.0899485637823501	1.25371909728807e-06	FALSE	1.88057864593211e-06
5	TAC	unweighted	70	35	21	10	60	0.0357431595994848	0.0125358272142598	34.4218629238547	0.0102787890663954	0.0612075301325742	0.00731068296166508	FALSE	0.00762853874260704
5	TAC	cell_count_weighted	70	35	21	10	60	0.0366009220929233	0.0134757668112913	39.604535403509	0.00935690735956302	0.0638449368262836	0.0097434581392332	FALSE	0.0097434581392332
