module	M02	M03	M04	M05	M06	M09	M10
M02	1	0.958132101576875	-0.930159117943649	-0.941829552669598	0.909029115362568	-0.493770503654852	-0.928920086099537
M03	0.958132101576875	1	-0.849726531051224	-0.902403696766419	0.950400083152992	-0.430369786659265	-0.859564923670131
M04	-0.930159117943649	-0.849726531051224	1	0.923441454328604	-0.83742951068099	0.359176409227165	0.942728518454469
M05	-0.941829552669598	-0.902403696766419	0.923441454328604	1	-0.823052161610292	0.620138994871445	0.97140790539472
M06	0.909029115362568	0.950400083152992	-0.83742951068099	-0.823052161610292	1	-0.196846449069843	-0.823509058990355
M09	-0.493770503654852	-0.430369786659265	0.359176409227165	0.620138994871445	-0.196846449069843	1	0.527015641888498
M10	-0.928920086099537	-0.859564923670131	0.942728518454469	0.97140790539472	-0.823509058990355	0.527015641888498	1
