module	module_size	strict_programme_overlap	heldout_direction	heldout_common_fdr	minimum_preservation_z	pooled_effect	ci_low	ci_high	p_value	i2_percent	external_gate_pass	technical_gate_pass	becker_effect_sd	becker_p_value	rna_atac_patient_median_spearman_rho	rna_atac_patient_median_spearman_p	atlas_effect_sd	atlas_p_value	spatial_median_direction_oriented_effect	spatial_positive_section_fraction	spatial_p_paired_wilcoxon	n_independent_datasets_positive_reversal	one_model_n3_all_positive	perturbation_gate_pass	n_sentinel_proteins	n_regulatory_nodes
M02	2184	364	Up	4.28220675698522e-05	45.0571167932276	0.324227000465889	-0.282886596941165	0.931340597872943	0.212283170210542	73.8784360724302	False	True	1.17084739264927	2.66737083121939e-07	-0.0209790209790209	0.948402225236522	0.227134417744435	0.0586608915095849	0.176811634400503	1	0.03125	6	False	True	1	0
M03	993	265	Up	1.34161104385328e-10	26.3485590657643	-0.0936731914003547	-0.744951687325898	0.557605304525189	0.710049318037936	70.0857555971905	False	True	0.17579355406778	0.364212753201564	0.195804195804196	0.541935885731317	-0.0044778400040873	0.968794571568787	0.143829812919629	1	0.03125	4	True	True	3	0
M06	231	88	Up	2.62447248786182e-15	18.469443227698	0.171965466786307	-0.37702456890329	0.720955502475903	0.433544010699393	40.7698893901239	False	True	1.02094025106797	0.0001294924702975	-0.125874125874126	0.696683109395766	0.289297564745653	0.0167772797731371	0.139718366633136	1	0.03125	4	True	True	3	0
M04	812	376	Down	3.65681378072265e-19	32.3667503254731	0.255173346828672	-0.642766686807714	1.15311338046506	0.474246638986949	89.3691166401557	False	True	-0.325829680815607	0.0401119118982966	0.13986013986014	0.664633161792668	0.891120481602661	1.63258965474155e-10	-0.210604445277974	0	0.03125	3	True	True	3	0
M05	512	221	Down	8.29136396580225e-20	23.2704148225679	-0.170574249680794	-1.23433051537902	0.893182016017436	0.679202732430669	91.7184593845217	False	True	-0.0204477800639293	0.937905026535556	-0.566433566433566	0.0548421197754079	0.952580159966806	3.47605518704912e-09	-0.241362066997674	0	0.03125	3	True	True	2	0
M09	72	27	Down	3.34140880931671e-06	7.90106346433445	-0.91462871382791	-2.03346476054959	0.204207332893768	0.0857565434724217	94.3231909140884	False	True	-1.0385308653276	1.34539024616268e-05	-0.685314685314685	0.0139059688143627	0.726693286939205	1.86189284746642e-05	-0.375336246830425	0	0.03125	2	True	True	3	0
M10	47	11	Down	7.47834859750501e-05	3.13991531742557	0.0381279928790735	-0.768688101636958	0.844944087395104	0.901945763451018	87.2774835918959	False	True	0.188759856730791	0.391201123659323	-0.412587412587413	0.182563978573167	0.60911030279757	4.48446332556894e-05	-0.21419295306246	0	0.03125	4	True	True	1	0
