gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
ASCL2	up	2.33729157800139	11.141160505107	5.91030606856072e-26	8.444023449023271e-09	430	protein-coding	O	ASCL2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX5A	down	-0.823770690484804	-11.1222545448637	6.69803287338524e-26	6.73087474645229e-10	9377	protein-coding	O	COX5A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
C15orf48	down	-1.04305371600802	-10.6185205634098	1.33949562592643e-23	1.73645664514055e-09	84419	protein-coding	O	COXFA4L3	unique_ncbi_synonym	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UGT2A3	down	-1.95713316615748	-10.6049524844912	1.45207320609361e-23	3.24486340574914e-06	79799	protein-coding	O	UGT2A3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SRI	down	-0.963402749257993	-10.2092913666186	6.73284483285991e-22	6.08925999401322e-07	6717	protein-coding	O	SRI	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHP2	down	-1.13496646810407	-10.1116373405453	1.75348393408365e-21	1.25128314099054e-06	63928	protein-coding	O	CHP2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LGALS3	down	-0.909435258997805	-9.88414983421536	1.5420820487121502e-20	3.27373407826848e-07	3958	protein-coding	O	LGALS3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AXIN2	up	1.30898658015039	9.66927068210392	1.08005382271187e-19	5.40602865406992e-06	8313	protein-coding	O	AXIN2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CD9	down	-0.769293825677803	-9.45233852833541	8.089328136990411e-19	5.64987021611785e-08	928	protein-coding	O	CD9	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PCK1	down	-1.92397587099669	-8.66474453745873	6.64325152878086e-16	2.0856462750185e-06	5105	protein-coding	O	PCK1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RNF43	up	1.23227112231595	8.64030501799476	8.085878926258e-16	1.01267715132102e-07	54894	protein-coding	O	RNF43	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LRRC19	down	-1.19845739062046	-8.59308949629806	1.16000425640329e-15	3.08000886573012e-07	64922	protein-coding	O	LRRC19	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TPT1	down	-0.761674707244444	-8.56017338925551	1.5188351443404602e-15	9.0312119560565e-07	7178	protein-coding	O	TPT1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HSPA1A	down	-0.995555348797932	-8.52666613672944	1.99604732403662e-15	9.79439392922998e-08	3303	protein-coding	O	HSPA1A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
REG1A	up	6.45435182201207	8.29897787299724	1.26955117818773e-14	4.30617778703801e-07	5967	protein-coding	O	REG1A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CAMK2N1	down	-0.794745919557529	-8.1712266822867	3.43783560250247e-14	1.94377724412886e-05	55450	protein-coding	O	CAMK2N1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CYCS	down	-0.96306439391685	-8.15441174142962	3.8981265209669e-14	3.98389940259314e-07	54205	protein-coding	O	CYCS	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX6C	down	-0.740037508915188	-7.88929682827129	3.16242030382632e-13	1.98271053886145e-06	1345	protein-coding	O	COX6C	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
REG4	up	2.79818047069346	7.74818424729971	8.42117885180488e-13	2.60547144564391e-06	83998	protein-coding	O	REG4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EPHB3	up	1.45379374317603	7.70579333928579	1.10206246858218e-12	0.0034318201215363	2049	protein-coding	O	EPHB3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GDF15	up	1.21716720627674	7.66804698694982	1.42145907636773e-12	0.0006966725154867	9518	protein-coding	O	GDF15	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PRDX6	down	-0.924076756997789	-7.3236865285413	1.4912143930923298e-11	4.00001471052569e-05	9588	protein-coding	O	PRDX6	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PKIB	down	-1.06781403443604	-7.31864170058581	1.5367958580470003e-11	2.45167973478289e-07	5570	protein-coding	O	PKIB	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LGALS4	down	-0.647796070773914	-6.92978450462042	2.07485322747022e-10	1.26955671158058e-05	3960	protein-coding	O	LGALS4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CALM1	down	-0.58868349685245	-6.87029602854979	2.92616498075052e-10	3.49897187001957e-06	801	protein-coding	O	CALM1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CALM2	down	-0.980109498274215	-6.78231552125183	5.09034119606585e-10	6.85243979161587e-05	805	protein-coding	O	CALM2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HMGCS2	down	-0.754153391439125	-6.60211867947231	1.5867423209748301e-09	1.25325341053806e-05	3158	protein-coding	O	HMGCS2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CA2	down	-1.035634153287	-6.53290419274132	2.3887712140060903e-09	2.32863974948261e-05	760	protein-coding	O	CA2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TRIP6	up	0.841155733859609	6.44540747248953	3.9991608112397905e-09	0.0028544670253994	7205	protein-coding	O	TRIP6	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZNF703	up	0.496692297903778	6.43157703436741	4.30789782769815e-09	0.023827933161628	80139	protein-coding	O	ZNF703	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EPHB2	up	0.776094511519	6.41932087890338	4.6119678926038e-09	0.00027513321367	2048	protein-coding	O	EPHB2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ETHE1	down	-0.665499763026293	-6.37948482981666	5.75096767988854e-09	0.0002892618926063	23474	protein-coding	O	ETHE1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NDRG1	down	-0.569663562374238	-6.36562094479538	6.22176920262342e-09	0.007822906219237	10397	protein-coding	O	NDRG1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AQP8	down	-2.08670590918512	-6.19695621383238	1.68414957525367e-08	0.0003622156498137	343	protein-coding	O	AQP8	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FCGRT	down	-0.711836948120911	-6.10614621393161	2.8347317097368e-08	0.0001984004885479	2217	protein-coding	O	FCGRT	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TST	down	-0.591350357880671	-6.02256794026588	4.58217372743325e-08	0.0004899092545012	7263	protein-coding	O	TST	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ITM2C	down	-0.737750786798685	-5.95933853827802	6.29829404519045e-08	0.0019356566177661	81618	protein-coding	O	ITM2C	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
L1TD1	up	1.51469078251149	5.93914669826584	7.0101006930732e-08	0.0223087114420552	54596	protein-coding	O	L1TD1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
B2M	down	-0.885607080305864	-5.88139460906704	9.42112601008861e-08	0.0003557678196618	567	protein-coding	O	B2M	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NDUFA1	down	-0.488453037880996	-5.74540250956922	1.92809952733143e-07	0.0001428516417155	4694	protein-coding	O	NDUFA1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ACAA2	down	-0.713014478369503	-5.66889183034232	2.87483098084772e-07	0.0001773495247271	10449	protein-coding	O	ACAA2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PCNA	down	-0.635463036103386	-5.12260433975365	4.27319793027356e-06	0.0040183545387797	5111	protein-coding	O	PCNA	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SOX4	up	0.505053690066959	5.11012701618502	4.52425235340401e-06	0.0033888278176221	6659	protein-coding	O	SOX4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LTBP1	up	0.57182349123114	5.0376862863564	6.31921166910222e-06	0.0445673696579623	4052	protein-coding	O	LTBP1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
OLFM4	up	2.63615794164862	4.98839418428787	7.95741095140599e-06	0.0074254256439559	10562	protein-coding	O	OLFM4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FABP1	down	-0.878681237708183	-4.88490693794684	1.24917813207215e-05	0.0023403561740967	2168	protein-coding	O	FABP1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BSG	down	-0.492499462384814	-4.79524330548054	1.84492758161847e-05	0.0045328476437729	682	protein-coding	O	BSG	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SPINK4	up	1.421938388074	4.79226040161441	1.8674201000198e-05	0.0086105803210026	27290	protein-coding	O	SPINK4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MYL6	down	-0.510074154749169	-4.77739893442935	1.98753727643301e-05	0.0070477083892527	4637	protein-coding	O	MYL6	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AGR2	down	-0.609139252479402	-4.53207752640473	5.52542067874743e-05	0.0047090726804266	10551	protein-coding	O	AGR2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MT1G	down	-0.840388994120984	-4.38670497348991	9.95872166359949e-05	0.0103789765359076	4495	protein-coding	O	MT1G	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GUCA2A	down	-1.42871420428347	-3.98712441817758	0.000440201691804	0.015381264271797	2980	protein-coding	O	GUCA2A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SLC26A2	down	-0.642127010949403	-3.82722584159563	0.0007659277023058	0.0185180541617832	1836	protein-coding	O	SLC26A2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
