gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
TIMP1	up	3.51875626155639	16.7394505507629	5.55816594456193e-59	3.92025585885836e-18	7076	protein-coding	O	TIMP1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
INPP5D	up	2.9207457637981	12.5413512953535	1.53836988018996e-32	5.08749590867116e-07	3635	protein-coding	O	INPP5D	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
S100P	up	3.3172428985422	12.5226376482217	1.53836988018996e-32	1.47923671637618e-09	6286	protein-coding	O	S100P	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GALNT6	up	1.63407733274684	12.3857084496664	6.418847217998801e-32	3.62322658533755e-13	11226	protein-coding	O	GALNT6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GRAMD1A	up	1.36546675010582	12.2761600614774	1.99993516816973e-31	1.49995847347209e-06	57655	protein-coding	O	GRAMD1A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PVT1	up	1.71890026969759	12.2612334544511	2.00395797152734e-31	4.96440735184096e-08	5820	ncRNA	O	PVT1	current_ncbi_symbol	True	False	True	True	True	False	4	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LCN2	up	2.67901697030422	11.644804152479	2.86421118455715e-28	2.82443019815456e-10	3934	protein-coding	O	LCN2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TBXAS1	up	1.36647455671585	11.5537703396031	7.26032537928431e-28	3.8828613080976e-12	6916	protein-coding	O	TBXAS1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GRIN2D	up	1.90748515341374	11.5160405206599	1.00049004388827e-27	2.51277762229557e-10	2906	protein-coding	O	GRIN2D	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARID3A	up	1.27386227547908	11.3707840124073	4.80600549595037e-27	1.4277589262165702e-09	1820	protein-coding	O	ARID3A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ASCL2	up	2.33729157800139	11.141160505107	5.91030606856072e-26	8.444023449023271e-09	430	protein-coding	O	ASCL2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX5A	down	-0.823770690484804	-11.1222545448637	6.69803287338524e-26	6.73087474645229e-10	9377	protein-coding	O	COX5A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PMEPA1	up	1.32423351283478	11.0937650537672	8.50587848153545e-26	2.01914472503146e-09	56937	protein-coding	O	PMEPA1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PLXNB1	up	0.673998662674102	10.8325646306889	1.4169519381311801e-24	0.0107928289475235	5364	protein-coding	O	PLXNB1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
C15orf48	down	-1.04305371600802	-10.6185205634098	1.33949562592643e-23	1.73645664514055e-09	84419	protein-coding	O	COXFA4L3	unique_ncbi_synonym	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UGT2A3	down	-1.95713316615748	-10.6049524844912	1.45207320609361e-23	3.24486340574914e-06	79799	protein-coding	O	UGT2A3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MAOA	down	-0.743473271655654	-10.5948669248534	1.52227964785778e-23	9.20311515264505e-05	4128	protein-coding	O	MAOA	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
IL1R2	down	-1.45319497755708	-10.5778908486241	1.7234737913673998e-23	0.0017109512443171	7850	protein-coding	O	IL1R2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ATP5MC3	down	-0.933804794541428	-10.5571095104951	2.0376848128543102e-23	1.65576663491152e-10	518	protein-coding	O	ATP5MC3	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SDHD	down	-1.13898329081013	-10.5321656244266	2.52406326622195e-23	1.92161884182696e-07	6392	protein-coding	O	SDHD	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CADPS	up	1.71374733534792	10.3819892853955	1.1723501361396e-22	7.41145902010268e-12	8618	protein-coding	O	CADPS	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SRI	down	-0.963402749257993	-10.2092913666186	6.73284483285991e-22	6.08925999401322e-07	6717	protein-coding	O	SRI	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHP2	down	-1.13496646810407	-10.1116373405453	1.75348393408365e-21	1.25128314099054e-06	63928	protein-coding	O	CHP2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMEM98	down	-0.879717404288529	-10.0814452900187	2.28602535160618e-21	0.0006969877139096	26022	protein-coding	O	TMEM98	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NOL3	up	1.03206839282441	9.90473966564378	1.30550349680483e-20	8.48417057269771e-05	8996	protein-coding	O	NOL3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LGALS3	down	-0.909435258997805	-9.88414983421536	1.5420820487121502e-20	3.27373407826848e-07	3958	protein-coding	O	LGALS3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AGBL4	up	1.13628912591947	9.86835755745679	1.7255708730001502e-20	2.31836210150559e-05	84871	protein-coding	O	AGBL4	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HDAC7	up	1.21433766839062	9.86544813362959	1.7255708730001502e-20	1.332221378205e-08	51564	protein-coding	O	HDAC7	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
IMPA2	down	-0.683197212770261	-9.79627538063685	3.31146966392988e-20	3.20308296530847e-06	3613	protein-coding	O	IMPA2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PACS1	up	1.40034544248394	9.78574500711747	3.55248623103704e-20	7.45463490363921e-09	55690	protein-coding	O	PACS1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AXIN2	up	1.30898658015039	9.66927068210392	1.08005382271187e-19	5.40602865406992e-06	8313	protein-coding	O	AXIN2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARHGEF28	up	0.792283693352739	9.55161882206126	3.28031452764111e-19	2.95780931506432e-08	64283	protein-coding	O	ARHGEF28	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CD9	down	-0.769293825677803	-9.45233852833541	8.089328136990411e-19	5.64987021611785e-08	928	protein-coding	O	CD9	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZYX	up	1.10946973545776	9.45132937272447	8.089328136990411e-19	0.0001132543851384	7791	protein-coding	O	ZYX	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RASAL1	up	1.22992266149066	9.40457574904061	1.2270553436386498e-18	2.30786928897719e-10	8437	protein-coding	O	RASAL1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GTF2IRD1	up	1.27036684802931	9.35881159528606	1.84147093601987e-18	3.72480062138356e-08	9569	protein-coding	O	GTF2IRD1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BACE2	up	0.961800693782507	9.34570672045378	2.02809471470737e-18	1.19513774337225e-07	25825	protein-coding	O	BACE2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
OSBPL3	up	1.10238380872269	9.31196633463306	2.71481866855212e-18	0.0007572767554907	26031	protein-coding	O	OSBPL3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FAM162A	down	-0.850884189972595	-9.20163380836525	7.43153021433652e-18	1.32326926020054e-05	26355	protein-coding	O	FAM162A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX16	down	-0.685617942713343	-9.16247735227167	1.04240909059404e-17	5.66727750617169e-07	51241	protein-coding	O	COX16	current_ncbi_symbol	False	False	True	True	True	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FTX	up	0.682088309471713	9.08982604564565	1.98903364071911e-17	3.34798747368897e-06	100302692	ncRNA	O	FTX	current_ncbi_symbol	False	False	False	False	True	False	1	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LIPG	up	1.21687978657699	9.04496463994037	2.93046583392051e-17	1.40591531235688e-05	9388	protein-coding	O	LIPG	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FKBP1A	down	-1.05941145299118	-9.03582154030658	3.1120327131415e-17	3.97950548014503e-06	2280	protein-coding	O	FKBP1A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PITPNC1	up	0.973032576864601	9.01792834840272	3.50350273357719e-17	1.23753443392894e-09	26207	protein-coding	O	PITPNC1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HPGD	down	-1.09985175813561	-9.01787426293786	3.50350273357719e-17	0.0001631038561741	3248	protein-coding	O	HPGD	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARHGEF3	up	1.36391379975201	8.97242030636232	5.18404029225557e-17	1.06148261207815e-08	50650	protein-coding	O	ARHGEF3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EDA	down	-1.44729032277444	-8.95782576035342	5.79218824288278e-17	0.0004791042778182	1896	protein-coding	O	EDA	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CIAO2A	down	-0.656123767174469	-8.95078509743422	6.045225511841091e-17	5.83489264682768e-07	84191	protein-coding	O	CIAO2A	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NEBL	up	1.00650115036249	8.92486856671992	7.48662566417277e-17	1.4614197602719802e-09	10529	protein-coding	O	NEBL	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
VWA1	up	1.6610445726674	8.89919419350622	9.24921614632953e-17	2.71159449977578e-05	64856	protein-coding	O	VWA1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LINC00963	up	1.23477637820515	8.88149359469252	1.06338692767405e-16	0.0001602344181402	100506190	ncRNA	O	LINC00963	current_ncbi_symbol	True	False	True	True	False	False	3	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MPC2	down	-0.873342893083077	-8.79606857551236	2.19784586195348e-16	2.11064721256093e-08	25874	protein-coding	O	MPC2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DHRS11	down	-0.873761012891747	-8.76723472917681	2.78764653780539e-16	9.0128635454878e-07	79154	protein-coding	O	DHRS11	current_ncbi_symbol	True	False	True	True	True	True	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PCNX2	up	0.812690397539315	8.66989049619317	6.46523593585677e-16	4.79881962544255e-06	80003	protein-coding	O	PCNX2	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PCK1	down	-1.92397587099669	-8.66474453745873	6.64325152878086e-16	2.0856462750185e-06	5105	protein-coding	O	PCK1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RNF43	up	1.23227112231595	8.64030501799476	8.085878926258e-16	1.01267715132102e-07	54894	protein-coding	O	RNF43	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FZD5	down	-0.928991639944593	-8.63087527070473	8.62981748541434e-16	5.00183133578247e-06	7855	protein-coding	O	FZD5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MPC1	down	-0.899470508794422	-8.62659383772326	8.807079988577601e-16	4.32627727753321e-07	51660	protein-coding	O	MPC1	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LRRC19	down	-1.19845739062046	-8.59308949629806	1.16000425640329e-15	3.08000886573012e-07	64922	protein-coding	O	LRRC19	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TPT1	down	-0.761674707244444	-8.56017338925551	1.5188351443404602e-15	9.0312119560565e-07	7178	protein-coding	O	TPT1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HSPA1A	down	-0.995555348797932	-8.52666613672944	1.99604732403662e-15	9.79439392922998e-08	3303	protein-coding	O	HSPA1A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NBEAL2	up	1.10170781204865	8.52488393407672	1.99604732403662e-15	6.44278613938647e-05	23218	protein-coding	O	NBEAL2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MARCKS	down	-0.863235790914522	-8.45599171611899	3.55462237235965e-15	4.01419549955762e-05	4082	protein-coding	O	MARCKS	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZG16	down	-2.29293558973254	-8.40329510932471	5.49064044533948e-15	0.001335557559	653808	protein-coding	O	ZG16	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TSPAN7	down	-1.24667900152209	-8.37747607478573	6.735584000736281e-15	1.00609768849402e-07	7102	protein-coding	O	TSPAN7	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ITGA6	up	0.749115093583753	8.35539223425196	8.00205737461609e-15	6.02253801786675e-05	3655	protein-coding	O	ITGA6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
REG1A	up	6.45435182201207	8.29897787299724	1.26955117818773e-14	4.30617778703801e-07	5967	protein-coding	O	REG1A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ABLIM2	up	0.624529591270727	8.2861428857813	1.39376018136004e-14	1.66992590415642e-06	84448	protein-coding	O	ABLIM2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARL6IP1	down	-1.0887587937306	-8.26408127816472	1.6532980300179302e-14	3.31334751934032e-05	23204	protein-coding	O	ARL6IP1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RAB11FIP3	up	0.802993534237983	8.20655121197426	2.61509631637443e-14	0.0002358855252644	9727	protein-coding	O	RAB11FIP3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SMTN	up	0.808735283994516	8.2058150987577	2.61509631637443e-14	0.0006380144655627	6525	protein-coding	O	SMTN	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CAMK2N1	down	-0.794745919557529	-8.1712266822867	3.43783560250247e-14	1.94377724412886e-05	55450	protein-coding	O	CAMK2N1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CYCS	down	-0.96306439391685	-8.15441174142962	3.8981265209669e-14	3.98389940259314e-07	54205	protein-coding	O	CYCS	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MYL12A	down	-0.976304430281766	-7.97861029915686	1.6221678086859e-13	6.13549288175363e-06	10627	protein-coding	O	MYL12A	current_ncbi_symbol	True	False	True	True	True	True	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CPT1A	down	-0.549479184101884	-7.95028721423799	2.01284258747731e-13	5.75974664629442e-07	1374	protein-coding	O	CPT1A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TTYH3	up	1.00959337474279	7.94711281881916	2.0382585634912e-13	1.99790679862683e-07	80727	protein-coding	O	TTYH3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DTWD2	down	-0.680247638951043	-7.89523093705935	3.05418762937111e-13	1.49342717015166e-06	285605	protein-coding	O	DTWD2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX6C	down	-0.740037508915188	-7.88929682827129	3.16242030382632e-13	1.98271053886145e-06	1345	protein-coding	O	COX6C	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ATP5PO	down	-0.707715524285052	-7.88532812627314	3.22376337872093e-13	6.77674923554861e-06	539	protein-coding	O	ATP5PO	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FH	down	-0.845074228620209	-7.87890496294735	3.3519611514216e-13	8.36208060572829e-08	2271	protein-coding	O	FH	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SMAD6	up	0.671821348793217	7.85568842561723	3.9860049098202397e-13	0.0114933119731531	4091	protein-coding	O	SMAD6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
IFITM2	up	1.35039768197703	7.8368050550625	4.57755885933099e-13	7.02979583968204e-05	10581	protein-coding	O	IFITM2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SLC25A37	up	0.512573758869505	7.83270156437292	4.67321577023887e-13	0.0012019014868972	51312	protein-coding	O	SLC25A37	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HS3ST4	down	-0.773028818028061	-7.82028321320999	5.09746723013775e-13	6.65174922032108e-07	9951	protein-coding	O	HS3ST4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PLOD1	up	0.58425603478387	7.77918216163103	6.97780239537295e-13	9.50349878664131e-05	5351	protein-coding	O	PLOD1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DUT	down	-0.755497948120062	-7.7768850872239	7.02395331764074e-13	1.42431805140175e-05	1854	protein-coding	O	DUT	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
AGAP3	up	0.754530910444279	7.76809961354609	7.44303144260555e-13	0.0073354886621185	116988	protein-coding	O	AGAP3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZBTB4	up	0.57348134248291	7.75849968860384	7.9383412375386e-13	1.11159825347789e-06	57659	protein-coding	O	ZBTB4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NDUFAB1	down	-0.700727325462223	-7.75620548846627	7.99338724698805e-13	4.4506240248765e-08	4706	protein-coding	O	NDUFAB1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
REG4	up	2.79818047069346	7.74818424729971	8.42117885180488e-13	2.60547144564391e-06	83998	protein-coding	O	REG4	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CCND3	up	0.704473029883433	7.73659612995023	9.12475431240585e-13	2.14039524062697e-05	896	protein-coding	O	CCND3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RNF24	up	0.945589129574533	7.72117802715474	1.0188686139672499e-12	0.0019272395149582	11237	protein-coding	O	RNF24	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LINC-PINT	up	1.18600130886576	7.71887167837047	1.02643544264452e-12	2.04678372614667e-05	378805	ncRNA	O	LINC-PINT	current_ncbi_symbol	True	False	True	True	False	False	3	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHD3	up	0.546421183709276	7.71495269090836	1.0473304558668999e-12	0.0062761122092797	1107	protein-coding	O	CHD3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TTL	up	0.623434002347345	7.71276551361429	1.05434477171999e-12	1.8572498934624e-06	150465	protein-coding	O	TTL	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EPHB3	up	1.45379374317603	7.70579333928579	1.10206246858218e-12	0.0034318201215363	2049	protein-coding	O	EPHB3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GHITM	down	-0.860069099802707	-7.69763902354612	1.16271161085989e-12	9.94673572285443e-07	27069	protein-coding	O	GHITM	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PDLIM1	down	-0.584582772484143	-7.67117062112202	1.41528793961786e-12	6.45848379499103e-06	9124	protein-coding	O	PDLIM1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
WWC1	up	0.61139663712721	7.66947615709184	1.41976834841629e-12	6.16937240165812e-07	23286	protein-coding	O	WWC1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GDF15	up	1.21716720627674	7.66804698694982	1.42145907636773e-12	0.0006966725154867	9518	protein-coding	O	GDF15	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PPM1H	up	0.709560243056364	7.64584589846874	1.67302303426414e-12	2.94265520581853e-07	57460	protein-coding	O	PPM1H	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CUEDC1	up	0.837356886186981	7.64043055566301	1.7243420001856e-12	1.53536322255829e-07	404093	protein-coding	O	CUEDC1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ME1	up	1.16919959272059	7.63945779985111	1.7243420001856e-12	0.0044424556532474	4199	protein-coding	O	ME1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
