gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
HOXB-AS4	up	0.460551251628949	4.27517489869624	0.0001534806090996	0.0034379441378136	100874351	ncRNA	O	HOXB-AS4	current_ncbi_symbol	False	False	False	False	False	False	0	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHN2	up	0.359858078125537	4.27334496896782	0.0001545422904154	0.0225724906382994	1124	protein-coding	O	CHN2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UBE4B	up	0.27466403326355	4.27320355594674	0.0001545422904154	0.0088180623656596	10277	protein-coding	O	UBE4B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ELK3	up	0.442881227604296	4.27201498651618	0.0001550329522221	0.0040624398425047	2004	protein-coding	O	ELK3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMEM50A	down	-0.422696909848032	-4.27186288235667	0.0001550329522221	0.0035951340952902	23585	protein-coding	O	TMEM50A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SNX29	up	0.343662876435276	4.27163897536036	0.0001550329522221	0.0015490615607048	92017	protein-coding	O	SNX29	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX7A2	down	-0.38505620917596	-4.26783076713623	0.0001572369602588	0.0202207650279789	1347	protein-coding	O	COX7A2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ICA1	up	0.327138102506783	4.26690151468581	0.000157740223064	0.007129759949543	3382	protein-coding	O	ICA1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NAA20	down	-0.412127144031901	-4.26661148239091	0.0001577925872341	0.0014087157872267	51126	protein-coding	O	NAA20	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
C1D	down	-0.608244609718697	-4.26571187334705	0.0001582767344243	0.0022290926797191	10438	protein-coding	O	C1D	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UBALD1	up	0.440393643580409	4.26431945115609	0.0001591131717846	0.0074023256879189	124402	protein-coding	O	UBALD1	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CEP57	down	-0.384493364702587	-4.26145604761818	0.000161010545472	0.0427156248886618	9702	protein-coding	O	CEP57	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
VAMP2	down	-0.305520947323377	-4.25596885691228	0.0001645351579261	0.0089869107012876	6844	protein-coding	O	VAMP2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
