gene	arm	pair_step	route_weight	training_correlation	selected_donor_heldout_folds	donor_heldout_selection_frequency	selected_bootstraps	donor_bootstrap_selection_frequency	common_effect	common_z	common_q_value	max_lfsr	all_six_platforms_present	protein_coding	panel_size_rule	validation_outcomes_used	panel_frozen_before_validation
EPHB2	up	1	1	0.907482061747532	27	1	1998	0.999	0.776094511519	6.41932087890338	4.6119678926038e-09	0.00027513321367	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
CALM2	down	1	-1	0.907482061747532	27	1	1587	0.7935	-0.980109498274215	-6.78231552125183	5.09034119606585e-10	6.85243979161587e-05	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
REG1A	up	2	1	0.932973768315786	26	0.962962962962963	1500	0.75	6.45435182201207	8.29897787299724	1.26955117818773e-14	4.30617778703801e-07	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
COX6C	down	2	-1	0.932973768315786	25	0.925925925925926	1498	0.749	-0.740037508915188	-7.88929682827129	3.16242030382632e-13	1.98271053886145e-06	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
LTBP1	up	3	1	0.949682324569095	26	0.962962962962963	1599	0.7995	0.57182349123114	5.0376862863564	6.31921166910222e-06	0.0445673696579623	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
B2M	down	3	-1	0.949682324569095	24	0.888888888888889	1186	0.593	-0.885607080305864	-5.88139460906704	9.42112601008861e-08	0.0003557678196618	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
RNF43	up	4	1	0.95841553823915	23	0.851851851851852	1158	0.579	1.23227112231595	8.64030501799476	8.085878926258e-16	1.01267715132102e-07	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
ACAA2	down	4	-1	0.95841553823915	19	0.703703703703704	568	0.284	-0.713014478369503	-5.66889183034232	2.87483098084772e-07	0.0001773495247271	True	True	Kneedle on monotone donor-grouped out-of-fold fidelity curve	FALSE	TRUE
