gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	signature_direction	discovery_rank_within_direction	selection_cohort	validation_used_for_selection	n_principal_transcriptomic_resources_present	n_principal_transcriptomic_resources	complete_principal_platform_coverage	in_fixed_10_gene_candidate	biological_role_if_nominated	reporting_note
CEMIP	0.6983576	0.6943306	0.3360619813203812	1.108135923743248	1.0	0.0009990009990009	0.003602191	0.0126510092688221	False	True	True	0.6983576	adenoma_up	3.0	Chen discovery only	False	5	7	False	False		retained in the 100-gene reference; not included in this compact candidate
GRIN2B	0.6873841	0.67378986	0.2906365938484669	1.2021839708089828	1.0	0.0009990009990009	0.038972717	0.0126510092688221	False	True	True	0.6873841	adenoma_up	4.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
CLDN2	0.57838947	0.5639404	0.2221621993929147	1.115135025978088	1.0	0.0009990009990009	0.017433241	0.0126510092688221	False	True	True	0.57838947	adenoma_up	5.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
DPEP1	0.5104067	0.5047452	0.2444607697427273	0.7929241016507149	1.0	0.0009990009990009	0.00890304	0.0126510092688221	False	True	True	0.5104067	adenoma_up	6.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
ZNRF3	0.5048981	0.502597	0.2704494729638099	0.7402453705668449	1.0	0.0009990009990009	0.0021580288	0.0126510092688221	False	True	True	0.5048981	adenoma_up	7.0	Chen discovery only	False	6	7	False	False		retained in the 100-gene reference; not included in this compact candidate
ASCL2	0.50405955	0.50497675	0.2835490621626377	0.7455495700240135	1.0	0.0009990009990009	0.0049427166	0.0126510092688221	False	True	True	0.50405955	adenoma_up	8.0	Chen discovery only	False	7	7	True	True	WNT-responsive intestinal stem-cell transcription factor	included in the current post hoc biology-guided candidate
RNF43	0.4764946	0.4774106	0.2538956291973591	0.6859840527176857	1.0	0.0009990009990009	0.010522959	0.0126510092688221	False	True	True	0.4764946	adenoma_up	9.0	Chen discovery only	False	7	7	True	True	WNT target and receptor-level negative-feedback regulator	included in the current post hoc biology-guided candidate
NKD1	0.4699508	0.46676815	0.1873228497803211	0.790768727660179	1.0	0.0009990009990009	0.0030282072	0.0126510092688221	False	True	True	0.4699508	adenoma_up	10.0	Chen discovery only	False	7	7	True	True	WNT-inducible intracellular negative-feedback regulator	included in the current post hoc biology-guided candidate
APCDD1	0.4612431	0.44841337	0.1512933179736137	0.8702012032270432	1.0	0.0009990009990009	0.02414774	0.0126510092688221	False	True	True	0.4612431	adenoma_up	11.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
EPHB3	0.45734045	0.45566678	0.233486159145832	0.7171147078275679	1.0	0.0009990009990009	0.0034419443	0.0126510092688221	False	True	True	0.45734045	adenoma_up	12.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
SHISA9	0.4518485	0.44157156	0.0967411205172538	0.8431718304753303	0.998	0.004	0.07626136	0.0286121842496285	False	True	True	0.4518485	adenoma_up	13.0	Chen discovery only	False	6	7	False	False		retained in the 100-gene reference; not included in this compact candidate
AXIN2	0.42774308	0.42650798	0.2116329345852136	0.6518554106354714	1.0	0.0009990009990009	0.03514409	0.0126510092688221	False	True	True	0.42774308	adenoma_up	14.0	Chen discovery only	False	7	7	True	True	canonical beta-catenin transcriptional readout and feedback regulator	included in the current post hoc biology-guided candidate
MSX2	0.4173779	0.4134304	0.1878657259047031	0.6841770842671392	1.0	0.0009990009990009	0.008359566	0.0126510092688221	False	True	True	0.4173779	adenoma_up	15.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
LGR5	0.41682506	0.41163814	0.2220236763358116	0.6516241267323494	1.0	0.0009990009990009	0.0065720743	0.0126510092688221	False	True	True	0.41682506	adenoma_up	16.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
LINC02350	0.41378772	0.40010643	0.137334755808115	0.800318731367588	1.0	0.0009990009990009	0.034217525	0.0126510092688221	False	True	True	0.41378772	adenoma_up	17.0	Chen discovery only	False	2	7	False	False		retained in the 100-gene reference; not included in this compact candidate
L1TD1	0.41076347	0.41249266	0.1983405917882919	0.651724049448967	1.0	0.0009990009990009	0.030479878	0.0126510092688221	False	True	True	0.41076347	adenoma_up	18.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
GDF15	0.40532106	0.40207547	0.2353492826223373	0.5925057128071785	1.0	0.0009990009990009	0.0060460777	0.0126510092688221	False	True	True	0.40532106	adenoma_up	19.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
SOX4	0.39757302	0.3987538	0.2365815501660108	0.5564755171537399	1.0	0.0009990009990009	0.01562952	0.0126510092688221	False	True	True	0.39757302	adenoma_up	20.0	Chen discovery only	False	7	7	True	False		retained in the 100-gene reference; not included in this compact candidate
