hallmark	n_members_in_discovery_universe	discovery_universe_n	rank_auc	rank_biserial	enriched_direction	p_mann_whitney	member_genes_in_universe	q_bh	neg_log10_q	display_label
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	27	6127	0.43941105039465694	-0.12117789921068611	adenoma_down	0.27657209040518616	ALDH18A1;ASNS;ATF3;BANF1;CEBPG;CKS1B;DDX10;DKC1;EEF2;EIF4A2;EIF4A3;GEMIN4;H2AX;HSPA5;HSPA9;IFIT1;NFYA;NFYB;NHP2;NPM1;PAIP1;POP4;PSAT1;SLC7A5;SPCS1;TARS1;TATDN2	0.36876278720691485	0.43325291117075426	Unfolded Protein Response
HALLMARK_MYOGENESIS	53	6127	0.4585924540727257	-0.0828150918545486	adenoma_down	0.2985218773690236	ACTA1;ANKRD2;APP;BAG1;CAMK2B;CDH13;CHRNA1;CKB;CKMT2;CNN3;COL1A1;COL4A2;COL6A2;CRAT;CRYAB;DMD;DTNA;EFS;EIF4A2;EPHB3;ERBB3;FHL1;FST;GABARAPL2;GADD45B;HRC;HSPB8;IFRD1;KCNH1;LAMA2;MB;MYF6;MYH1;MYH2;MYH4;MYH9;MYL1;MYOM2;NOS1;NOTCH1;OCEL1;PFKM;PRNP;PTP4A3;PYGM;SGCD;SGCG;SORBS3;SPARC;TGFB1;TNNC2;TNNT2;WWTR1	0.38727162469494947	0.41198432250747574	Myogenesis
HALLMARK_KRAS_SIGNALING_DN	41	6127	0.46155911608409544	-0.07688176783180911	adenoma_down	0.3954981482623927	ALOX12B;ARHGDIG;ARPP21;BTG2;CCDC106;CD40LG;CD80;CELSR2;CHST2;CLDN8;CNTFR;EDN2;EPHA5;GRID2;IGFBP2;KCNE2;KCNMB1;KLHDC8A;KRT5;MACROH2A2;MX1;NOS1;NUDT11;OXT;PDCD1;PROP1;RGS11;SCGB1A1;SERPINA10;SGK1;SLC30A3;SLC38A3;SLC6A3;TCL1A;TENT5C;TEX15;TGFB2;TNNI3;UGT2B17;WNT16;YBX2	0.49957660833144346	0.3013979047863074	Kras Signaling Dn
HALLMARK_ALLOGRAFT_REJECTION	55	6127	0.5301353455503653	0.06027069110073069	adenoma_up	0.44093978416532953	B2M;BCAT1;BCL10;CCL11;CCL13;CCL22;CCL7;CCND2;CCR2;CD28;CD40LG;CD79A;CD80;CTSS;CXCL9;DARS1;ELANE;ETS1;FAS;FCGR2B;FLNA;FYB1;GBP2;GPR65;HDAC9;HLA-A;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRA;IFNGR1;IL10;IL12A;IL18RAP;IL2;IL27RA;IL6;IRF4;IRF8;JAK2;MRPL3;NCF4;NOS2;NPM1;PRKCB;SIT1;STAT1;TAP1;TGFB1;TGFB2;TLR2;TLR3;TRAT1;UBE2D1;UBE2N	0.5426951189727133	0.2654440844694448	Allograft Rejection
HALLMARK_INTERFERON_ALPHA_RESPONSE	25	6127	0.5341527368076041	0.06830547361520822	adenoma_up	0.5550365513254278	B2M;CASP1;CMPK2;EPSTI1;GBP2;GBP4;HERC6;IFI27;IFIT2;IFITM1;IFITM3;LAP3;LPAR6;MX1;NCOA7;PLSCR1;PSMA3;PSME2;RNF31;SELL;TAP1;TDRD7;TMEM140;TXNIP;UBE2L6	0.6660438615905134	0.17649716989952893	Interferon Alpha Response
HALLMARK_IL6_JAK_STAT3_SIGNALING	20	6127	0.4639348288848862	-0.07213034223022763	adenoma_down	0.5770507860511569	CCL7;CD14;CD9;CNTFR;CSF2RA;CXCL9;FAS;HMOX1;IFNGR1;IL13RA1;IL17RB;IL18R1;IL6;IL6ST;MYD88;PIK3R5;REG1A;STAT1;TGFB1;TLR2	0.67557165196233	0.17032858239089263	Il6 Jak Stat3 Signaling
HALLMARK_HEDGEHOG_SIGNALING	10	6127	0.53961092038581	0.07922184077162009	adenoma_up	0.6646974638345957	AMOT;CNTFR;ETS2;HEY1;MYH9;NRCAM;NRP2;PLG;TLE3;VLDLR	0.6996584418156722	0.15511392146608055	Hedgehog Signaling
HALLMARK_NOTCH_SIGNALING	13	6127	0.53535391661005	0.0707078332201001	adenoma_up	0.6592223337763625	DLL1;DTX4;FZD1;FZD5;FZD7;HES1;HEYL;KAT2A;NOTCH1;NOTCH2;RBX1;SKP1;WNT5A	0.6996584418156722	0.15511392146608055	Notch Signaling
HALLMARK_UV_RESPONSE_DN	25	6127	0.5260373647984268	0.05207472959685355	adenoma_up	0.6527349513126899	BDNF;CAV1;CDKN1B;CITED2;COL11A1;COL1A1;COL1A2;DAB2;DUSP1;FBLN5;HAS2;IGFBP5;KIT;LTBP1;MMP16;MT1E;MTA1;MYC;NOTCH2;PHF3;RGS4;SDC2;SNAI2;SRI;VLDLR	0.6996584418156722	0.15511392146608055	Uv Response Dn
HALLMARK_COAGULATION	31	6127	0.5221192109050885	0.04423842181017701	adenoma_up	0.6705060067400191	C1R;C9;CAPN2;CD9;CFH;CFI;COMP;CPN1;CPQ;FGA;FGG;HMGCS2;HTRA1;ISCU;LAMP2;LEFTY2;LTA4H;MEP1A;MMP11;MMP3;MMP8;P2RY1;PLAU;PLG;PROS1;PRSS23;RAC1;SPARC;TFPI2;THBS1;WDR1	0.6996584418156722	0.15511392146608055	Coagulation
HALLMARK_SPERMATOGENESIS	42	6127	0.478086238603905	-0.04382752279219004	adenoma_down	0.623999545370592	ACRBP;ADAM2;ARL4A;CDKN3;CLGN;CLVS1;COIL;CRISP2;DDX25;DNAJB8;ELOVL3;GFI1;GPR182;GSTM3;HBZ;HSPA1L;HSPA2;IL13RA2;JAM3;MEP1B;MLF1;NAA11;NEK2;NOS1;NPHP1;NPY5R;PEBP1;POMC;PSMG1;RFC4;SLC2A5;SNAP91;SYCP1;TLE4;TNNI3;TNP1;TNP2;TSN;TTK;TUBA3C;VDAC3;YBX2	0.6996584418156722	0.15511392146608055	Spermatogenesis
HALLMARK_MYC_TARGETS_V2	11	6127	0.4712081574409894	-0.057583685118021255	adenoma_down	0.7411100256938584	CBX3;DCTPP1;DDX18;HSPD1;HSPE1;MYC;NDUFAF4;NPM1;PLK4;SLC19A1;UNG	0.7568783241128767	0.1209739321428188	Myc Targets V2
HALLMARK_PROTEIN_SECRETION	21	6127	0.5012088032068379	0.0024176064136758324	adenoma_up	0.9847670029592471	ABCA1;BNIP3;CLN5;CLTC;COPB1;CTSC;GLA;LAMP2;OCRL;PPT1;RAB9A;SCRN1;SEC22B;SH3GL2;SOD1;TMED2;TMX1;TSPAN8;VAMP4;VAMP7;YIPF6	0.9847670029592471	0.006666511937832334	Protein Secretion
