gene	signature_direction	discovery_rank_within_direction	present__Chen held-out	present__GSE8671	present__GSE50114	present__GSE41657	present__GSE40362	present__GSE72820	present__GSE117606 FFPE	n_principal_transcriptomic_resources_present	n_principal_transcriptomic_resources	complete_principal_platform_coverage
SDC3	adenoma_up	27	True	True	True	True	True	True	True	7	7	True
ENC1	adenoma_up	28	True	True	True	True	True	True	True	7	7	True
ZNF703	adenoma_up	29	True	True	True	True	True	True	True	7	7	True
IGFBP2	adenoma_up	30	True	True	True	True	True	True	True	7	7	True
TRIP6	adenoma_up	31	True	True	True	True	True	True	True	7	7	True
DAB2	adenoma_up	32	True	True	True	True	True	True	True	7	7	True
SLC7A5	adenoma_up	33	True	True	True	True	True	True	True	7	7	True
LTBP1	adenoma_up	34	True	True	True	True	True	True	True	7	7	True
TBX3	adenoma_up	35	True	True	True	True	True	True	True	7	7	True
ANKH	adenoma_up	36	True	True	True	True	True	True	True	7	7	True
ETS2	adenoma_up	37	True	True	True	True	True	True	True	7	7	True
KRT6B	adenoma_up	38	True	True	True	True	True	True	True	7	7	True
LRRC36	adenoma_up	39	True	True	True	True	True	True	True	7	7	True
SLC40A1	adenoma_up	40	True	True	True	True	True	True	True	7	7	True
SLC35F1	adenoma_up	41	True	True	True	True	True	True	True	7	7	True
CYP4X1	adenoma_up	42	True	True	True	True	True	True	True	7	7	True
SEMA3F	adenoma_up	43	True	True	True	True	True	True	True	7	7	True
ZFP36L1	adenoma_up	44	True	True	True	True	True	True	True	7	7	True
CPNE7	adenoma_up	45	True	True	True	True	True	True	True	7	7	True
ZNF503	adenoma_up	46	True	True	True	True	True	True	True	7	7	True
FIRRE	adenoma_up	47	True	True	True	True	False	False	True	5	7	False
MAGEB17-AS1	adenoma_up	48	True	False	False	False	False	False	False	1	7	False
LZTS3	adenoma_up	49	True	True	False	False	False	False	True	3	7	False
NOS2	adenoma_up	50	True	True	True	True	False	True	True	6	7	False
