excluded_cohort	n_cohorts	unadjusted_effect_sd	unadjusted_ci_low	unadjusted_ci_high	unadjusted_p_value	proliferation_adjusted_effect_sd	proliferation_adjusted_ci_low	proliferation_adjusted_ci_high	proliferation_adjusted_p_value
__NONE__	5	1.9058470192233594	1.754912139050103	2.056781899396616	5.343453271180087e-57	1.694825755388692	1.5019907233442975	1.8876607874330866	1.2669965855662563e-38
GSE8671	4	1.9113572840769297	1.6760813292196566	2.1466332389342027	1.6788078677737922e-32	1.7597980780138547	1.5176657417013484	2.001930414326361	1.677132502629913e-28
GSE50114	4	1.838846382748946	1.663353558583866	2.014339206914026	5.078591309003671e-41	1.6419987447523783	1.4287550473270747	1.8552424421776819	1.4029296699004074e-29
GSE41657	4	1.8280740738903085	1.6413362975218084	2.0148118502588086	3.286315967650909e-35	1.606823866046856	1.3401400117145819	1.87350772037913	8.608485368667616e-21
GSE40362	4	1.918770565704864	1.7566370709149426	2.0809040604947855	6.662879393880973e-51	1.6369181661805268	1.405964749887392	1.8678715824736616	1.1247437478886794e-28
GSE72820	4	2.014367399586705	1.9144634167914756	2.1142713823819346	1.1493757227161332e-82	1.8365559885122	1.7046653453893064	1.9684466316350937	4.152191925075164e-61
