statistic	source	condition	score	p_value	q_value	n_targets_in_universe
ulm	MYC	common_effect_z	-5.20385724235382	1.99911001051561e-07	9.99555005257803e-07	448
ulm	SOX9	common_effect_z	2.23870653527969	0.0252016749880595	0.0630041874701486	22
ulm	KLF4	common_effect_z	-1.45030069698476	0.147012844043035	0.20734975545967	39
ulm	TCF7L2	common_effect_z	1.38568795946334	0.165879804367736	0.20734975545967	42
ulm	HNF4A	common_effect_z	1.1325285959961	0.257445306976413	0.257445306976413	88
