collection	gene_set	description	NGenes	Direction	PValue	FDR	strict_core_overlap	top_contributing_genes	global_fdr	interpretive_family
GO:BP 2026.1.Hs	GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	Any process that modulates the frequency, rate or extent of the formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane, by the fusion of the plasma membranes of two or more individual cells. [GOC:dph]	51	Down	2.84007129688111e-07	6.97366597534171e-05	4	RPL5;RPL6;RPL9;RPL15;RPL23;RPL17;RPL21;CAPN2;RPLP2;RPLP1;RPL10A;RPL31	2.96620387506612e-05	other
GO:BP 2026.1.Hs	GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	The progression of the substantia nigra over time from its initial formation until its mature state. The substantia nigra is the layer of gray substance that separates the posterior parts of the cerebral peduncles (tegmentum mesencephali) from the anterior parts; it normally includes a posterior compact part with many pigmented cells (pars compacta) and an anterior reticular part whose cells contain little pigment (pars reticularis). [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343, ISBN:0878937420]	27	Down	5.67945815988385e-07	0.000127835137415386	18	CALM1;CALM2;ATP5PF;DYNLL1;NDRG2;RHOA;YWHAQ;ATP5PB;YWHAH;PADI2;YWHAE;ACTB	5.60215442381876e-05	other
GO:BP 2026.1.Hs	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN	The transfer of electrons from cytochrome c to oxygen that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex IV. [ISBN:0716731363]	16	Down	6.49425642942453e-07	0.000134930666275967	12	COX5A;CYCS;COX6C;COX7C;COX6A1;COX4I1;COX7A2L;COX8A;COX5B;COX7A2;COX7B;COX6B1	6.06871173181224e-05	mature epithelial function
GO:BP 2026.1.Hs	GOBP_MYOBLAST_FUSION	A process in which non-proliferating myoblasts fuse to existing fibers or to myotubes to form new fibers. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers. [CL:0000056, GOC:mtg_muscle]	59	Down	1.28259625857898e-06	0.000247449463887274	5	CD9;RPL5;RPL6;RPL9;MYH9;RPL15;RPL23;RPL17;RPL21;CAPN2;RPLP2;RPLP1	0.00011108534912717	other
GO:BP 2026.1.Hs	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances. [GOC:jl]	307	Down	3.50033294585826e-06	0.00063029328578421	114	COX5A;SDHD;SLC4A4;MPC2;CYCS;COX6C;ATP5PO;FH;NDUFAB1;GHITM;ATP5F1C;ATP5PD	0.000276215162016504	metabolic function
GO:BP 2026.1.Hs	GOBP_TRICARBOXYLIC_ACID_CYCLE	A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle. [ISBN:0198506732]	27	Down	3.93361026037896e-06	0.000664042582080224	13	SDHD;FH;SUCLG1;IDH1;DLD;CS;MDH1;SDHC;PDHA1;SUCLG2;KGD4;SDHB	0.00029719680924693	other
GO:BP 2026.1.Hs	GOBP_NEURAL_NUCLEUS_DEVELOPMENT	The biological process whose specific outcome is the progression of a neural nucleus from its initial condition to its mature state. A neural nucleus is an anatomical structure consisting of a discrete aggregate of neuronal soma. [GO_REF:0000021]	35	Down	4.45448306449892e-06	0.000707738750424211	19	CALM1;CALM2;ATP5PF;DYNLL1;NDRG2;RHOA;YWHAQ;ATP5PB;YWHAH;PADI2;YWHAE;ACTB	0.00032953894504241	other
GO:BP 2026.1.Hs	GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	The aggregation, arrangement and bonding together of a set of components to form a mitochondrial respiratory chain complex or between respiratory chain complexes to form high-order structures. [GOC:mah]	77	Down	5.18563665567004e-06	0.000778133589275821	23	COX16;NDUFA6;UQCRFS1;SDHAF3;SCO1;TMEM126B;HIGD1A;COA3;STMP1;NDUFC2;NDUFS3;COA6	0.000375799913556823	metabolic function
GO:BP 2026.1.Hs	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar. [GOC:go_curators, ISBN:0198506732]	103	Down	5.50665645491186e-06	0.000782814688669312	43	ATP5MC3;SDHD;ATP5PO;NDUFAB1;ATP5F1C;ATP5PD;NDUFA12;NDUFB5;ATP5PF;ATP5F1A;NDUFA6;ATP5F1B	0.000383414452380235	other
GO:BP 2026.1.Hs	GOBP_SYNCYTIUM_FORMATION	The formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane. Syncytia are normally derived from single cells that fuse or fail to complete cell division. [ISBN:0198506732]	64	Down	1.45578801274235e-05	0.00196604171120855	6	CD9;RPL5;RPL6;RPL9;MYH9;RPL15;RPL23;RPL17;RPL21;CAPN2;RPLP2;RPLP1	0.000975377968537376	other
