collection	gene_set	description	NGenes	Direction	PValue	FDR	strict_core_overlap	top_contributing_genes	global_fdr	interpretive_family
Reactome 2026.1.Hs	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Regulation of expression of SLITs and ROBOs	137	Down	7.63960786608172e-11	1.02075773243128e-08	16	RPL5;MAGOH;RPL6;PSMD6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;PABPC1	2.46620432113238e-08	other
Reactome 2026.1.Hs	REACTOME_SELENOAMINO_ACID_METABOLISM	Selenoamino acid metabolism	107	Down	8.89826167748314e-11	1.02075773243128e-08	8	RPL5;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;SEPHS2;GSR;RPL15;RPS7	2.63314393472855e-08	metabolic function
Reactome 2026.1.Hs	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Nonsense-Mediated Decay (NMD)	109	Down	2.01203314215282e-10	2.01957826643589e-08	13	RPL5;MAGOH;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;PABPC1;RPS7	5.4959459136805e-08	other
Reactome 2026.1.Hs	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Eukaryotic Translation Initiation	115	Down	4.5345117584159e-10	4.04579215778663e-08	13	RPL5;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;EIF4B;PABPC1;RPS7	1.07347008360899e-07	other
Reactome 2026.1.Hs	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	Ribosome-associated quality control	133	Down	5.38461085632617e-10	4.32384251762991e-08	13	RPL5;RPL6;PSMD6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7;RPS23	1.19504707192589e-07	other
Reactome 2026.1.Hs	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	SARS-CoV-1 modulates host translation machinery	36	Down	4.14450298186557e-09	3.02548717676186e-07	2	RPS13;HNRNPA1;RPS15A;RPS3A;RPS24;RPS7;RPS23;RPS27A;RPS18;RPS12;FAU;RPS10	8.17618338255813e-07	other
Reactome 2026.1.Hs	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	SARS-CoV-2 modulates host translation machinery	44	Down	6.48582468060159e-09	4.34009768210256e-07	5	RPS13;RPS15A;RPS3A;RPS24;RPS7;RPS23;SNRPD3;SNRPG;RPS27A;RPS18;RPS12;FAU	1.21216649688507e-06	other
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	Mitochondrial protein degradation	88	Down	9.53441627582204e-09	5.88933559191162e-07	37	COX5A;ATP5PO;FH;ATP5F1C;ATP5PD;SLC25A5;ATP5PF;ATP5F1A;HMGCS2;ATP5F1B;DLD;HADH	1.6928356097722e-06	metabolic function
Reactome 2026.1.Hs	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	Cellular response to starvation	132	Down	1.8830294108985e-08	1.08005186925107e-06	14	RPL5;LAMTOR3;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7;RPS23	3.18387163598005e-06	other
Reactome 2026.1.Hs	REACTOME_TRANSLATION	Translation	328	Down	4.12446142361001e-08	2.10049044145301e-06	57	NDUFAB1;SPCS2;NARS1;RPL5;MRPL34;SPCS1;MRPS6;SRP9;RPL6;SRP14;PSMD6;EEF1B2	5.30783957132157e-06	other
Reactome 2026.1.Hs	REACTOME_COMPLEX_IV_ASSEMBLY	Complex IV assembly	36	Down	4.18528606018034e-08	2.10049044145301e-06	17	COX5A;COX16;COX6C;COX7C;COX6A1;SCO1;HIGD1A;COA3;COX4I1;COX18;COX7A2L;COX8A	5.30783957132157e-06	other
Reactome 2026.1.Hs	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism of amino acids and derivatives	231	Down	4.73373120572944e-08	2.23599185776514e-06	35	RPL5;GOT1;DDC;ETHE1;SQOR;DLD;ACAT1;RPL6;TST;PSMD6;RPL22;RPS13	5.79637224536043e-06	metabolic function
Reactome 2026.1.Hs	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	Signaling by ROBO receptors	165	Down	5.63317862191354e-08	2.51302357410921e-06	22	RPL5;MAGOH;RHOA;RPL6;PFN1;PSMD6;RPL22;RPS13;CDC42;RPS15A;PFN2;RPL9	6.66780576213832e-06	other
Reactome 2026.1.Hs	REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide	95	Down	1.25111988868045e-07	5.28762774005474e-06	11	RPL5;RPL6;PSMD6;RPL22;RPL9;RPL15;PSMA5;PSMA3;RPS27A;RPL23;RPL17;PSMB2	1.43313765313041e-05	other
Reactome 2026.1.Hs	REACTOME_COMPLEX_I_BIOGENESIS	Complex I biogenesis	62	Down	2.64757090546783e-07	1.06299971854533e-05	27	NDUFAB1;NDUFA12;NDUFB5;NDUFA6;NDUFB6;NDUFA1;NDUFA5;NDUFC1;TMEM126B;NDUFB3;NDUFB9;NDUFB4	2.84894675312614e-05	other
Reactome 2026.1.Hs	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Formation of ATP by chemiosmotic coupling	20	Down	4.636949205353e-07	1.77308105328498e-05	13	ATP5MC3;ATP5PO;ATP5F1C;ATP5PD;ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC1;ATP5MG;ATP5MK;ATP5F1E	4.70451617948814e-05	other
Reactome 2026.1.Hs	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	Influenza Viral RNA Transcription and Replication	131	Down	6.01579969307923e-07	2.19576688797392e-05	10	RPL5;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7;RPS23;RPS27A	5.77354181354712e-05	other
Reactome 2026.1.Hs	REACTOME_CRISTAE_FORMATION	Cristae formation	32	Down	6.98521003680475e-07	2.43874941719748e-05	16	ATP5MC3;ATP5PO;ATP5F1C;ATP5PD;ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC1;ATP5MG;ATP5MK;ATP5F1E	6.36012329248555e-05	other
Reactome 2026.1.Hs	REACTOME_PROTEIN_LOCALIZATION	Protein localization	124	Down	1.23642411477858e-06	4.13686901736334e-05	36	IDH1;ATP5F1A;SCP2;ATP5F1B;ECH1;ATP5MC1;CYB5A;CAT;CS;CMC2;CHCHD2;CYC1	0.000109763550789469	other
Reactome 2026.1.Hs	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	59	Down	2.11937728429687e-06	6.80743983716154e-05	10	RPS13;RPS15A;RPS3A;RPS24;EIF4B;PABPC1;RPS7;RPS23;EIF4H;EIF4A2;RPS27A;EIF3K	0.000175021133407865	other
Reactome 2026.1.Hs	REACTOME_INFLUENZA_INFECTION	Influenza Infection	147	Down	3.3282538053995e-06	0.000102791838682146	14	HSPA1A;RPL5;RPL6;RPL22;RPS13;CLTC;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7	0.000268605210522128	other
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION	Mitochondrial translation elongation	73	Down	5.50085310094583e-06	0.00016359944592813	16	MRPL34;MRPS6;MRPS33;MRPL35;CHCHD1;KGD4;OXA1L;MRPS30;MRPL47;MRPL22;MRPL18;MRPL15	0.000383414452380235	metabolic function
Reactome 2026.1.Hs	REACTOME_SARS_COV_1_HOST_INTERACTIONS	SARS-CoV-1-host interactions	82	Down	6.31878049760353e-06	0.000181213597841987	17	FKBP1A;YWHAQ;YWHAH;RPS13;YWHAE;YWHAB;HNRNPA1;RPS15A;RPS3A;RPS24;RPS7;RPS23	0.000431499798980579	other
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_TRANSLATION	Mitochondrial translation	97	Down	5.51064392276525e-05	0.00152587829999328	17	NDUFAB1;MRPL34;MRPS6;MRPS33;MRPL35;CHCHD1;KGD4;OXA1L;MRPS30;MRPL47;MRPL22;MRPL18	0.00349433867316775	metabolic function
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Mitochondrial protein import	52	Down	6.44457016454328e-05	0.00172499661404275	14	ATP5F1A;ATP5F1B;ATP5MC1;CS;CMC2;CHCHD2;CYC1;HSPA9;COA6;TOMM22;CHCHD10;TIMM21	0.004014854149876	metabolic function
Reactome 2026.1.Hs	REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	26	Down	7.29366939754608e-05	0.00188929565362242	10	PDCD4;CFL1;ARF1;CDC42;CA1;HSPA9;HNRNPF;HNRNPA2B1;TCP1;PPIA;SOD2;CAPZA1	0.00446548621218726	other
Reactome 2026.1.Hs	REACTOME_SARS_COV_1_INFECTION	SARS-CoV-1 Infection	115	Down	0.000173518293084611	0.00435422466709195	22	FKBP1A;YWHAQ;YWHAH;RPS13;YWHAE;YWHAB;HNRNPA1;RPS15A;RPS3A;RPS24;RPS7;RPS23	0.00993812030231376	other
Reactome 2026.1.Hs	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Citric acid cycle (TCA cycle)	31	Down	0.000228232414484221	0.00552467162166494	15	SDHD;FH;SUCLG1;DLD;ACAT1;SDHAF3;CS;SDHC;ISCA2;ISCA1;ISCU;SUCLG2	0.012663332872398	other
Reactome 2026.1.Hs	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	AUF1 (hnRNP D0) binds and destabilizes mRNA	38	Down	0.000233921338899885	0.00552467162166494	9	HSPA1A;HNRNPD;PSMD6;PABPC1;PSMA5;PSMA3;RPS27A;PSMB2;UBB;HSPA8;PSMB4;PSMB7	0.0127793026835922	other
Reactome 2026.1.Hs	REACTOME_BIOLOGICAL_OXIDATIONS	Biological oxidations	82	Down	0.000278680671397758	0.00639373083235427	22	UGT2A3;MAOA;MGST1;UGDH;MGST2;MGST3;UGP2;GGCT;CYP2J2;MAT2B;ACSS2;SULT1B1	0.0146293612276131	other
Reactome 2026.1.Hs	REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION	Dengue Virus Genome Translation and Replication	70	Down	0.000310066396172116	0.00691620322572804	25	HSPA1A;SPCS2;SPCS1;HSPA1B;NACA;DPM1;HNRNPD;OSTC;PABPC1;YBX1;SUMO1;EIF4A2	0.0157292253258169	other
Reactome 2026.1.Hs	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II - Conjugation of compounds	46	Down	0.000351645118541183	0.00763164946455594	13	UGT2A3;MGST1;UGDH;MGST2;MGST3;UGP2;GGCT;MAT2B;SULT1B1;BPNT2;GSTM4;SLC35D1	0.0166492242125299	other
Reactome 2026.1.Hs	REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274	AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)	44	Down	0.000398433905964117	0.0084195375391891	7	RNF5;PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;ERLIN2;PSMB4;PSMB7;DERL1;PSMC6	0.0179093518997288	other
Reactome 2026.1.Hs	REACTOME_PEROXISOMAL_PROTEIN_IMPORT	Peroxisomal protein import	47	Down	0.000530318745979649	0.0109191270005553	11	IDH1;SCP2;ECH1;CAT;PHYH;ECI2;PEX2;EHHADH;ACOT2;RPS27A;EPHX2;UBB	0.0232489119379473	other
Reactome 2026.1.Hs	REACTOME_MRNA_3_END_PROCESSING	mRNA 3'-end processing	134	Down	0.000591109254950758	0.0118665182931365	32	SF3B6;MAGOH;THOC7;HNRNPD;SRSF2;HNRNPA1;HNRNPH2;SNRPD3;YBX1;HNRNPF;NCBP1;SNRPG	0.0255979141991481	other
Reactome 2026.1.Hs	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Mitochondrial Fatty Acid Beta-Oxidation	28	Down	0.000618741316309273	0.0121182750486914	15	NDUFAB1;HADHA;HADH;DBI;ACSF2;ACAA2;ACADM;ACOT2;MMUT;PCTP;ECHS1;DECR1	0.0261565525501694	metabolic function
Reactome 2026.1.Hs	REACTOME_RRNA_PROCESSING	rRNA processing	164	Down	0.000667406594081892	0.0127601784535181	14	RPL5;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7;RPS23;C1D	0.0275576839021488	other
Reactome 2026.1.Hs	REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION	Regulation of PD-L1(CD274) Post-translational modification	69	Down	0.000755442889462807	0.0141074567497357	14	RNF5;PSMD6;SKP1;OSTC;COPS5;PSMA5;PSMA3;DAD1;RPS27A;RPN1;PSMB2;UBB	0.0308342264423268	other
Reactome 2026.1.Hs	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Negative regulation of NOTCH4 signaling	38	Down	0.000831225035427635	0.0151698568965543	8	PSMD6;SKP1;PSMA5;YWHAZ;PSMA3;RPS27A;PSMB2;UBB;RBX1;PSMB4;PSMB7;PSMC6	0.0335418193273129	other
Reactome 2026.1.Hs	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	PINK1-PRKN Mediated Mitophagy	28	Down	0.000955499365015958	0.0170503553357292	7	VDAC2;MFN2;TOMM22;UBE2N;RPS27A;UBB;TOMM40;MAP1LC3B;VDAC3;TOMM20;UBE2D3;VDAC1	0.0368801983170833	other
Reactome 2026.1.Hs	REACTOME_REGULATION_OF_CDH1_FUNCTION	Regulation of CDH1 Function	48	Down	0.000996613488385998	0.0173974050255208	10	PSMD6;CTNND1;ACTB;ACTG1;CDH1;PSMA5;PSMA3;RPS27A;PSMB2;UBB;PSMB4;PSMB7	0.0380534892178353	other
Reactome 2026.1.Hs	REACTOME_FATTY_ACID_METABOLISM	Fatty acid metabolism	91	Down	0.00106311137794765	0.0181633709891908	27	HPGD;CPT1A;NDUFAB1;HADHA;SCP2;SLC22A5;HADH;DBI;ACSF2;ACAA2;ACADM;CYP2J2	0.0394317816377736	metabolic function
Reactome 2026.1.Hs	REACTOME_ABC_TRANSPORTER_DISORDERS	ABC transporter disorders	44	Down	0.0011157938086319	0.0186343829675784	8	RNF5;PSMD6;LMBRD1;PSMA5;PSMA3;RPS27A;PSMB2;UBB;ERLIN2;PSMB4;PSMB7;DERL1	0.0408472558190916	mature epithelial function
Reactome 2026.1.Hs	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	RNA Polymerase II Transcription Termination	52	Down	0.00113709186228063	0.0186343829675784	14	MAGOH;THOC7;SRSF2;SNRPD3;NCBP1;SNRPG;SRSF3;SRSF7;SRSF1;PAPOLA;NUDT21;EIF4A3	0.0412021755403929	other
Reactome 2026.1.Hs	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	33	Down	0.00116053842008759	0.0186382470266067	11	HSPA1A;DYNLL1;HSPA1B;ACTR10;DYNLL2;FKBP5;FKBP4;DCTN2;DCTN6;DNAJA2;HSPA8;DNAJA1	0.0416269891892023	other
Reactome 2026.1.Hs	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	Cellular response to hypoxia	52	Down	0.00123331041816429	0.0194185934467828	12	CITED2;PSMD6;HIGD1A;PSMA5;PSMA3;RPS27A;PSMB2;UBB;UBE2D1;RBX1;EGLN1;PSMB4	0.0425192747077805	stress/inflammatory
Reactome 2026.1.Hs	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	Vif-mediated degradation of APOBEC3G	36	Down	0.00128981586480297	0.0196210966061137	7	PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;RBX1;PSMB4;PSMB7;PSMC6;PSMC2;PSMD14	0.0437970615496698	other
Reactome 2026.1.Hs	REACTOME_INTERLEUKIN_12_SIGNALING	Interleukin-12 signaling	30	Down	0.00129504124548446	0.0196210966061137	12	PDCD4;CFL1;ARF1;CDC42;CA1;HSPA9;HNRNPF;HNRNPA2B1;TCP1;PPIA;SOD2;CAPZA1	0.0437970615496698	other
Reactome 2026.1.Hs	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Nervous system development	331	Down	0.00135568246382018	0.0201595003416223	64	MYL12A;RPL5;MAGOH;RHOA;RPL6;CFL1;PFN1;PSMD6;RPL22;RPS13;CLTC;ACTB	0.0453744739222903	WNT/stem-regulatory
Reactome 2026.1.Hs	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	E3 ubiquitin ligases ubiquitinate target proteins	39	Down	0.00142568904494376	0.0208150600561789	11	BCL10;PCNA;UBE2A;SELENOS;PEX2;SKIC8;UBE2N;RPS27A;UBB;UBE2D1;RRAGA;UBE2D3	0.0460238345326844	other
Reactome 2026.1.Hs	REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274	GSK3B-mediated proteasomal degradation of PD-L1(CD274)	38	Down	0.00150047690060551	0.0215157669854683	10	PSMD6;SKP1;COPS5;PSMA5;PSMA3;RPS27A;PSMB2;UBB;RBX1;PSMB4;PSMB7;PSMC6	0.0480017430094611	other
Reactome 2026.1.Hs	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	SCF(Skp2)-mediated degradation of p27/p21	38	Down	0.00161458268581158	0.022745787661521	8	PSMD6;SKP1;PSMA5;PSMA3;RPS27A;CDKN1B;PSMB2;UBB;PSMB4;PSMB7;PSMC6;PSMC2	0.05073790369307	other
Reactome 2026.1.Hs	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Antigen processing-Cross presentation	63	Down	0.00168804067512918	0.0233706321056678	12	B2M;PSMD6;SEC61B;SEC61G;PSMA5;PSMA3;RPS27A;HLA-C;HMGB1;PSMB2;UBB;PSMB4	0.0525206570689362	other
Reactome 2026.1.Hs	REACTOME_MRNA_SPLICING	mRNA Splicing	182	Down	0.00173964983571144	0.0234928206543304	40	SF3B6;MAGOH;HNRNPD;SRSF2;HNRNPA1;LSM3;HNRNPH2;SNRPD3;LSM6;YBX1;HNRNPF;NCBP1	0.0527991159539429	other
Reactome 2026.1.Hs	REACTOME_MRNA_POLYADENYLATION	mRNA Polyadenylation	115	Down	0.00175537887828123	0.0234928206543304	29	SF3B6;HNRNPD;SRSF2;HNRNPA1;HNRNPH2;SNRPD3;YBX1;HNRNPF;NCBP1;SNRPG;SRSF3;HNRNPA2B1	0.0528250033625138	other
Reactome 2026.1.Hs	REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	36	Down	0.00178566589941241	0.0235063888070191	9	PSMD6;SKP1;PSMA5;PSMA3;RPS27A;PSMB2;UBB;RBX1;PSMB4;PSMB7;PSMC6;PSMC2	0.053284870662298	cell cycle/proliferation
Reactome 2026.1.Hs	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Budding and maturation of HIV virion	24	Down	0.0018390950669372	0.0238192473992027	6	CHMP5;RPS27A;UBB;PPIA;PDCD6IP;CHMP4B;VPS4B;CHMP2B;TSG101;VTA1;CHMP3;CHMP2A	0.0539721205181321	other
Reactome 2026.1.Hs	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	Hh mutants abrogate ligand secretion	38	Down	0.00219315986734554	0.0276437554336916	6	PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;PSMB4;PSMB7;PSMC6;PSMC2;PSMD14;PSMD11	0.0623381898447877	other
Reactome 2026.1.Hs	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	Endosomal Sorting Complex Required For Transport (ESCRT)	26	Down	0.00220323829110369	0.0276437554336916	7	CHMP5;RPS27A;VPS25;UBB;CHMP4B;VPS36;VPS4B;CHMP2B;TSG101;VTA1;SNF8;CHMP3	0.0623381898447877	mature epithelial function
Reactome 2026.1.Hs	REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	Regulation of RUNX1 Expression and Activity	16	Up	0.00225299865550221	0.0278331987748965	6	CCND3;RUNX1;PML;CBFB;AGO4;TNRC6C;AGO3;TNRC6B;AGO2;SRC;MOV10;TNRC6A	0.0629952616195933	other
Reactome 2026.1.Hs	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	The role of GTSE1 in G2/M progression after G2 checkpoint	40	Down	0.0023877318603974	0.029050737634835	7	PSMD6;PSMA5;PSMA3;RPS27A;MAPRE1;PSMB2;UBB;PSMB4;PSMB7;PSMC6;PSMC2;PSMD14	0.0650520321194045	other
Reactome 2026.1.Hs	REACTOME_DEGRADATION_OF_DVL	Degradation of DVL	36	Down	0.00242455083293059	0.0290584226693024	7	PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;RBX1;PSMB4;PSMB7;PSMC6;PSMC2;PSMD14	0.0652240909677009	other
Reactome 2026.1.Hs	REACTOME_PYRUVATE_METABOLISM	Pyruvate metabolism	38	Down	0.00267700858002944	0.0316123219082888	12	MPC2;MPC1;RMND5A;DLD;PDHA1;RPS27A;ME2;DLAT;UBB;PDHB;LDHA;PGAM5	0.0709407273707802	metabolic function
Reactome 2026.1.Hs	REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS	Degradation of CRY and PER proteins	41	Down	0.00276622072433341	0.0321923948063729	10	PSMD6;SKP1;PSMA5;PSMA3;RPS27A;PSMB2;UBB;UBE2D1;RBX1;PSMB4;PSMB7;PSMC6	0.0727618503119107	other
Reactome 2026.1.Hs	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	Orc1 removal from chromatin	43	Down	0.00287889799915658	0.0323483403860824	8	PSMD6;SKP1;PSMA5;PSMA3;RPS27A;PSMB2;UBB;RBX1;PSMB4;PSMB7;PSMC6;PSMC2	0.0740451029125149	other
Reactome 2026.1.Hs	REACTOME_HSF1_ACTIVATION	HSF1 activation	22	Down	0.00288325763972971	0.0323483403860824	8	HSPA1A;HSBP1;HSPA1B;YWHAE;RPA3;FKBP4;MRPL18;UBB;RPA1;EEF1A1;TNFRSF21;HSP90AA1	0.0740451029125149	other
Reactome 2026.1.Hs	REACTOME_MATURATION_OF_DENV_PROTEINS	Maturation of DENV proteins	43	Down	0.00290047385778074	0.0323483403860824	14	SPCS2;SPCS1;DPM1;OSTC;SUMO1;SEC11A;ACOT2;DAD1;RPS27A;RPN1;HSPA5;UBB	0.0740451029125149	other
Reactome 2026.1.Hs	REACTOME_TP53_REGULATES_METABOLIC_GENES	TP53 Regulates Metabolic Genes	62	Down	0.00300495791613262	0.0327356438902548	26	COX5A;CYCS;COX6C;LAMTOR3;COX7C;COX6A1;TXN;YWHAQ;YWHAH;YWHAE;YWHAB;GSR	0.0747786761231677	metabolic function
Reactome 2026.1.Hs	REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D	Ubiquitin-dependent degradation of Cyclin D	33	Down	0.00301673430620032	0.0327356438902548	6	PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;PSMB4;PSMB7;PSMC6;PSMC2;PSMD14;PSMD11	0.0747786761231677	other
Reactome 2026.1.Hs	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	Downstream signaling events of B Cell Receptor (BCR)	56	Down	0.0030919107526959	0.0329363893165286	17	FKBP1A;CALM1;PSMD6;SKP1;BCL10;KRAS;PSMA5;NRAS;PSMA3;RPS27A;PSMB2;UBB	0.075719828157401	other
Reactome 2026.1.Hs	REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING	Interleukin-12 family signaling	34	Down	0.00311726723294666	0.0329363893165286	13	PDCD4;CFL1;ARF1;CDC42;CA1;HSPA9;HNRNPF;HNRNPA2B1;TCP1;PPIA;CANX;SOD2	0.0758179174259836	other
Reactome 2026.1.Hs	REACTOME_MITOPHAGY	Mitophagy	34	Down	0.00323150411571891	0.0332914911342147	8	VDAC2;MFN2;TOMM22;UBE2N;RPS27A;UBB;TOMM40;MAP1LC3B;CSNK2B;VDAC3;PGAM5;TOMM20	0.0775891978675617	other
Reactome 2026.1.Hs	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Asparagine N-linked glycosylation	208	Down	0.00323379365936332	0.0332914911342147	51	TMED7;RNF5;DYNLL1;TRIM13;ARF3;CMAS;DPM1;ARF1;UAP1;RNF103;FUCA1;RAB1A	0.0775891978675617	other
Reactome 2026.1.Hs	REACTOME_GLUTATHIONE_CONJUGATION	Glutathione conjugation	19	Down	0.00344455000829221	0.0350123247678309	6	MGST1;MGST2;MGST3;GGCT;GSTM4;GSTK1;CNDP2;GSS;GSTO1;ESD;GCLM;GSTA4	0.0815439805296376	other
Reactome 2026.1.Hs	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	PKMTs methylate histone lysines	36	Up	0.00361423732806489	0.0362779071804513	10	NSD1;SMYD3;SETDB1;RELA;MECOM;KMT2D;ASH1L;ATF7IP;KMT2B;EHMT1;KMT2A;AEBP2	0.0844352417892001	other
Reactome 2026.1.Hs	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	ABC-family proteins mediated transport	54	Down	0.00366419887131211	0.0363253295514028	9	RNF5;PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;ERLIN2;PSMB4;ABCD3;PSMB7;DERL1	0.0849808421441256	mature epithelial function
Reactome 2026.1.Hs	REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274	SPOP-mediated proteasomal degradation of PD-L1(CD274)	39	Down	0.0037981704398096	0.0371942788191111	7	PSMD6;PSMA5;PSMA3;RPS27A;PSMB2;UBB;RBX1;CSNK2B;PSMB4;PSMB7;PSMC6;PSMC2	0.0868976134929262	other
Reactome 2026.1.Hs	REACTOME_NEUTROPHIL_DEGRANULATION	Neutrophil degranulation	267	Down	0.00387032198491943	0.0374441994444614	66	LGALS3;HSPA1A;STBD1;PRDX6;IDH1;PGM1;LAMTOR3;MGST1;DYNLL1;RHOA;HSPA1B;PGRMC1	0.0868976134929262	other
Reactome 2026.1.Hs	REACTOME_PROTEIN_UBIQUITINATION	Protein ubiquitination	55	Down	0.00397607315195836	0.0380093659645543	14	BCL10;PCNA;UBE2A;UBE2E3;SELENOS;PEX2;SKIC8;UBE2N;RPS27A;UCHL3;UBB;UBE2D1	0.0868976134929262	other
Reactome 2026.1.Hs	REACTOME_SIGNALING_BY_RETINOIC_ACID	Signaling by Retinoic Acid	18	Down	0.00409111823462778	0.0381844166865741	4	DHRS9;DLD;PDHA1;ADH1C;DLAT;PDHB;AKR1C3;ALDH1A1;RDH11;PDHX;PDK3;PDK1	0.0868976134929262	other
