pert_id	pert_desc	hit__full_programme	best_q__full_programme	best_rank__full_programme	n_signatures__full_programme	hit__adenoma_up_arm	best_q__adenoma_up_arm	best_rank__adenoma_up_arm	n_signatures__adenoma_up_arm	hit__mature_function_loss_arm	best_q__mature_function_loss_arm	best_rank__mature_function_loss_arm	n_signatures__mature_function_loss_arm	dual_arm_recurrent_hit	n_supported_queries	supported_queries	n_supported_cell_lines	supported_cell_lines	ht29_support	best_q_any_query
BRD-K10846167	N-((1H-naphtho[2,3-d]imidazol-2-yl)methyl)-2-morpholino-9-(thiophen-3-yl)-9H-purin-6-amine	False			0	False	0.989840532964379	27.0	0	False			0	False	0		0		False	0.989840532964379
BRD-A11706664	EI-332	False	1.0	30.0	0	False			0	False			0	False	0		0		False	1.0
BRD-A37959677	ESTRONE	False	1.0	24.0	0	False			0	False			0	False	0		0		False	1.0
BRD-A63583287	-666	False			0	False	1.0	39.0	0	False			0	False	0		0		False	1.0
BRD-A87606379	NADOLOL	False	1.0	47.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K00317371	-666	False	1.0	45.0	0	False	1.0	42.0	0	False			0	False	0		0		False	1.0
BRD-K02607075	-666	False	1.0	20.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K04546108	JAK3 Inhibitor VI	False	1.0	27.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K12357156	AG 490	False	1.0	35.0	0	False	1.0	34.0	0	False			0	False	0		0		False	1.0
BRD-K19894101	MST- 312	False	1.0	46.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K31450967	-666	False	1.0	39.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K32636001	MLS-0437446.0001	False	1.0	49.0	0	False	1.0	37.0	0	False			0	False	0		0		False	1.0
BRD-K32710582	EI-247	False			0	False	1.0	49.0	0	False			0	False	0		0		False	1.0
BRD-K54687541	3-isobutyl-6-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}pyrimidine-2,4(1H,3H)-dione	False			0	False	1.0	33.0	0	False			0	False	0		0		False	1.0
BRD-K56653679	-666	False			0	False	1.0	40.0	0	False			0	False	0		0		False	1.0
BRD-K61496577	-666	False			0	False	1.0	35.0	0	False			0	False	0		0		False	1.0
BRD-K67439147	-666	False			0	False	1.0	22.0	0	False			0	False	0		0		False	1.0
BRD-K72381041	-666	False	1.0	38.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K77547509	3-cyclohexyl-6-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}pyrimidine-2,4(1H,3H)-dione	False	1.0	48.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K79090631	CGP60474:MLS000911536, SMR000463552	False			0	False	1.0	30.0	0	False			0	False	0		0		False	1.0
BRD-K81249836	-666	False			0	False	1.0	45.0	0	False			0	False	0		0		False	1.0
BRD-K85853281	-666	False	1.0	41.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K88317944	VU0420364-1	False	1.0	32.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K92571446	WZ3105	False	1.0	40.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K95858622	NCGC00182609-01	False	1.0	34.0	0	False			0	False			0	False	0		0		False	1.0
BRD-K99749624	S1003	False	1.0	50.0	0	False			0	False			0	False	0		0		False	1.0
BRD-M86331534	BJM-ctd2-9	False			0	False	1.0	48.0	0	False			0	False	0		0		False	1.0
