query	result_direction	rank	sig_id	pert_id	pert_desc	cell_id	pert_time_h	pert_dose_uM	score	z_score	p_value	q_value	combined_score
mature_function_loss_arm	opposite	10	CPC015_MCF7_24H:BRD-K04218075-048-03-4:10	BRD-K04218075	-666	MCF7	24	10.0	-0.0466101694915254	1.6700422289841044	5.31797151576102e-06	0.00242188343210866	-8.808226894992163
mature_function_loss_arm	opposite	11	CPC009_VCAP_6H:BRD-K26304855-001-01-5:10	BRD-K26304855	-666	VCAP	6	10.0	-0.0466101694915254	1.745115773506931	1.12250085683621e-06	0.000787756380004938	-10.383113072086417
mature_function_loss_arm	opposite	12	MUC.CP004_MCF7_24H:BRD-A19037878-001-03-1:0.3704	BRD-A19037878	-666	MCF7	24	0.3704	-0.0466101694915254	1.6741596906860174	2.50835390591205e-07	0.000249721214786486	-11.050477185708946
mature_function_loss_arm	opposite	13	CPC006_SW620_6H:BRD-K68548958-001-01-2:20	BRD-K68548958	-666	SW620	6	20.0	-0.0451977401129944	1.8022951281639497	3.401083830105e-06	0.00175418069497548	-9.855639433219158
mature_function_loss_arm	opposite	14	CPC019_A375_6H:BRD-A94377914-001-02-7:10	BRD-A94377914	-666	A375	6	10.0	-0.0451977401129944	1.657328039632189	1.21743422361307e-05	0.00430720179162411	-8.14502896495005
mature_function_loss_arm	opposite	15	CPC006_HT29_24H:BRD-K74148702-001-03-8:48	BRD-K74148702	curcumin	HT29	24	48.0	-0.0451977401129944	1.7953349914803944	2.85653599066585e-06	0.00160901906874229	-9.953624984454894
mature_function_loss_arm	opposite	16	CPC020_HCC515_6H:BRD-K06666320-001-06-7:10	BRD-K06666320	-666	HCC515	6	10.0	-0.0451977401129944	1.627865062129763	2.15566380085717e-05	0.00651422306258505	-7.5963004083740175
mature_function_loss_arm	opposite	17	CPC004_VCAP_24H:BRD-A73741725-001-01-0:10	BRD-A73741725	EXEMESTANE	VCAP	24	10.0	-0.0451977401129944	1.7984814320256657	1.72106218774053e-05	0.00553962039060032	-8.568331419612326
mature_function_loss_arm	opposite	18	CPC014_ASC_24H:BRD-K16485616-001-03-0:10	BRD-K16485616	S1122	ASC	24	10.0	-0.0437853107344633	1.693310015542453	2.17464176002035e-05	0.00651422306258505	-7.8952480662063635
mature_function_loss_arm	opposite	19	CPC015_NPC_24H:BRD-K22503835-001-06-0:10	BRD-K22503835	-666	NPC	24	10.0	-0.0437853107344633	1.7076872703099453	2.01442890415249e-05	0.00634085933513705	-8.01903994801391
mature_function_loss_arm	opposite	20	CPC002_VCAP_6H:BRD-K19111024-001-08-4:10	BRD-K19111024	Clofibric acid	VCAP	6	10.0	-0.0437853107344633	1.8342920777398235	4.83025109530158e-06	0.00224758933846484	-9.751152250263626
mature_function_loss_arm	opposite	21	CPC006_A375_24H:BRD-A31107743-001-01-3:0.09	BRD-A31107743	89671	A375	24	0.09	-0.0437853107344633	1.7571556048080725	4.38679432860669e-05	0.0101510420763959	-7.657425343600048
mature_function_loss_arm	opposite	22	MUC.CP005_MCF7_6H:BRD-A19037878-001-02-3:10	BRD-A19037878	trichostatin-a	MCF7	6	10.0	-0.0437853107344633	1.587392268786753	2.34637918992201e-05	0.00680571478146459	-7.3489941077000696
mature_function_loss_arm	opposite	23	CPC014_MCF7_24H:BRD-U29336476-000-01-3:10	BRD-U29336476	-666	MCF7	24	10.0	-0.0437853107344633	1.7241670542498582	9.09864794898951e-06	0.00347771446471689	-8.691566015387048
mature_function_loss_arm	opposite	24	CPC006_A375_6H:BRD-K88544581-001-03-8:80	BRD-K88544581	CI 976	A375	6	80.0	-0.0423728813559322	1.7580018513071598	7.13073062341655e-05	0.0141439325209759	-7.290198051542954
mature_function_loss_arm	opposite	25	CPC006_RMUGS_6H:BRD-K54233340-300-01-0:10	BRD-K54233340	Dorsomorphin dihydrochloride	RMUGS	6	10.0	-0.0423728813559322	1.785140171858394	2.09220906349158e-05	0.00644355235964107	-8.353375853224293
mature_function_loss_arm	opposite	26	CPC006_MCF7_24H:BRD-K68336408-001-04-2:56.78	BRD-K68336408	Tyrphostin AG 1478	MCF7	24	56.78	-0.0423728813559322	1.7713028056177826	5.97485631236645e-05	0.0122970011478892	-7.481403010334651
mature_function_loss_arm	opposite	27	CPC014_A375_6H:BRD-K80622725-001-10-2:10	BRD-K80622725	STK397047	A375	6	10.0	-0.0423728813559322	1.7244241158576563	1.14110590040127e-05	0.00407080020752317	-8.523266326895413
mature_function_loss_arm	opposite	28	CPC019_PC3_6H:BRD-A94377914-001-02-7:10	BRD-A94377914	-666	PC3	6	10.0	-0.0423728813559322	1.672347300932895	2.85366669302293e-05	0.00768318348815212	-7.600144114808366
mature_function_loss_arm	opposite	29	CPC012_VCAP_24H:BRD-K99532291-001-03-1:10	BRD-K99532291	SPB02303	VCAP	24	10.0	-0.0423728813559322	1.7482406875622016	1.4599151414768e-05	0.0049210635662583	-8.453919218906899
mature_function_loss_arm	opposite	30	CPC003_PC3_24H:BRD-K17415526-001-02-7:10	BRD-K17415526	Tyrphostin B44, (+) enantiomer	PC3	24	10.0	-0.0423728813559322	1.8428077843455757	1.4599151414768e-05	0.0049210635662583	-8.911214717553593
mature_function_loss_arm	opposite	31	CPC006_LOVO_6H:BRD-K69840642-001-01-4:10	BRD-K69840642	HDAC6 inhibitor ISOX	LOVO	6	10.0	-0.0423728813559322	1.739236648537317	0.000100654176394114	0.0170312436255164	-6.952021424563915
mature_function_loss_arm	opposite	32	CPC019_HT29_6H:BRD-A94377914-001-02-7:10	BRD-A94377914	-666	HT29	6	10.0	-0.0423728813559322	1.64218344043376	4.47337733671872e-05	0.0102957424950318	-7.142454303839282
