pseudobulk_id	cell_type	library_size	normalization_factor	effective_library_size
HTA11_3410_2000002021__GOB	GOB	1989318	1.12809032711629	2244130.39335833
HTA11_347_2000001011__GOB	GOB	424175	1.32994945704391	564131.310941601
HTA11_377_2000001011__GOB	GOB	928303	1.16403334404383	1080575.64537592
HTA11_392_3000012011__GOB	GOB	902224	1.32005849484316	1190988.45545137
HTA11_411_2000002011__GOB	GOB	1814870	1.17907824807777	2139873.74008889
HTA11_411_2000002021__GOB	GOB	3315188	1.17977931384446	3911190.22390539
HTA11_5216_2000002011__GOB	GOB	205722	0.807611816282449	166143.518069258
HTA11_5216_2000002021__GOB	GOB	444575	0.943047357028378	419255.278750891
HTA11_5363_2000002021__GOB	GOB	120871	0.68659327349734	82989.2155608969
HTA11_546_2000001011__GOB	GOB	1174290	1.11245418663078	1306343.82681866
HTA11_546_2000002011__GOB	GOB	1100406	1.01365370842249	1115430.62267036
HTA11_546_2000002021__GOB	GOB	3762644	1.09312029485354	4113022.51870889
HTA11_6025_2000002011__GOB	GOB	402818	0.689345214873562	277680.660764939
HTA11_6134_2000002021__GOB	GOB	123574	0.828879571543293	102427.964173891
HTA11_6147_2000002011__GOB	GOB	165249	0.815121473974601	134698.008452829
HTA11_6147_2000002021__GOB	GOB	353518	0.822713262877801	290843.947266035
HTA11_6310_2000002021__GOB	GOB	457970	0.77433155516825	354620.622320403
HTA11_696_2000001011__GOB	GOB	8204657	1.03832556798369	8519105.13963638
HTA11_696_2000002011__GOB	GOB	697713	1.1408922655841	796015.365297477
HTA11_696_2000002021__GOB	GOB	6010269	1.05696260048444	6352629.55185101
HTA11_78_2000001011__GOB	GOB	2508036	1.33423324490256	3346305.01061244
HTA11_78_2000002011__GOB	GOB	540992	1.14194850366758	617785.004896129
HTA11_83_2000002011__GOB	GOB	1254114	1.3103724538968	1643356.43964633
HTA11_83_2000002021__GOB	GOB	2410786	1.12070785684234	2701786.81136552
