module	n_independent_datasets_positive_reversal	one_model_n3_all_positive	perturbation_gate_pass
M02	6	False	True
M03	4	True	True
M04	3	True	True
M05	3	True	True
M06	4	True	True
M09	2	True	True
M10	4	True	True
