gene	module	module_color	module_numeric	strict_state_shared	programme_direction	discovery_common_z	heldout_common_z	heldout_common_fdr	kme_discovery_ABS	abs_kme_discovery_ABS	kme_heldout_ABS	abs_kme_heldout_ABS	kme_discovery_GOB	abs_kme_discovery_GOB	kme_heldout_GOB	abs_kme_heldout_GOB	kme_discovery_TAC	abs_kme_discovery_TAC	kme_heldout_TAC	abs_kme_heldout_TAC	module_size	observed_kme_states_0.70	bootstrap_kme_states_ci_low_gt_0.40	minimum_bootstrap_kme_ci_low	discovery_detection_fraction	heldout_detection_fraction	external_cohorts_measurable	ffpe_measurable	protein_coding	heldout_gene_direction_concordant	kme_gate_pass	detection_gate_pass	heldout_gene_gate_pass	platform_gate_pass	pre_orthogonal_gate_pass	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	protein_group_present	protein_accessions	n_samples	n_detected	detection_fraction	median_log2_intensity_detected	archival_group_kruskal_p	archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	n_informative_sections	median_direction_oriented_difference	direction_concordant_fraction	p_paired_wilcoxon	spatial_directional_support	protein_directional_support	orthogonal_evidence_count	orthogonal_gate_pass
ACADSB	M05	green	5	False	not_shared	-3.0402569853836	-2.98103879390902	0.0097007267087722	0.766547771481108	0.766547771481108	0.754281119885555	0.754281119885555	0.67339391447741	0.67339391447741	0.480902716456701	0.480902716456701	0.760526582146609	0.760526582146609	0.66954324600427	0.66954324600427	512	2	2	0.317123706521605	0.985074626865672	0.975409836065574	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	16.803153735223727	16.555113701965922	-0.248040033257805	0.2524030209853873	0.5546875	71.0	0.6967970185092274	0.014476461161885501	-0.5285771888016304	0.5575301111254014	0.9583312694903512	0.8332830324440246	0.9819937699715944	True	P45954	118	118	1.0	15.4725399017334	0.021917269616024092	0.07463715581593498	True	False	True	False	6	0.0	0.0		False	False	0	False
ACSL5	M04	yellow	4	False	not_shared	-1.09869168482765	-2.25204839144046	0.0566386934555993	0.785941875469181	0.785941875469181	0.519209082742916	0.519209082742916	0.603070921662348	0.603070921662348	0.373154526332849	0.373154526332849	0.830275368628676	0.830275368628676	0.485250047116236	0.485250047116236	812	2	2	0.315153242883932	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	16.993113932501977	17.875553540911973	0.8824396084099959	1.6492977260076072	0.90625	116.0	0.0007015912252148623	1.186874712260171	0.4639882597806939	1.9097611647396482	0.0012909834853908324	0.005086536382807752	0.00751938395349134	True	Q9ULC5;Q9ULC5-3	118	118	1.0	17.07869052886965	0.014919391914479574	0.05802548409182643	True	False	False	False	6	0.05661089222794402	0.5	0.84375	False	False	0	False
ACTB	M04	yellow	4	True	down	-5.34180422967372	-5.06110561855925	5.24339941681072e-06	0.858496795260451	0.858496795260451	0.709592268981901	0.709592268981901	0.844406548765942	0.844406548765942	0.795901341599036	0.795901341599036	0.789779752640255	0.789779752640255	0.561021339979836	0.561021339979836	812	3	3	0.47829894652838	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	15	1.0	0.9375	14.809064526771042	15.603986520622742	0.7949219938517	0.8536772940020314	0.775	93.0	0.033717168997825876	1.3304750397506666	-0.22107372554481186	2.882023805046145	0.09282180803932547	0.09239035284443625	0.2217038868277414	False		118	0	0.0				True	False	False	False	6	-0.5167521538685067	0.0	0.03125	False	False	0	False
ACTG1	M04	yellow	4	True	down	-5.20198156204732	-4.58093347790983	4.16907550011269e-05	0.901504705852711	0.901504705852711	0.878968393849584	0.878968393849584	0.600267368860541	0.600267368860541	0.817259889775825	0.817259889775825	0.864254780254965	0.864254780254965	0.833651456409876	0.833651456409876	812	2	2	0.316680057180455	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	24.021766072344814	23.57709501756777	-0.44467105477704294	-2.257384734779037	0.0390625	5.0	5.166757084915653e-05	-0.3913230225727429	-0.6238888429291839	-0.15875720221630182	0.0009741050390206237	0.0006200108501898784	0.006219286018362444	True	P63261	118	118	1.0	25.10317516326905	0.027924293674287032	0.09089642532752616	True	False	False	False	6	-0.13700911991425002	0.3333333333333333	0.3125	False	True	1	True
ACTR2	M05	green	5	False	down	-2.36002864735398	-3.7134007177622	0.0010452339259967	0.809690865514039	0.809690865514039	0.786241741860976	0.786241741860976	0.552243012624756	0.552243012624756	0.519677266444383	0.519677266444383	0.858477177951004	0.858477177951004	0.850510359949089	0.850510359949089	512	2	2	0.0817220199669619	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	19.680373535872334	19.94565497208698	0.2652814362146465	1.0269352535326273	0.7734375	99.0	0.032428199072431135	0.2250418284511242	-0.08928471323356124	0.5393683701358096	0.16054689328533867	0.08956359743814314	0.3416767216072592	True	P61160	118	118	1.0	17.6681146621704	0.2615832401353291	0.4110593773555171	True	False	False	False	6	-0.06779977161777495	0.3333333333333333	0.4375	False	False	0	False
ACTR3	M05	green	5	True	down	-3.8116187870967	-7.72097094922551	1.24455220151859e-12	0.748504406425763	0.748504406425763	0.656778724413762	0.656778724413762	0.605688447405208	0.605688447405208	0.37046694713579	0.37046694713579	0.784994931630145	0.784994931630145	0.881198097433326	0.881198097433326	512	2	2	0.352023693755508	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	19.081032565629066	18.934193799927996	-0.14683876570106946	0.03635579241148334	0.453125	58.0	0.741723331035486	0.06018078396466975	-0.38518905560975586	0.5055506235390954	0.791131993304176	0.8749820989842343	0.9182393145059615	True	P61158	118	118	1.0	18.5744695663452	0.00018779345500503607	0.0028526720069812625	True	False	False	False	6	-0.3222085323099879	0.0	0.03125	False	False	0	False
ACYP2	M03	brown	3	False	up	3.5841571242019	5.16691485656087	3.31369094039379e-06	0.887910101849328	0.887910101849328	0.723000733729337	0.723000733729337	0.756084686559809	0.756084686559809	0.619380214064205	0.619380214064205	0.441097182554672	0.441097182554672	0.685840545415104	0.685840545415104	993	2	2	0.078931085126967	1.0	1.0	5	True	True	True	True	True	True	True	True	1	True	8	15	1.0	0.9375	14.695858804258283	15.198270992051619	0.5024121877933361	0.3201152018500488	0.625	75.0	0.3572241461593999	0.3119610863484388	-1.3145132164405509	1.9384353891374284	0.7069725894289831	0.5404956646237876	0.8703286161036483	True	P14621	118	106	0.8983050847457628	13.5297446250916	0.6053444389103987	0.7505281608888565	False	False	False	False	6	0.0	0.0		False	False	0	False
ADH5	M05	green	5	True	down	-5.14968038812511	-5.31285175607145	1.68024277280777e-06	0.821342537416659	0.821342537416659	0.78200998086542	0.78200998086542	0.685744139496933	0.685744139496933	0.602933272684701	0.602933272684701	0.729978036291455	0.729978036291455	0.803201162978173	0.803201162978173	512	2	2	0.258306633070801	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	19.087557113111934	19.479234919291695	0.3916778061797608	1.7543260649688885	0.90625	116.0	0.0007015912252148623	0.5126839989094067	0.24518457599522886	0.7801834218235846	0.00017235621143502216	0.005086536382807752	0.001467237492216086	True	P11766	118	118	1.0	16.4468107223511	0.8723422429029123	0.92759058495343	True	False	False	False	6	0.23229116731474742	0.6666666666666666	0.84375	False	False	0	False
ADI1	M04	yellow	4	True	down	-2.93959783654499	-4.07844749736004	0.0002929844412952	0.804061979186876	0.804061979186876	0.777025984594384	0.777025984594384	0.52581222678038	0.52581222678038	0.697582624300965	0.697582624300965	0.758499737679167	0.758499737679167	0.493687268461557	0.493687268461557	812	2	2	0.223958008777621	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	False	0	0	0.0	0.0														True	Q9BV57;Q9BV57-2	118	63	0.5338983050847458	13.4034099578857	0.88625319685923	0.9370563389949087	False	False	False	False	6	-0.1737875283968675	0.5	1.0	False	False	0	False
AHCYL1	M10	purple	10	False	down	-2.37778870664144	-4.69992779591913	2.58617820480237e-05	0.806721182307109	0.806721182307109	0.654151742825526	0.654151742825526	0.501104915834877	0.501104915834877	0.460131676194353	0.460131676194353	0.759353919548146	0.759353919548146	0.79403519755717	0.79403519755717	47	2	2	0.104354290404594	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	13.381481604794581	13.679679594496312	0.2981979897017304	0.43168183918388014	0.6328125	81.0	0.31962919000205303	0.24034233661454651	-0.46872940282109266	0.9494140760501857	0.5064748871669561	0.5033075028086627	0.7329423965824745	True	O43865	118	105	0.8898305084745762	13.3747501373291	0.34550208468301546	0.5032655936706938	True	False	True	False	6	-0.03140974420272036	0.5	0.5625	False	False	0	False
AK2	M04	yellow	4	True	down	-6.35936594069309	-4.28719783699007	0.0001353728894957	0.893324855942922	0.893324855942922	0.827821508053945	0.827821508053945	0.74342864365415	0.74342864365415	0.780761356602548	0.780761356602548	0.912113260797267	0.912113260797267	0.91986517242553	0.91986517242553	812	3	2	0.398677146703241	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	19.155493426710066	19.8301336451729	0.6746402184628337	1.7329446256261676	0.890625	114.0	0.0012590571212189195	0.6422860592927647	0.224872858830453	1.0596992597550765	0.0025625606215875178	0.006846123096627875	0.01372209881237187	True	F8W1A4;P54819;P54819-2;P54819-5	118	118	1.0	19.2389049530029	0.4298802894788968	0.5835396269947578	True	False	False	False	6	-0.17938889424176496	0.16666666666666666	0.09375	False	False	0	False
ALDH2	M04	yellow	4	True	down	-3.78190249897793	-5.38941383669956	1.20034397988856e-06	0.826969069121626	0.826969069121626	0.802642551881544	0.802642551881544	0.608076334944396	0.608076334944396	0.66947600765512	0.66947600765512	0.751288654881936	0.751288654881936	0.705349774843203	0.705349774843203	812	2	2	0.3350738258876	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	20.41802965207255	20.331852494413738	-0.08617715765881329	-0.13534113788171886	0.375	48.0	0.3502789368989395	0.056244646535533294	-0.3613952124282456	0.4738845054993122	0.7918157886634195	0.5323016158988251	0.9182393145059615	True	P05091	118	118	1.0	19.6802854537964	0.28696419010291846	0.43591226972776664	True	False	False	False	6	0.39761558430345634	1.0	0.03125	True	False	1	True
ANKRD11	M03	brown	3	False	not_shared	0.974818670030111	2.4897401483372	0.0334395902465843	0.893301310535206	0.893301310535206	0.572422132386987	0.572422132386987	0.5961675326547	0.5961675326547	0.468983877704833	0.468983877704833	0.901914815275329	0.901914815275329	0.770316454978659	0.770316454978659	993	2	2	0.201484331283417	1.0	1.0	5	True	True	True	True	True	True	True	True	1	True	3	13	0.375	0.8125	4.146194232172495	7.311050406688735	3.16485617451624	0.40212329331900487	0.6666666666666666	26.0	0.4392857142857143	1.6330176862632946	-4.10948203064078	7.37551740316737	0.5772795609820949	0.6164170506912442	0.779092740837624	False		118	0	0.0				False	False	False	False	6	5.49520311974128	0.8333333333333334	0.0625	True	False	1	True
ANXA2	M04	yellow	4	False	not_shared	-1.43162443010873	-2.48486166935269	0.0338005417314682	0.885499522572857	0.885499522572857	0.814179350148955	0.814179350148955	0.754988419487548	0.754988419487548	0.641958175715286	0.641958175715286	0.826339942024657	0.826339942024657	0.506370233210749	0.506370233210749	812	3	3	0.593945015616254	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	21.68117408974411	22.198905027159377	0.5177309374152657	1.6232002434384933	0.9375	120.0	0.00018219617088913092	0.6428700971482899	0.30666088260030383	0.9790793116962759	0.00017848264221847357	0.001713628850524799	0.0014814059304133307	True	P07355	118	118	1.0	21.84371471405025	0.36424600768208343	0.5187253412972528	True	False	False	False	6	0.049607074423467346	0.5	1.0	False	False	0	False
APH1A	M04	yellow	4	True	down	-4.51037669537961	-3.31491125784356	0.0037017472171675	0.911394384345945	0.911394384345945	0.653633829069086	0.653633829069086	0.82063922249801	0.82063922249801	0.662403047902684	0.662403047902684	0.804178409085354	0.804178409085354	0.643630715522419	0.643630715522419	812	3	3	0.519405482940634	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	6	13	0.75	0.8125	13.814934733103534	14.583255052998666	0.7683203198951318	0.4062853020004352	0.6794871794871795	53.0	0.24406604747162025	0.2942291005390727	-0.8114289541457791	1.3998871552239245	0.6019695233936768	0.43556402318012233	0.8058624264786319	False		118	0	0.0				False	False	False	False	6	0.03261533822882612	0.5	0.4375	False	False	0	False
ARF1	M04	yellow	4	True	down	-5.74756505822181	-4.72649995510418	2.31184711896708e-05	0.899096825876847	0.899096825876847	0.925617333318114	0.925617333318114	0.910405839852046	0.910405839852046	0.840021120536156	0.840021120536156	0.749761697271417	0.749761697271417	0.798249308870745	0.798249308870745	812	3	3	0.540794115878148	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	False	0	0	0.0	0.0														True	P61204;P84077	118	118	1.0	19.12524032592775	0.01766656364677756	0.06404129321956865	True	False	False	False	6	-0.1182469876762795	0.16666666666666666	0.09375	False	False	0	False
ARF3	M04	yellow	4	True	down	-5.99776975479099	-5.16111701187603	3.40466862623893e-06	0.83675319863896	0.83675319863896	0.866871014576938	0.866871014576938	0.822263057212797	0.822263057212797	0.806256662012422	0.806256662012422	0.623399877637744	0.623399877637744	0.713625794412869	0.713625794412869	812	2	2	0.339387650063666	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	False	0	0	0.0	0.0														True	P61204;P84077	118	118	1.0	19.12524032592775	0.01766656364677756	0.06404129321956865	False	False	False	False	6	0.24577809489194458	0.8333333333333334	0.0625	True	False	1	True
ARID1B	M03	brown	3	False	up	3.31840082962152	2.59924724040009	0.0257652502593274	0.887435647899384	0.887435647899384	0.623655268400767	0.623655268400767	0.79887904506376	0.79887904506376	0.484214516974216	0.484214516974216	0.864080153245345	0.864080153245345	0.465984507220198	0.465984507220198	993	3	3	0.562811100480568	1.0	1.0	5	True	True	True	True	True	True	True	True	1	True	7	16	0.875	1.0	9.780870291311949	11.493222003184263	1.712351711872314	1.6290070770581129	0.8660714285714286	97.0	0.004601133151409097	2.2562446061165344	0.6240571851724699	3.888432027060599	0.006741627928848814	0.01952676020354105	0.031086395449691752	True	Q8NFD5;Q8NFD5-2;Q8NFD5-3	118	117	0.9915254237288136	13.4460601806641	0.0023734927418655313	0.016459656188154446	True	False	False	False	6	5.573211227349819	1.0	0.03125	True	True	2	True
ARL1	M05	green	5	True	down	-4.16694460768103	-2.93821389842063	0.0109141581856301	0.802768477038366	0.802768477038366	0.813805503336469	0.813805503336469	0.775402524030338	0.775402524030338	0.551065507908569	0.551065507908569	0.627282279632637	0.627282279632637	0.769847214607996	0.769847214607996	512	2	2	0.376138100601834	1.0	0.991803278688525	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	17.608512047399277	17.170529909724266	-0.4379821376750108	-0.8219757330595204	0.2734375	35.0	0.08080808080808081	-0.5079161196407687	-1.1329123960425895	0.11708015676105221	0.111203904476141	0.19130076272933416	0.25626628181323513	True	F8VYN9;P40616;P40616-2	118	118	1.0	15.8787651062012	0.4478695299101422	0.6036103467409379	False	False	False	False	6	0.08063244048938989	0.5	0.84375	False	False	0	False
ARPC2	M04	yellow	4	False	not_shared	-1.96159345912315	-5.74805523433745	1.98858195407166e-07	0.760619364452578	0.760619364452578	0.742712573092605	0.742712573092605	0.53656614215464	0.53656614215464	0.566843681120509	0.566843681120509	0.787833226968338	0.787833226968338	0.591202871774444	0.591202871774444	812	2	2	0.123159414885017	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	18.82390007813191	19.227602520224913	0.4037024420930031	1.2249654051086236	0.796875	102.0	0.019176826822539572	0.26196530027488696	-0.016938447405335177	0.540869047955109	0.06563167158493878	0.059057838356139564	0.16891251911782693	True	O15144	118	118	1.0	16.848450660705602	0.013048106256538227	0.05336340892097044	True	False	False	False	6	-0.3457327050373822	0.0	0.03125	False	False	0	False
ARPP19	M05	green	5	False	not_shared	-1.82053943504852	-2.01095844085376	0.09192855106904	0.721369848299804	0.721369848299804	0.863183239097199	0.863183239097199	0.726958827385534	0.726958827385534	0.556793528644196	0.556793528644196	0.753378172637905	0.753378172637905	0.792646983837093	0.792646983837093	512	3	3	0.43220138872198	1.0	1.0	4	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	14.577456762487321	16.03079454904035	1.4533377865530301	0.40509234016021467	0.6953125	89.0	0.13582860507076416	1.2367088292378696	-1.1594921075947604	3.6329097660704996	0.31174773180725923	0.27804914449779955	0.5319432355957031	True	H3BMD8;P56211;P56211-2	118	73	0.6186440677966102	14.2675895690918	0.004899760854734832	0.026749260313112797	False	False	False	False	6	-3.6125339279334785	0.0	0.03125	False	False	0	False
ASH1L	M03	brown	3	True	up	3.36568052695567	2.54327084546101	0.029419042417814	0.952916933042754	0.952916933042754	0.590308809050285	0.590308809050285	0.836679167961614	0.836679167961614	0.914414945218459	0.914414945218459	0.79986214495322	0.79986214495322	0.871275795452415	0.871275795452415	993	3	3	0.476276898008434	1.0	1.0	5	True	True	True	True	True	True	True	True	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	6	0.0	0.16666666666666666	1.0	False	False	0	False
ATG7	M03	brown	3	True	up	4.58350804849124	4.85836870552335	1.28917444396914e-05	0.862692020080423	0.862692020080423	0.889247199272777	0.889247199272777	0.375367809861899	0.375367809861899	0.814156714819069	0.814156714819069	0.836297746470309	0.836297746470309	0.761317872179931	0.761317872179931	993	2	2	0.0306067751814037	1.0	1.0	5	True	True	True	True	True	True	True	True	1	True	8	16	1.0	1.0	12.864359578163022	13.653329185489085	0.788969607326063	0.8125945054963473	0.71875	92.0	0.09260188369085934	0.615822205672406	-0.21000100624679352	1.4416454175916056	0.14386209784764667	0.21200957581854638	0.31422510845670193	True	O95352	118	117	0.9915254237288136	13.5695896148682	0.0702786934336861	0.16484487650989607	False	False	False	False	6	0.0	0.0		False	False	0	False
ATP13A1	M02	blue	2	False	not_shared	2.27433519997005	2.81234046497951	0.0152803244828065	0.882602307178508	0.882602307178508	0.697367717932742	0.697367717932742	0.783749245522456	0.783749245522456	0.650843381396896	0.650843381396896	0.794587997991654	0.794587997991654	0.780004526844069	0.780004526844069	2184	3	3	0.577545130837825	0.992537313432836	0.991803278688525	5	True	True	True	True	True	True	True	True	1	True	8	16	1.0	1.0	15.043157702489983	15.37378715328313	0.3306294507931469	0.46377447714927444	0.640625	82.0	0.29074701789737456	0.20850504694338207	-0.1951088288435338	0.6121189227302979	0.3112950998875552	0.4772639727749356	0.5319432355957031	True	Q9HD20	118	118	1.0	15.04536962509155	0.0012858749574528197	0.010596971120167794	True	False	False	False	6	5.591641442071438	1.0	0.03125	True	False	1	True
ATP13A2	M02	blue	2	True	up	3.0497309101512	2.79417165659042	0.015930022896563	0.781684614899022	0.781684614899022	0.539045554062585	0.539045554062585	0.848880702634737	0.848880702634737	0.780659912860063	0.780659912860063	0.697393023424273	0.697393023424273	0.630790872258083	0.630790872258083	2184	2	3	0.421652430981309	1.0	1.0	5	True	True	True	True	True	True	True	True	1	True	1	10	0.125	0.625	8.110501266200801	6.949695980574614	-1.1608052856261875		0.1	1.0	0.36363636363636365					0.5478158205430932		False		118	0	0.0				False	False	False	False	6	0.0	0.3333333333333333	0.5	False	False	0	False
ATP1A1	M04	yellow	4	False	not_shared	-2.27851621537083	-3.74696960484482	0.0009288617667346	0.79877651313159	0.79877651313159	0.499642675896817	0.499642675896817	0.804681422342857	0.804681422342857	0.644852638144502	0.644852638144502	0.684645788624487	0.684645788624487	0.425741141052773	0.425741141052773	812	2	2	0.330227970296445	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	19.897707864934446	20.41623456819079	0.5185267032563452	1.2778385323691586	0.796875	102.0	0.019176826822539572	0.42719485511202127	0.03846139067800647	0.8159283195460361	0.03124932226362918	0.059057838356139564	0.09787523576910273	True	P05023;P05023-4	118	118	1.0	20.7655401229858	0.03574621547398215	0.10461507097431473	True	False	False	False	6	0.6252852587346371	1.0	0.03125	True	False	1	True
ATP6AP2	M05	green	5	True	down	-5.08387149664139	-4.49555156366084	5.95547296306403e-05	0.766192424476387	0.766192424476387	0.584863362735014	0.584863362735014	0.413039308887335	0.413039308887335	0.135516303581559	0.135516303581559	0.738403067125522	0.738403067125522	0.776476374114724	0.776476374114724	512	2	2	0.038687064533404	0.985074626865672	0.975409836065574	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	11.955173367692915	13.189707245206982	1.2345338775140675	0.5132467950780675	0.640625	82.0	0.29074701789737456	0.5574216457877827	-1.1986438877735512	2.3134871793491167	0.5338469173775934	0.4772639727749356	0.7520432507910847	True	A0A1B0GUT7;A0A1B0GVB9;A0A1B0GVW0;A0A1C7CYW4;B7Z1I9;O75787;O75787-2	118	79	0.6694915254237288	13.2480497360229	0.8579988657138113	0.9215543372481677	False	False	False	False	6	-0.7487285963294408	0.0	0.03125	False	False	0	False
ATP6V1E1	M04	yellow	4	False	not_shared	0.964920989937257	-2.46529315273571	0.0353686272467329	0.739826485369499	0.739826485369499	0.675728261495239	0.675728261495239	0.830000308074382	0.830000308074382	0.290828776988024	0.290828776988024	0.674838442513681	0.674838442513681	0.289975399624018	0.289975399624018	812	2	3	0.447255752759294	1.0	1.0	5	True	True	True	True	True	True	True	True	-1	True	8	16	1.0	1.0	17.21946045479715	17.24594649472893	0.026486039931779004	-0.23047972931557426	0.484375	62.0	0.928439054701001	-0.26834403171924737	-0.6683731948947345	0.13168513145623972	0.18858864580834467	0.992548742007421	0.38649031116278043	True	P36543	118	118	1.0	15.455174922943101	0.07449082144625893	0.16829384731915353	True	False	False	False	6	-0.24960616662691137	0.5	0.5625	False	False	0	False
ATR	M02	blue	2	False	not_shared	0.245763935103335	2.00479330296043	0.0930531640377912	0.734404210139417	0.734404210139417	-0.609481541464468	0.609481541464468	0.771493802362992	0.771493802362992	-0.694673929640142	0.694673929640142	0.598693187075088	0.598693187075088	-0.58718443630335	0.58718443630335	2184	2	2	0.22887197624213	1.0	0.991803278688525	5	True	True	True	True	True	True	True	True	1	True	5	13	0.625	0.8125	6.7521308213990885	7.6048329154246925	0.852702094025604	0.2782068827832374	0.6307692307692307	41.0	0.44304388422035484	0.5122988658100991	-1.8166697729767898	2.841267504596988	0.6663741364268861	0.6186666666666667	0.845428939232268	False		118	0	0.0				False	False	False	False	6	0.0	0.0		False	False	0	False
