broad_state	k	fine_state	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
GOB	5	GOB_F1	-6.4058313	-3.5615804	-1.3801705	0.31048292	0.28246644	-0.4773743	-0.47259763	0.09594005	0.5101022	-0.46571642	0.29944396	0.08821944	0.17578846	-0.1269192	-0.107591435	0.07757318	-0.023650065	0.03575909	-0.021460768	-0.01177118
GOB	5	GOB_F2	6.022969	-6.1411676	0.025869481	0.22400686	-0.99527663	-0.118925765	0.55331486	-0.10583687	-0.5921291	0.30104437	-0.33538747	0.0005041534	-0.24607088	0.1936078	0.06259671	-0.049112365	0.12164211	0.020291472	0.043951474	0.0054575945
GOB	5	GOB_F3	-9.940422	5.348141	2.912418	-1.1641343	1.0291976	0.7640564	0.4068034	-0.38016647	-0.6024949	0.8658414	-0.39528787	-0.28018367	-0.21295865	-0.13981274	0.059262373	-0.17354667	-0.033839013	-0.03498536	-0.001121073	0.0116409585
GOB	5	GOB_F4	9.74927	3.2985382	1.1772857	-0.9319307	1.8623828	1.2605214	-0.397848	0.13994324	0.5678933	-0.05123513	0.30764145	0.09003956	0.23948285	0.044224773	0.15937951	0.05790178	-0.16375041	-0.06928579	-0.087165736	-0.00014849268
GOB	5	GOB_F5	3.0256486	16.042986	-2.4537687	2.0769773	-3.5259356	-1.7407728	0.12876084	0.35741478	-0.14573826	-0.6219087	0.001544912	-0.016456168	0.00050194823	0.030086633	-0.21881627	0.052818194	0.10122679	0.005893363	0.12099537	0.00657645
TAC	3	TAC_F1	-0.53872216	0.068266176	2.9847763	-0.8660976	0.102162585	-0.15474775	0.040770695	0.17883278	-0.2609816	0.026625548	-0.095900014	-0.037653137	-0.30697984	0.22426602	-0.16431467	0.17329396	-0.117396526	0.010287481	-0.007562059	0.056786045
TAC	3	TAC_F2	12.752876	0.17158318	-1.4978079	0.28502283	0.00075408287	0.13918081	0.011020126	-0.1757815	0.38565356	-0.1319546	0.08234477	0.016067808	0.18324547	-0.117909	0.05480087	-0.096512675	0.07503693	-0.020897023	0.0319876	-0.03158926
TAC	3	TAC_F3	-12.372213	-0.24868211	-1.7278304	0.65338117	-0.11200029	0.027059155	-0.055589356	-0.016093863	-0.10772203	0.10509274	0.0207413	0.024667826	0.1480361	-0.12436857	0.123220704	-0.09061089	0.051572558	0.010035835	-0.024271397	-0.029729752
TAC	4	TAC_F1	12.870482	0.10958772	-2.0483766	-0.4338668	-0.91173655	0.2639067	0.013452248	-0.157253	0.34744614	-0.15535043	0.16417547	0.08288047	0.23031129	-0.10960007	0.09636013	-0.088679835	0.06782851	-0.05617858	0.033617057	-0.033027258
TAC	4	TAC_F2	-13.135376	-0.5261373	-1.6427921	0.65904677	-0.2094381	0.116097115	-0.005354466	-0.071670465	0.14245613	0.09611595	0.09400164	0.048823204	0.26515844	-0.13952444	0.14269908	-0.069050334	0.048443943	0.0007283223	-0.02659394	-0.073371895
TAC	4	TAC_F3	-1.1867635	0.58870155	1.6115348	-1.7732937	-0.853119	0.06877906	0.020725286	0.2538221	-0.48180044	0.09901164	-0.062961206	-0.029786225	-0.37701523	0.26422182	-0.2085926	0.12313904	-0.12127878	0.07767812	0.0034268042	0.07138985
TAC	4	TAC_F4	4.4077888	-1.1975524	7.720001	7.880565	9.008161	-1.9599718	-0.13807055	-0.27243978	0.27883652	-0.2120262	-0.788907	-0.41375574	-0.23677821	-0.24951781	0.01996845	0.063051924	0.103143066	-0.14212665	-0.0524751	0.09471978
TAC	5	TAC_F1	4.9516	-0.69600064	7.9453716	7.9146485	9.214516	-1.9211555	-0.12901562	-0.27659148	0.3216966	-0.1783419	-0.8317694	-0.3948775	-0.3012	-0.208919	-0.032907065	0.07549034	0.011876309	-0.12254993	-0.06766218	0.11432504
TAC	5	TAC_F2	12.96875	0.57497793	-2.0468676	-0.542149	-0.8514097	0.23871112	0.0038908564	-0.12148101	0.36357397	-0.19441827	0.16853853	0.089620546	0.26444915	-0.1386466	0.11654701	-0.078383	0.11993523	-0.025935208	0.08798149	-0.025147485
TAC	5	TAC_F3	-2.1703463	-7.996306	-0.5071885	-0.21980064	-1.1551172	0.13252532	-0.15710762	0.283719	-0.3918827	-0.015659995	-0.116317436	-0.2205225	-0.059920426	0.29530364	-0.35784176	0.17936632	-0.04384908	0.13924302	0.08133599	0.13902535
TAC	5	TAC_F4	-14.034017	0.6379759	-1.6638297	0.7141829	-0.06928578	0.13662165	0.05800156	-0.1573954	0.27693436	0.15830891	0.16452008	0.101607256	0.29904395	-0.22773251	0.25810272	-0.101783	0.075281456	-0.029233694	-0.038992897	-0.11311869
TAC	5	TAC_F5	-1.6179936	3.917036	2.2790327	-2.0549428	-0.6679202	0.0132211875	0.07193544	0.19709663	-0.5497584	0.13439462	-0.06714041	0.03772808	-0.49430078	0.2617829	-0.16058019	0.061179217	-0.19394836	0.005202517	-0.10001287	0.023551892
