gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction
NDUFA1	locked_signature_candidate	True	True	-0.37203327	-0.5375869691371917	-0.209964857250452	1.0	-1
CALM2	locked_signature_candidate	True	True	-0.3722606	-0.5940873801708222	-0.1153046039864421	0.997	-1
MYL12A	locked_signature_candidate	True	True	-0.3816538	-0.5686695426702499	-0.1634570393711328	0.999	-1
SCHLAP1	locked_signature_candidate	True	True	-0.38421074	-0.656408816576004	-0.1336304225027561	0.998	-1
COX6C	locked_signature_candidate	True	True	-0.38665786	-0.5607847899198533	-0.203106278181076	1.0	-1
GUCA2A	locked_signature_candidate	True	True	-0.38981053	-0.6768209472298622	-0.0786236425861717	0.992	-1
PKIB	locked_signature_candidate	True	True	-0.39364296	-0.5642933428287507	-0.2144892767071724	1.0	-1
CD9	locked_signature_candidate	True	True	-0.3971	-0.5586507722735405	-0.2322450697422027	1.0	-1
HSPA1A	locked_signature_candidate	True	True	-0.40205288	-0.5190704807639122	-0.2861339919269084	1.0	-1
COX6A1	locked_signature_candidate	True	True	-0.4024748	-0.6308930695056916	-0.1809658620506525	1.0	-1
PRDX6	locked_signature_candidate	True	True	-0.40287	-0.6281617477536201	-0.1296425685286522	0.994	-1
NDRG1	locked_signature_candidate	True	True	-0.4067776	-0.5400473490357399	-0.275909511744976	1.0	-1
CYCS	locked_signature_candidate	True	True	-0.40969035	-0.5621961891651154	-0.2380165606737137	1.0	-1
HMGCS2	locked_signature_candidate	True	True	-0.41705114	-0.6698185250163078	-0.1618500534445047	0.999	-1
COX5A	locked_signature_candidate	True	True	-0.42020017	-0.5989136025309563	-0.2312655776739121	1.0	-1
CAMK2N1	locked_signature_candidate	True	True	-0.4252074	-0.6327930718660355	-0.1771000668406486	0.999	-1
SLC25A5	locked_signature_candidate	True	True	-0.43387944	-0.631731453537941	-0.2205889105796815	1.0	-1
TST	locked_signature_candidate	True	True	-0.4494184	-0.6647199705243111	-0.2441387377679348	1.0	-1
ITM2C	locked_signature_candidate	True	True	-0.4494998	-0.7399443298578262	-0.1133325941860676	0.996	-1
TPT1	locked_signature_candidate	True	True	-0.45159686	-0.6634527415037155	-0.2372467301785946	1.0	-1
MT1G	locked_signature_candidate	True	True	-0.4589386	-0.7714878618717194	-0.1520236928015947	1.0	-1
FCGRT	locked_signature_candidate	True	True	-0.4698495	-0.6973876461386681	-0.286174912750721	1.0	-1
ATP5MC3	locked_signature_candidate	True	True	-0.48027578	-0.6781591579318047	-0.2669057421386243	1.0	-1
AQP8	locked_signature_candidate	True	True	-0.4854524	-0.6943642288446427	-0.28683115914464	1.0	-1
MYL6	locked_signature_candidate	True	True	-0.48984164	-0.7323664546012878	-0.2556069605052471	1.0	-1
SRI	locked_signature_candidate	True	True	-0.49602288	-0.6518287017941475	-0.3212945111095905	1.0	-1
ETHE1	locked_signature_candidate	True	True	-0.50222063	-0.7290837660431861	-0.259525553882122	1.0	-1
CA2	locked_signature_candidate	True	True	-0.50416976	-0.6816637873649597	-0.3085517391562462	1.0	-1
SLC9A3-OT1	locked_signature_candidate	True	True	-0.50931203	-0.7118944317102432	-0.3328219071030617	1.0	-1
DHRS11	locked_signature_candidate	True	True	-0.5168385	-0.7160357534885406	-0.3252331122756005	1.0	-1
BSG	locked_signature_candidate	True	True	-0.54873323	-0.7395636662840843	-0.3765423193573952	1.0	-1
B2M	locked_signature_candidate	True	True	-0.5610498	-0.9227504387497902	-0.1474449269473553	0.998	-1
C15orf48	locked_signature_candidate	True	True	-0.5671823	-0.7759456112980843	-0.3252835415303707	1.0	-1
CHP2	locked_signature_candidate	True	True	-0.5934963	-0.7902244299650192	-0.4028789587318898	1.0	-1
LGALS4	locked_signature_candidate	True	True	-0.5996236	-0.871893173456192	-0.3489664018154145	1.0	-1
PCK1	locked_signature_candidate	True	True	-0.6020564	-0.907538415491581	-0.243793984875083	1.0	-1
PHGR1	locked_signature_candidate	True	True	-0.6200017	-0.9226573079824448	-0.3288206137716771	1.0	-1
LGALS3	locked_signature_candidate	True	True	-0.629991	-0.8706239506602287	-0.3550272025167942	1.0	-1
FABP1	current_primary_down_arm	True	True	-0.6395843	-0.9186004295945168	-0.3872826799750328	1.0	-1
SOX9	current_context_nuclear_marker	False	False	0.10767644	-0.0565041741356253	0.2819985821843147	0.906	1
CTNNB1	current_localization_readout	False	False	0.058435384	-0.0861665472388267	0.2168481938540934	0.781	1
MKI67	proliferation_covariate	False	False	0.05167578	-0.0456820555031299	0.1717131722718476	0.826	1
KRT20	prespecified_down_arm_alternative	False	False	-0.36994988	-0.5607284680008888	-0.1636254057288171	0.999	-1
