gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier
LTBP1	locked_signature_candidate	True	True	0.28924182	0.1535500548779964	0.4321931727230548	1.0	1	True	6	16	0.75	1.0	9.159776454243765	10.874450136636973	1.714673682393208	1.286026056623951	0.78125	75.0	0.04873145430420972	1.9339403269613684	-0.14192190366862256	4.009802557591359	0.06785541714162156	0.14077975687882807	0.1499961852604266	True	Q14766;Q14766-4	118	116	0.9830508474576272	14.554985046386701	0.5840075166708751	0.7449085908155471	True	False	False	False	True	B_directional_support_and_ffpe_detectability
CHP1	locked_signature_candidate	True	True	-0.36839426	-0.5338199988007546	-0.192811618745327	1.0	-1	True	8	15	1.0	0.9375	14.218313016648864	13.596007346906706	-0.6223056697421576	-0.955837464549509	0.2833333333333333	34.0	0.10055597025579527	-0.9815126560389604	-2.0241998019201324	0.0611744898422113	0.0650414907977296	0.2178712688875564	0.1499961852604266	True	Q99653	118	118	1.0	14.471199989318851	0.36615890137428875	0.5728595674222894	True	False	True	False	True	B_directional_support_and_ffpe_detectability
TST	locked_signature_candidate	True	True	-0.4494184	-0.6647199705243111	-0.2441387377679348	1.0	-1	True	8	16	1.0	1.0	18.85238387351628	18.58487771191993	-0.26750616159635143	-0.7202612912796823	0.296875	38.0	0.12004008315759561	-0.45261546722264034	-0.9278932225229254	0.0226622880776447	0.06197024288218855	0.24008016631519122	0.1499961852604266	True	Q16762	118	118	1.0	19.228759765625	0.06432196724897107	0.22914700832445947	True	False	True	False	True	B_directional_support_and_ffpe_detectability
ITM2C	locked_signature_candidate	True	True	-0.4494998	-0.7399443298578262	-0.1133325941860676	0.996	-1	True	8	16	1.0	1.0	14.941805707431381	14.04761763687706	-0.8941880705543213	-1.0912401663428317	0.1875	24.0	0.013120843649851593	-0.8571878115089246	-1.7908253638649412	0.07644974084709188	0.07194360824624091	0.0487345621280202	0.15108157731710592	True	C9JG41;Q9NQX7;Q9NQX7-2	118	110	0.9322033898305084	13.5264348983765	0.261241277748579	0.4803468655377098	True	False	False	False	True	B_directional_support_and_ffpe_detectability
FCGRT	locked_signature_candidate	True	True	-0.4698495	-0.6973876461386681	-0.286174912750721	1.0	-1	True	8	16	1.0	1.0	13.919765707232902	13.096347149878419	-0.8234185573544828	-0.5735712041232318	0.3203125	41.0	0.17192792101931956	-0.7161110188119788	-1.792441921678052	0.36021988405409444	0.19222841627715537	0.28839522235498766	0.3486589170889657	True	P55899	118	118	1.0	13.8406400680542	0.10367181777141508	0.3110154533142453	False	False	False	False	True	B_directional_support_and_ffpe_detectability
COX6C	locked_signature_candidate	True	True	-0.38665786	-0.5607847899198533	-0.203106278181076	1.0	-1	True	8	16	1.0	1.0	21.809884356906345	21.251296160141308	-0.5585881967650366	-0.7175340722623147	0.3359375	43.0	0.2143932255656579	-0.47968112539352004	-1.3204987619074204	0.3611365111203805	0.2635042097411717	0.34838899154419406	0.4256606465049697	True	P09669	118	118	1.0	18.7335548400879	0.007672255547654914	0.08746371324326602	False	False	False	False	True	B_directional_support_and_ffpe_detectability
COX5A	locked_signature_candidate	True	True	-0.42020017	-0.5989136025309563	-0.2312655776739121	1.0	-1	True	8	16	1.0	1.0	19.80218205735452	19.353227136127593	-0.44895492122692815	-0.6179972501843211	0.3125	40.0	0.15312364457606076	-0.3745464743954303	-1.1258929478553972	0.37679999906453665	0.3285480045592819	0.27456653510190204	0.45593978518510236	True	P20674	118	118	1.0	20.18767070770265	0.01445138460677467	0.13728815376435938	True	False	False	False	True	B_directional_support_and_ffpe_detectability
IGFBP2	locked_signature_candidate	True	True	0.33224475	0.0702205831184983	0.5694120407104492	0.993	1	True	8	16	1.0	1.0	16.354590493700126	16.369481443730262	0.014890950030135741	0.2116342661237569	0.578125	74.0	0.568560827007455	0.9763482473309846	-0.9479228177585122	2.9006193124204813	0.319999779728525	0.6719355228269923	0.45593978518510236	True	P18065	118	115	0.9745762711864406	15.6468296051025	0.03898872561072536	0.18519644665094548	True	True	False	False	True	B_directional_support_and_ffpe_detectability
ACAA2	locked_signature_candidate	True	True	-0.3467019	-0.5120915576815606	-0.1873483277857303	0.999	-1	True	8	16	1.0	1.0	19.657529840010163	19.478535394821435	-0.17899444518872798	-0.18357212643440665	0.515625	66.0	0.928439054701001	-0.24105504922142051	-0.8139418920889042	0.3318317936460632	0.4095424913101703	0.928439054701001	0.49145098957220434	True	A0A0B4J2A4;P42765	118	118	1.0	18.70049571990965	0.2595563968885489	0.4803468655377098	True	False	True	True	True	B_directional_support_and_ffpe_detectability
FABP1	current_primary_down_arm	True	True	-0.6395843	-0.9186004295945168	-0.3872826799750328	1.0	-1	True	8	16	1.0	1.0	22.778883611075553	22.724477912292095	-0.05440569878345869	-0.280136159880668	0.421875	54.0	0.568560827007455	-0.31218374466732546	-1.1879806404374673	0.5636131511028164	0.48477550269506553	0.6719355228269923	0.5502857057619663	True	P07148	118	118	1.0	19.7333450317383	0.21448195004615386	0.45279522787521376	True	False	False	True	True	B_directional_support_and_ffpe_detectability
PCK1	locked_signature_candidate	True	True	-0.6020564	-0.907538415491581	-0.243793984875083	1.0	-1	True	8	13	1.0	0.8125	15.155110706926767	11.294294035662551	-3.8608166712642156	-2.4258261245888013	0.0	0.0	9.828492800629024e-06	-4.1351099994335465	-5.311220037686326	-2.958999961180767	5.537094692467588e-12	0.00017036054187756974	1.1627898854181936e-10	True	P35558	118	60	0.5084745762711864	13.4097752571106	0.24950768095799958	0.4803468655377098	False	False	False	False	True	C_incomplete_public_protein_support
C15orf48	locked_signature_candidate	True	True	-0.5671823	-0.7759456112980843	-0.3252835415303707	1.0	-1	True	8	16	1.0	1.0	20.37707167342319	19.18377491108385	-1.1932967623393367	-1.5075884227444425	0.125	16.0	0.0021618799381620756	-0.9732806267940048	-1.4319394830115746	-0.5146217705764351	3.1954387616122975e-05	0.012490861864936437	0.00019172632569673786	False		118	0	0.0				False	False	False	False	True	C_incomplete_public_protein_support
SLC26A2	locked_signature_candidate	True	True	-0.33946574	-0.5991347938776016	-0.0441221752204002	0.989	-1	True	8	14	1.0	0.875	13.549068142969237	10.80816416384021	-2.740903979129026	-0.9077014070809959	0.25892857142857145	29.0	0.06982518685305063	-2.579705401014938	-4.8493907261331675	-0.31002007589670866	0.025901947734354426	0.17390242508024176	0.07770584320306329	True	P50443	118	27	0.2288135593220339	13.8695001602173	0.7874780274295438	0.8801225012447842	False	False	False	False	True	C_incomplete_public_protein_support
CHP2	locked_signature_candidate	True	True	-0.5934963	-0.7902244299650192	-0.4028789587318898	1.0	-1	True	8	6	1.0	0.375	11.94660565158841	11.323998475485576	-0.622607176102834	-0.7391628015286761	0.2916666666666667	14.0	0.22843822843822847	-1.4930444037153645	-3.772569829051064	0.7864810216203351	0.1992336669079804	0.35996326905417825	0.3486589170889657	False		118	0	0.0				False	False	False	False	True	C_incomplete_public_protein_support
L1TD1	locked_signature_candidate	True	True	0.41076347	0.1983405917882919	0.651724049448967	1.0	1	True	8	16	1.0	1.0	15.107480444022823	15.697386415316295	0.5899059712934722	0.7135322426272107	0.734375	94.0	0.07022982551317455	0.36703472883024235	-0.3985198127148538	1.1325892703753384	0.3473826934743637	0.17390242508024176	0.45593978518510236	True	Q5T7N2	118	91	0.7711864406779662	15.2496099472046	0.6924918741510034	0.8055517719715755	True	True	True	False	True	C_incomplete_public_protein_support
LRRC19	locked_signature_candidate	True	True	-0.34771597	-0.484830068796873	-0.211130802333355	1.0	-1	True	8	10	1.0	0.625	11.693603470685064	10.319803625466932	-1.373799845218132	-0.497039401130056	0.325	26.0	0.236985236985237	-1.0420223702632179	-3.0130398609645406	0.9289951204381046	0.30011878762842314	0.36244800950683304	0.45593978518510236	False		118	0	0.0				False	False	False	False	True	C_incomplete_public_protein_support
CAMK2N1	locked_signature_candidate	True	True	-0.4252074	-0.6327930718660355	-0.1771000668406486	0.999	-1	True	4	8	0.5	0.5	11.790296765307206	11.151455873010278	-0.638840892296928	-0.953437226464836	0.28125	9.0	0.2828282828282829	-0.3670247722162161	-1.166655506001185	0.43260596156875275	0.36832814614510634	0.41996791474065215	0.46878127691195354	False		118	0	0.0				False	False	False	False	True	C_incomplete_public_protein_support
AQP8	locked_signature_candidate	True	True	-0.4854524	-0.6943642288446427	-0.28683115914464	1.0	-1	True	3	6	0.375	0.375	12.914239128888479	13.510211686352568	0.5959725574640888	0.5692732190673313	0.7222222222222222	13.0	0.38095238095238093	1.5803707763094668	-3.587645204208214	6.748386756827148	0.5489370058718783	0.497384941078574	0.606719848595234	False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
REG1A	locked_signature_candidate	True	True	0.71312755	0.1992065485566854	1.367650660872459	1.0	1	True	3	12	0.375	0.75	14.523132604029628	12.949071587856167	-1.5740610161734612	-0.6392751317428408	0.3611111111111111	13.0	0.5362637362637362	-0.3499086529661355	-2.887118183487841	2.18730087755557	0.7869292768954477	0.6639455782312925	0.8474622981950974	True	P05451	118	86	0.7288135593220338	15.32278966903685	0.5446621954678317	0.7391844081349145	False	False	False	False	False	C_incomplete_public_protein_support
MT1G	locked_signature_candidate	True	True	-0.4589386	-0.7714878618717194	-0.1520236928015947	1.0	-1	True	8	16	1.0	1.0	20.576065537653808	19.556541381478944	-1.0195241561748638	-0.26884853588662067	0.359375	46.0	0.29074701789737456	-0.10883624489425403	-1.9165446675019924	1.6988721777134845	0.9060652355971095	0.41996791474065215	0.9281643876848439	True	P02795;P13640;P13640-2;P80297	118	79	0.6694915254237288	12.7842502593994	0.3996545850945432	0.5994818776418148	False	False	False	False	True	C_incomplete_public_protein_support
CEMIP	locked_signature_candidate	True	True	0.6983576	0.3360619813203812	1.108135923743248	1.0	1	True	0	9	0.0	0.5625		7.144805836748789												True	Q8WUJ3	118	15	0.1271186440677966	10.6870899200439	0.21013607120076422	0.45279522787521376	True	False	False	False	False	C_incomplete_public_protein_support
CLDN2	locked_signature_candidate	True	True	0.57838947	0.2221621993929147	1.115135025978088	1.0	1	True	0	11	0.0	0.6875		12.830981681780587												True	P57739	118	42	0.3559322033898305	14.0054750442505	0.14013616702637918	0.36308006911380064	False	False	False	False	False	C_incomplete_public_protein_support
DPEP1	locked_signature_candidate	True	True	0.5104067	0.2444607697427273	0.7929241016507149	1.0	1	True	2	14	0.25	0.875	13.358221284192268	11.332435935375843	-2.0257853488164255	-0.7922453585298779	0.25	7.0	0.3333333333333333					0.45614035087719296		True	P16444	118	76	0.6440677966101694	14.0230503082275	0.5897595778878939	0.7449085908155471	True	False	False	True	False	C_incomplete_public_protein_support
APCDD1	locked_signature_candidate	True	True	0.4612431	0.1512933179736137	0.8702012032270432	1.0	1	True	0	5	0.0	0.3125		9.558476755525005												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
AXIN2	locked_signature_candidate	True	True	0.42774308	0.2116329345852136	0.6518554106354714	1.0	1	True	2	8	0.25	0.5	8.023439527235572	7.188171126454427	-0.8352684007811453	-0.176970687612557	0.5625	9.0	0.888888888888889					0.928439054701001		False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
