gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier
SLC6A6	locked_signature_candidate	True	True	0.37944853	0.1987504914402962	0.5656634166836738	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ENC1	locked_signature_candidate	True	True	0.34196734	0.1442840121686458	0.5612545371055603	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LRRC36	locked_signature_candidate	True	True	0.27030173	0.1228955609723925	0.4266357541084289	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LZTS3	locked_signature_candidate	True	True	0.2262522	0.1001077940687537	0.3707240864634514	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
SLC51A	locked_signature_candidate	True	True	-0.3454647	-0.515945291519165	-0.2039579156786203	1.0	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
UGT2A3	locked_signature_candidate	True	True	-0.35164398	-0.513337080180645	-0.1763148877769708	1.0	-1	False	0	0	0.0	0.0														True	Q6UWM9	118	89	0.7542372881355932	13.5831499099731	0.0639944691556594	0.22914700832445947	False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
CALM1	locked_signature_candidate	True	True	-0.3683679	-0.5460064321756363	-0.1805015683174133	1.0	-1	False	0	0	0.0	0.0														True	H0Y7A7;P0DP23;P0DP24;P0DP25	118	118	1.0	19.84436511993405	0.8416854307157293	0.8875350025960184	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
NDUFA1	locked_signature_candidate	True	True	-0.37203327	-0.5375869691371917	-0.209964857250452	1.0	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
HSPA1A	locked_signature_candidate	True	True	-0.40205288	-0.5190704807639122	-0.2861339919269084	1.0	-1	False	0	0	0.0	0.0														True	A0A0G2JIW1;P0DMV8;P0DMV9	118	118	1.0	18.853289604187047	0.004151103119865398	0.061128335594374666	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ATP5MC3	locked_signature_candidate	True	True	-0.48027578	-0.6781591579318047	-0.2669057421386243	1.0	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
SLC9A3-OT1	locked_signature_candidate	True	True	-0.50931203	-0.7118944317102432	-0.3328219071030617	1.0	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
DHRS11	locked_signature_candidate	True	True	-0.5168385	-0.7160357534885406	-0.3252331122756005	1.0	-1	False	0	0	0.0	0.0														True	Q6UWP2	118	114	0.9661016949152542	14.39351987838745	0.7650865964572648	0.872198719961282	True	False	True	False	False	C_transcript_locked_not_detected_in_pxd002137
LGALS4	locked_signature_candidate	True	True	-0.5996236	-0.871893173456192	-0.3489664018154145	1.0	-1	False	0	0	0.0	0.0														True	P56470	118	118	1.0	22.01066970825195	0.37185621043201245	0.5728595674222894	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
PHGR1	locked_signature_candidate	True	True	-0.6200017	-0.9226573079824448	-0.3288206137716771	1.0	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LINC01411	locked_signature_candidate	True	True	0.38985035	0.172009876742959	0.6850031167268752	0.999	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
SEMA3F	locked_signature_candidate	True	True	0.25506988	0.1072810892015695	0.397370084375143	0.999	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
FIRRE	locked_signature_candidate	True	True	0.2341168	0.0386237484402954	0.5982538148760795	0.999	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
PLAC8	locked_signature_candidate	True	True	-0.34252074	-0.5104462653398514	-0.1680454224348068	0.999	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
MYL12A	locked_signature_candidate	True	True	-0.3816538	-0.5686695426702499	-0.1634570393711328	0.999	-1	False	0	0	0.0	0.0														True	J3QRS3;O14950;P19105	118	118	1.0	19.777040481567397	0.13224943578653178	0.35896275427772917	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
SHISA9	locked_signature_candidate	True	True	0.4518485	0.0967411205172538	0.8431718304753303	0.998	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ETS2	locked_signature_candidate	True	True	0.2749734	0.1035391023382544	0.4476648978888988	0.998	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LYPD8	locked_signature_candidate	True	True	-0.34660244	-0.5624871388077736	-0.1209018005058171	0.998	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
SCHLAP1	locked_signature_candidate	True	True	-0.38421074	-0.656408816576004	-0.1336304225027561	0.998	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
B2M	locked_signature_candidate	True	True	-0.5610498	-0.9227504387497902	-0.1474449269473553	0.998	-1	False	0	0	0.0	0.0														True	H0YLF3	118	118	1.0	17.9693555831909	0.0008100570373273481	0.023086625563829424	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
CALM2	locked_signature_candidate	True	True	-0.3722606	-0.5940873801708222	-0.1153046039864421	0.997	-1	False	0	0	0.0	0.0														True	H0Y7A7;P0DP23;P0DP24;P0DP25	118	118	1.0	19.84436511993405	0.8416854307157293	0.8875350025960184	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ANKH	locked_signature_candidate	True	True	0.28274557	0.0467728699557483	0.5134644567966461	0.995	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
IFITM3	locked_signature_candidate	True	True	0.3602024	0.0520259744487702	0.7004682257771492	0.992	1	False	0	0	0.0	0.0														True	E9PS44;Q01628	118	101	0.8559322033898306	13.7849502563477	0.035649434485596605	0.18519644665094548	True	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ZFP36L1	locked_signature_candidate	True	True	0.25073522	0.0590313155204057	0.4733474165201186	0.992	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
MAGEB17-AS1	locked_signature_candidate	True	True	0.23315665	0.0050425675115548	0.6433421611785887	0.99	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
SLC35F1	locked_signature_candidate	True	True	0.26164308	0.0118825068697333	0.5043386250734329	0.977	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
CD9	locked_signature_candidate	True	True	-0.3971	-0.5586507722735405	-0.2322450697422027	1.0	-1	True	8	16	1.0	1.0	20.81018566757139	21.424067730400544	0.6138820628291555	1.484012316440162	0.8046875	103.0	0.015905453784037713	0.4875365664174296	0.05153119253242039	0.9235419403024387	0.02840761729138858	0.055138906451330745	0.07954132841588803	True	A6NNI4;G8JLH6;P21926	118	118	1.0	16.2609453201294	0.2437224242043591	0.4803468655377098	True	False	False	True	False	D_direction_conflict
BSG	locked_signature_candidate	True	True	-0.54873323	-0.7395636662840843	-0.3765423193573952	1.0	-1	True	8	16	1.0	1.0	16.422702707471828	16.863582494451897	0.44087978698006935	0.9537787666533032	0.7421875	95.0	0.06074474724360308	0.9764092695152542	-0.2242945951763926	2.177113134206901	0.11097240677789766	0.16624878192986106	0.22194481355579532	True	P35613;P35613-2	118	118	1.0	17.48696517944335	0.05215266648536753	0.21233585640471067	True	False	False	False	False	D_direction_conflict
MYL6	locked_signature_candidate	True	True	-0.48984164	-0.7323664546012878	-0.2556069605052471	1.0	-1	True	8	16	1.0	1.0	21.148456718900675	21.28886206369726	0.14040534479658362	0.8294633397867381	0.7109375	91.0	0.10563842761985177	0.3055308032082439	-0.1151687169461017	0.7262303233625895	0.1546163253656904	0.21972792944929168	0.2951766211526817	True	B7Z6Z4;F8W1R7;G3V1V0;G8JLA2;J3KND3;P60660;P60660-2	118	118	1.0	21.45739555358885	0.5421270727627976	0.7391844081349145	True	False	False	False	False	D_direction_conflict
SPINK1	locked_signature_candidate	True	True	0.36753398	0.111847217939794	0.6456341922283172	0.998	1	True	8	15	1.0	0.9375	16.58048013313143	15.296256928910283	-1.2842232042211474	-1.007445151503462	0.21666666666666667	26.0	0.028226809758644455	-1.076787663997706	-2.7766816284236455	0.6231063004282333	0.21441095949271538	0.09173713171559447	0.3602104119477618	True	P00995	118	114	0.9661016949152542	15.66311979293825	0.8462717199262257	0.8875350025960184	False	False	False	False	False	D_direction_conflict
EPCAM	locked_signature_candidate	True	True	-0.36305678	-0.5710925802588462	-0.1550846472382545	1.0	-1	True	8	16	1.0	1.0	17.938879325341336	18.071413285642542	0.13253396030120612	0.2559445958737937	0.5390625	69.0	0.7874627279661603	0.2501928954156245	-0.2687648665463621	0.7691506573776111	0.3447041514973702	0.8530846219633403	0.45593978518510236	True	B5MCA4;P16422	118	118	1.0	16.89305973052975	0.030458160548354554	0.18519644665094548	True	False	False	False	False	D_direction_conflict
CYCS	locked_signature_candidate	True	True	-0.40969035	-0.5621961891651154	-0.2380165606737137	1.0	-1	True	8	16	1.0	1.0	20.04821988715298	20.33190981656336	0.28368992941037874	0.8780567701034463	0.71875	92.0	0.09260188369085934	0.3385021638959804	-0.35177042693711347	1.0287747547290742	0.3364792656745612	0.2093607805184646	0.45593978518510236	True	C9JFR7;P99999	118	118	1.0	19.33508968353275	0.6114334503066032	0.7449085908155471	True	False	False	False	False	D_direction_conflict
NDRG1	locked_signature_candidate	True	True	-0.4067776	-0.5400473490357399	-0.275909511744976	1.0	-1	True	8	16	1.0	1.0	17.94407723489242	18.23457102159543	0.29049378670300996	0.4250938800859078	0.6328125	81.0	0.31962919000205303	0.21659195672805986	-0.27078159261864587	0.7039655060747656	0.3837428681762276	0.4492085913542367	0.4740353077471047	True	Q92597	118	118	1.0	16.7069149017334	0.018059026139663422	0.14705206999440215	True	False	False	False	False	D_direction_conflict
TMSB4X	locked_signature_candidate	True	True	-0.36189675	-0.5880230858922004	-0.1186527635902166	0.998	-1	True	8	16	1.0	1.0	23.349044040825998	23.7310679349295	0.3820238941035008	0.5161242222255642	0.6796875	87.0	0.17192792101931956	0.3826696822320296	-0.5700064043118972	1.3353457687759565	0.4311204532253582	0.28839522235498766	0.5029738620962513	True	P62328	118	118	1.0	17.5942945480347	0.21156952282876662	0.45279522787521376	True	False	False	False	False	D_direction_conflict
LGALS3	locked_signature_candidate	True	True	-0.629991	-0.8706239506602287	-0.3550272025167942	1.0	-1	True	8	16	1.0	1.0	21.991690547399415	21.51574208578411	-0.47594846161530313	-0.07238011055257924	0.3828125	49.0	0.3826038008296723	0.09106096310535339	-0.8643150201154743	1.0464369463261811	0.8518076194297803	0.497384941078574	0.8943980004012694	True	P17931	118	118	1.0	21.35447025299075	0.33176439287684095	0.5403020112565695	True	False	False	False	False	D_direction_conflict
HMGCS2	locked_signature_candidate	True	True	-0.41705114	-0.6698185250163078	-0.1618500534445047	0.999	-1	True	8	16	1.0	1.0	20.41415692779273	20.515702303408126	0.10154537561539456	0.017210946251511674	0.515625	66.0	0.928439054701001	0.0025330759475461484	-0.7841469974596985	0.7892131493547908	0.9949645842829641	0.928439054701001	0.9949645842829641	True	P54868	118	118	1.0	19.59619998931885	0.1547436057241531	0.38349502288159687	True	False	False	False	False	D_direction_conflict
CTNNB1	current_localization_readout	False	False	0.058435384	-0.0861665472388267	0.2168481938540934	0.781	1	True	8	16	1.0	1.0	16.56190489365696	17.77718269732142	1.2152778036644634	1.4692588590588367	0.8515625	109.0	0.004508675393047449	1.0722239042188053	0.34270217937249803	1.8017456290651126	0.003968155461571738	0.023445112043846732	0.015151139035092092	True	B4DGU4;P35222	118	118	1.0	18.3420248031616	0.19111983705398292	0.45279522787521376	True	False	False	False	True	context_only_not_locked
MKI67	proliferation_covariate	False	False	0.05167578	-0.0456820555031299	0.1717131722718476	0.826	1	True	8	16	1.0	1.0	9.03829740060457	12.045456254325956	3.0071588537213856	1.7087188492360568	0.8359375	107.0	0.007064860477163614	2.0098940420388387	0.5877586777116985	3.432029406365979	0.005605569047838727	0.033397522255682544	0.019619491667435547	True	P46013	118	115	0.9745762711864406	14.2136402130127	0.291969290535621	0.5007528614545492	True	False	False	False	True	context_only_not_locked
KRT20	prespecified_down_arm_alternative	False	False	-0.36994988	-0.5607284680008888	-0.1636254057288171	0.999	-1	False	0	0	0.0	0.0														True	P35900	118	118	1.0	20.332350730896	0.9002988248204086	0.9026242321453082	True	False	False	False	False	context_only_not_locked
SOX9	current_context_nuclear_marker	False	False	0.10767644	-0.0565041741356253	0.2819985821843147	0.906	1	True	2	16	0.25	1.0	8.877314414027442	12.148059349852964	3.2707449358255225	1.9268364052935019	0.90625	29.0	0.0784313725490196					0.18538324420677363		True	P35713;P48436;P57073;Q9H6I2	118	44	0.3728813559322034	13.173350334167448	0.09298110886345032	0.2944401780675927	False	False	False	False	False	context_only_not_locked
