layer	n_units	minimum_up_coverage	median_up_coverage	minimum_down_coverage	median_down_coverage	minimum_total_coverage	median_total_coverage
Becker epithelial snRNA-seq	72	0.9558823529411765	0.9558823529411765	0.9614181438998958	0.9614181438998958	0.9587628865979382	0.9587628865979382
CRC Atlas scRNA-seq	1	0.9875565610859729	0.9875565610859729	0.9968717413972888	0.9968717413972888	0.9924036896364623	0.9924036896364623
Genetic/pharmacological perturbation	5	0.8099547511312217	0.9140271493212669	0.7924921793534933	0.9113660062565172	0.8008681497558329	0.914270211611503
Visium spatial transcriptomics	14	0.9705882352941176	0.9705882352941176	0.9676746611053181	0.9676746611053181	0.9690721649484536	0.9690721649484536
