layer	unit	expected_up	present_up	coverage_up	expected_down	present_down	coverage_down	present_total	coverage_total
Becker epithelial snRNA-seq	GSM6061686_A015-C-001_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061687_A015-C-002_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061688_A015-C-005_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061689_A015-C-006_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061690_A015-C-008_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061691_A015-C-010_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061692_A015-C-104_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061693_A015-C-106_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061694_A015-C-109_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061695_A015-C-202_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061696_A015-C-203_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061697_A015-C-204_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061698_A015-C-208_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061699_A018-E-013_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061700_A018-E-020_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061701_A022-E-022_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061702_CRC1_8810_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061703_CRC2_15564_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061704_CRC3_11773_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061705_F007_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061706_F034_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061707_F072B_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061708_F091_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061709_B001-A-301_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061710_B001-A-401_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061711_B001-A-406_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061712_B001-A-501_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061713_B004-A-004_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061714_B004-A-008_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061715_B004-A-104_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061716_B004-A-204_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
CRC Atlas scRNA-seq	crc_atlas_core_czi.h5ad	884	873	0.9875565610859729	959	956	0.9968717413972888	1829	0.9924036896364623
Genetic/pharmacological perturbation	GSE114059	884	808	0.9140271493212669	959	887	0.9249217935349322	1695	0.9196961475854585
Genetic/pharmacological perturbation	GSE67186	884	716	0.8099547511312217	959	760	0.7924921793534933	1476	0.8008681497558329
Genetic/pharmacological perturbation	GSE130822	884	757	0.8563348416289592	959	806	0.8404588112617309	1563	0.8480737927292458
Genetic/pharmacological perturbation	GSE171910	884	811	0.917420814479638	959	874	0.9113660062565172	1685	0.914270211611503
Genetic/pharmacological perturbation	GSE125472	884	852	0.9638009049773756	959	927	0.9666319082377477	1779	0.9652740097666848
Visium spatial transcriptomics	SN048_A121573_Rep1	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN048_A121573_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN048_A416371_Rep1	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN048_A416371_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN123_A551763_Rep1	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN123_A595688_Rep1	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN123_A798015_Rep1	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN123_A938797_Rep1_X	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN124_A551763_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN124_A595688_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN124_A798015_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN124_A938797_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN84_A120838_Rep1	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
Visium spatial transcriptomics	SN84_A120838_Rep2	884	858	0.9705882352941176	959	928	0.9676746611053181	1786	0.9690721649484536
