xmin	xmax	ymin	ymax	x	y	label	fill
0.15	2.25	0.25	1.7	1.2	0.98	Frozen inputs
287-gene core
12-gene signature
13 KO targets	#E8F1F5
2.75	4.85	0.25	1.7	3.8	0.98	Held-out input
13 adenoma donors
128 cells per donor
1,664 cells	#EEF2F4
5.35	7.45	0.25	1.7	6.4	0.98	Dual-seed GenKI
unsigned impact
KL primary
EMD sensitivity	#E9F3F1
7.95	10.05	0.25	1.7	9	0.98	Validation tests
10,000 matched sets
no gene reselection
no reweighting	#F8EFE3
