gene_set	NGenes	Direction	PValue	FDR	label	evidence
original_287_up	21	Up	1.10493197091052e-10	1.10493197091052e-10	Historical up arm	9.95666446004915
original_287_down	142	Down	4.09525954093082e-37	8.19051908186165e-37	Historical down arm	36.0866885735455
