outcome	term	n	coef	se_hc1	p_value	r_squared	q_value	outcome_label	ci_low	ci_high
all__ca_route_signature	disease_stage_group_polyp	72	0.616091059081974	0.23047991124566	0.00751585015174041	0.39969470731647	0.0526109510621829	All nuclei	0.16435043304048	1.06783168512347
epi__ca_route_signature	disease_stage_group_polyp	72	0.782207517155452	0.238738211428245	0.0010513074074753	0.47354253271631	0.0147183037046542	Epithelial-marker positive	0.314280622756092	1.25013441155481
