sample_id	pathology_group	route_score	route_residual_prolif_epithelial	wnt_stem	proliferation_control	epithelial_control	pathology
SN048_A121573_Rep1	non_neoplastic_epithelium	-0.422833679878574	-0.223794892856422	-0.136576178274392	-0.274218797596641	0.191055768094606	Non-neoplastic epithelium
SN048_A121573_Rep1	stroma	0.328419250437054	0.172747218728476	0.0585277955914135	0.121218953728841	-0.169641994876392	Stroma
SN048_A121573_Rep1	tumor	0.279864392195069	0.149155281983372	0.242793624269942	0.492275452399495	0.0143146398838753	Tumour
SN048_A121573_Rep1	tumor_stroma	0.39476492167222	0.243504442514929	0.227703970486343	0.329667326677442	-0.0900623304326451	Tumour + stroma
SN048_A121573_Rep2	non_neoplastic_epithelium	-0.482283173739069	-0.247741704296985	-0.224277406684468	-0.335068584256456	0.118344028540644	Non-neoplastic epithelium
SN048_A121573_Rep2	stroma	0.233136507250675	0.148925442572393	0.0369224710972476	0.058468957607908	-0.166458433310017	Stroma
SN048_A121573_Rep2	tumor	0.275716193071691	0.118215534650363	0.267229898180683	0.469887894405526	0.0886720403300121	Tumour
SN048_A121573_Rep2	tumor_stroma	0.345278692106845	0.19365790209843	0.219501388973289	0.381930208521934	-0.0100180924221037	Tumour + stroma
SN048_A416371_Rep1	stroma	-0.0276954956540752	-0.0333662456506051	-0.155163497710161	-0.204658767337498	-0.0293573559199636	Stroma
SN048_A416371_Rep1	tumor	-0.0627774593368102	-0.0311792262844583	-0.00224722692271075	0.287235151985466	0.195516142219662	Tumour
SN048_A416371_Rep1	tumor_stroma	-0.0169868959786397	0.000506543215112676	-0.00880969536433771	0.102591628250117	0.111747666505849	Tumour + stroma
SN048_A416371_Rep2	stroma	0.0331068768988195	-0.0248912166662829	-0.206247479192097	-0.26402409448753	-0.121036232083388	Stroma
SN048_A416371_Rep2	tumor	0.0178237175810854	0.0520574150053439	-0.0269755968987034	0.27941684356635	0.190665543641217	Tumour
SN048_A416371_Rep2	tumor_stroma	-0.0726145487533502	-0.0652878127305871	-0.0320678622108636	0.11131653596505	0.138245553848901	Tumour + stroma
SN123_A551763_Rep1	stroma	0.146463101003443	0.0889501077197776	-0.0685562279718639	-0.0259130578041345	-0.192200626708723	Stroma
SN123_A551763_Rep1	tumor	-0.0751310092057136	-0.0432706481727116	-0.0378294105226788	0.0947755650454271	0.168776507606456	Tumour
SN123_A551763_Rep1	tumor_stroma	0.0349211800271536	0.00917238141579884	-0.0667807350107967	0.00678181362400915	-0.0358890529071301	Tumour + stroma
SN123_A595688_Rep1	non_neoplastic_epithelium	-0.720664316155962	-0.682658115575302	-0.135460029266542	-0.235251206609675	0.123430175295393	Non-neoplastic epithelium
SN123_A595688_Rep1	stroma	0.35474002367109	0.266536425343863	-0.0216712044243454	-0.218868035265328	-0.140304652246403	Stroma
SN123_A595688_Rep1	tumor	0.323364033019542	0.239645720145682	0.270174639411241	0.42657078869401	0.317858212661974	Tumour
SN123_A595688_Rep1	tumor_stroma	0.347640527759926	0.266739216183806	0.197226964192856	0.318139983856561	0.167222584230945	Tumour + stroma
SN123_A798015_Rep1	non_neoplastic_epithelium	-0.853175131962798	-0.287832744774042	0.319037058697233	0.176030708510183	0.994161000232746	Non-neoplastic epithelium
SN123_A798015_Rep1	stroma	0.0667811067717315	-0.00779099515097952	-0.203928122203441	-0.334349385411503	-0.364000603810974	Stroma
SN123_A938797_Rep1_X	non_neoplastic_epithelium	-0.800258894740255	-0.694634269004483	-0.0882238881317314	-0.325159215254399	0.56988949500019	Non-neoplastic epithelium
SN123_A938797_Rep1_X	stroma	0.0725548470495448	0.0276140172030629	-0.19406026254443	-0.13177813596515	-0.15396487214172	Stroma
SN123_A938797_Rep1_X	tumor	0.0978694915227124	0.165272516756588	0.681316890028213	0.741565777081085	0.737146975280243	Tumour
SN123_A938797_Rep1_X	tumor_stroma	0.0306178047812521	0.050100777903665	0.32317607706061	0.327836537609364	0.442210082876941	Tumour + stroma
SN124_A551763_Rep2	stroma	0.196791169667469	0.105868256975955	-0.23720106216819	-0.199872329241003	-0.336194913255228	Stroma
SN124_A551763_Rep2	tumor	-0.100238221297533	-0.0630302221434393	-0.23720106216819	0.000623917977620798	0.0743885952746504	Tumour
SN124_A551763_Rep2	tumor_stroma	-0.0650203273762	-0.0100890738433176	-0.23720106216819	-0.138727954653416	-0.0716745096592639	Tumour + stroma
SN124_A595688_Rep2	non_neoplastic_epithelium	-1.14679605592411	-1.17286670286911	-0.103661457358551	-0.218222511523653	-0.0192894352095988	Non-neoplastic epithelium
SN124_A595688_Rep2	stroma	0.449068327865329	0.377518310104919	-0.201253056887235	-0.280542799608413	-0.417963595241568	Stroma
SN124_A595688_Rep2	tumor	0.149185508175878	0.158791657713361	0.132047370867188	0.206219980660373	0.342059597102435	Tumour
SN124_A595688_Rep2	tumor_stroma	0.144916594107408	0.177492779012209	0.0766509285716517	0.16895196508985	0.218060502652056	Tumour + stroma
SN124_A798015_Rep2	non_neoplastic_epithelium	-0.712054495769571	-0.0746504802783923	0.438976653572231	0.459715543312967	1.10096667291393	Non-neoplastic epithelium
SN124_A798015_Rep2	stroma	0.126311746144166	-0.02416281233448	-0.269862337290255	-0.395387429768601	-0.442216227654212	Stroma
SN124_A938797_Rep2	non_neoplastic_epithelium	-1.642996330437	-1.31269798316484	-0.0843034407234496	-0.319881372236816	0.837385815262872	Non-neoplastic epithelium
SN124_A938797_Rep2	stroma	0.158123735565858	0.0376731526075177	-0.146319273856435	-0.104722022518449	-0.215286271675146	Stroma
SN124_A938797_Rep2	tumor	-0.0161038881173513	0.0714910377496604	0.575823058812765	0.679905743595363	0.607029762465431	Tumour
SN124_A938797_Rep2	tumor_stroma	0.0159820130167002	0.058219083985662	0.2998168813944	0.330887024912231	0.436476799285572	Tumour + stroma
SN84_A120838_Rep1	stroma	-0.0080376078710165	-0.00595343914107723	-0.10990413932634	-0.107596280718285	-0.161612474634988	Stroma
SN84_A120838_Rep1	tumor	-0.0511179183436729	-0.0362880000306715	0.369486427742128	0.243772295273291	0.365803405661876	Tumour
SN84_A120838_Rep1	tumor_stroma	0.1108582077991	0.0856457285293946	0.389517631449992	0.0122262138606406	0.219688213761317	Tumour + stroma
SN84_A120838_Rep2	stroma	0.0786844621161301	0.0677950331502075	-0.0918081636605375	-0.207362989253661	-0.119078513548715	Stroma
SN84_A120838_Rep2	tumor	-0.0576610842178047	-0.0582495505179903	0.167640590782677	0.209819335183189	0.276192492090923	Tumour
SN84_A120838_Rep2	tumor_stroma	-0.0252841890709838	-0.0319615377615984	0.209384992965194	0.122457110373335	0.154891365261384	Tumour + stroma
