analysis_id	model	outcome	predictor	covariates	n_samples	n_patients	coef	se_patient_cluster	ci_low	ci_high	p_value	r_squared	q_value	label
locked_route__wnt_tss	patient_clustered_se	rna_epi__ca_route_signature	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.441905384339452	0.178103032257034	0.0499032533743982	0.833907515304507	0.0305097997232835	0.431052894612156	0.0305097997232835	WNT/stem TSS
locked_route__wnt_tss_minus_housekeeping	patient_clustered_se	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.262877954490013	0.0774963882863745	0.0923095539110031	0.433446355069023	0.00601216761775525	0.444251103978951	0.00801622349034034	WNT/stem TSS − housekeeping
locked_route__wnt_tcf_ascl2_axis	patient_clustered_se	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.52530050125093	0.092930680896051	0.32076145168151	0.72983955082035	0.000148240515422962	0.431525787063739	0.000296481030845925	WNT/TCF/ASCL2 axis
locked_route__wnt_tcf_ascl2_axis_minus_housekeeping	patient_clustered_se	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.31620064570463	0.0540085483199912	0.197328632334238	0.435072659075023	0.000110142969934504	0.458629378982651	0.000296481030845925	WNT/TCF/ASCL2 − housekeeping
