pairs	total_genes	oof_spearman	donor_bootstrap_se	ci_low	ci_high	monotone_oof_spearman	normalized_knee_distance	kneedle_selected_pairs	one_se_pairs	one_se_threshold
1	2	0.871275202932705	0.0342418279324892	0.788685153702437	0.921372224916668	0.871275202932705	0	4	4	0.942087134535808
2	4	0.882158131647527	0.0328718598445259	0.799930756679446	0.927001238485971	0.882158131647527	0.0568715402901328	4	4	0.942087134535808
3	6	0.915370515841844	0.02321241350905	0.856797928359221	0.946433096810246	0.915370515841844	0.376987626943528	4	4	0.942087134535808
4	8	0.947540493023604	0.0146442158790477	0.908749334953639	0.965173601759377	0.947540493023604	0.684814656149989	4	4	0.942087134535808
5	10	0.950074190451253	0.013343581705608	0.91364413865923	0.965693906384269	0.950074190451253	0.643256138228796	4	4	0.942087134535808
6	12	0.951969475928628	0.012906502091438	0.918192465620597	0.968651960885614	0.951969475928628	0.594171307612832	4	4	0.942087134535808
7	14	0.95464781356376	0.0152253584388222	0.914846684262861	0.973825711391544	0.95464781356376	0.554317969911549	4	4	0.942087134535808
8	16	0.956099203231961	0.0140120686961531	0.920336205250802	0.974240530766292	0.956099203231961	0.5	4	4	0.942087134535808
9	18	0.945859674060774	0.0170499858910196	0.902088618889522	0.968218899458984	0.956099203231961	0.428571428571429	4	4	0.942087134535808
10	20	0.943974363770122	0.0190499771368914	0.895190433126999	0.96833705851278	0.956099203231961	0.357142857142857	4	4	0.942087134535808
11	22	0.947859698998741	0.0167467498636736	0.905867372556971	0.969389559396007	0.956099203231961	0.285714285714286	4	4	0.942087134535808
12	24	0.942278582027207	0.017336166591792	0.899797830803786	0.965362019421929	0.956099203231961	0.214285714285714	4	4	0.942087134535808
13	26	0.937794735595207	0.0195767682272735	0.887092418793355	0.963633676352505	0.956099203231961	0.142857142857143	4	4	0.942087134535808
14	28	0.928318308208332	0.0218158691082809	0.872308961503916	0.95787544694941	0.956099203231961	0.0714285714285714	4	4	0.942087134535808
15	30	0.923964139203731	0.0228978219086513	0.866760779781572	0.9556990264069	0.956099203231961	0	4	4	0.942087134535808
