k	scope	model	n_strata	n_specimens	n_donors	n_adenoma_strata	n_normal_strata	estimate	standard_error	degrees_of_freedom	ci_low	ci_high	p_value	singular_fit	p_value_BH
4	All states	Equal strata	287	43	23	63	224	0.0776184823159975	0.0117682334100736	35.4061517733032	0.0537374912397139	0.101499473392281	1.21119372722971e-07	FALSE	7.20948799100259e-07
4	All states	Cell-count weighted	287	43	23	63	224	0.0766500223247373	0.0117554208330509	34.9850330861325	0.0527848843238519	0.100515160325623	1.6060412272215e-07	FALSE	7.20948799100259e-07
4	ABS	Equal strata	135	42	22	30	105	0.0921206817093339	0.0129467609595086	33.8567550167887	0.0658055968742297	0.118435766544438	3.26965663632723e-08	FALSE	7.20948799100259e-07
4	ABS	Cell-count weighted	135	42	22	30	105	0.0845492024404743	0.0129985284296668	34.4097098997833	0.0581445950509973	0.110953809829951	1.81711676112848e-07	FALSE	7.20948799100259e-07
4	GOB	Equal strata	91	39	23	21	70	0.0672205369403638	0.0109539193849854	33.511509738365	0.0449475358053446	0.0894935380753831	6.06931585681214e-07	FALSE	1.46995156823907e-06
4	GOB	Cell-count weighted	91	39	23	21	70	0.0674694283981867	0.0110369425629883	33.7279555958454	0.0450329967422819	0.0899058600540916	6.34426242805325e-07	FALSE	1.46995156823907e-06
4	TAC	Equal strata	61	36	20	12	49	0.0432410853116897	0.0127914990905677	22.5776465028036	0.0167524360834599	0.0697297345399196	0.00262522477471349	FALSE	0.00300025688538685
4	TAC	Cell-count weighted	61	36	20	12	49	0.0440543323957307	0.0137304234405494	30.1524407215951	0.0160190104050851	0.0720896543863763	0.003156777700839	FALSE	0.00344375749182437
