signature	gene	expected_arm	expected_sign	in_common_universe	common_effect	common_z	common_q_value	max_lfsr	strict_state_shared	relaxed_state_shared	common_direction_matches	logFC_ABS	posterior_mean_ABS	lfsr_ABS	direction_matches_ABS	logFC_GOB	posterior_mean_GOB	lfsr_GOB	direction_matches_GOB	logFC_TAC	posterior_mean_TAC	lfsr_TAC	direction_matches_TAC	all_state_directions_match
original_287	LGALS3	Adenoma-down	-1	TRUE	-0.909435258997805	-9.88414983421536	1.54208204871215e-20	3.27373407826848e-07	TRUE	TRUE	TRUE	-0.715007584729568	-0.64524362383262	3.27373407826848e-07	TRUE	-1.12411434624195	-1.02344347077348	0	TRUE	-0.782387905212093	-0.786081090227781	1.68773217623652e-10	TRUE	TRUE
original_287	SRI	Adenoma-down	-1	TRUE	-0.963402749257993	-10.2092913666186	6.73284483285991e-22	6.08925999401322e-07	TRUE	TRUE	TRUE	-0.787748760635062	-0.669691815127821	6.08925999401322e-07	TRUE	-0.973111645011497	-0.899715430936855	1.11022302462516e-15	TRUE	-1.00020932460625	-1.00132958364687	3.21964677141295e-15	TRUE	TRUE
original_287	RNF43	Adenoma-up	1	TRUE	1.23227112231595	8.64030501799476	8.085878926258e-16	1.01267715132102e-07	TRUE	TRUE	TRUE	0.900809195335391	0.897928039701563	1.01267715132102e-07	TRUE	1.25913282116696	1.22842317985594	6.01020059331373e-11	TRUE	1.65240374385717	1.47168403849931	3.69481281379997e-14	TRUE	TRUE
original_287	SOX4	Adenoma-up	1	TRUE	0.505053690066959	5.11012701618502	4.52425235340401e-06	0.00338882781762216	TRUE	TRUE	TRUE	0.329893211693186	0.313641540677793	0.00219270531573148	TRUE	1.03635996851981	0.828762768659453	5.59277359733991e-08	TRUE	0.394700627458558	0.407689255732159	0.00338882781762216	TRUE	TRUE
original_287	ASCL2	Adenoma-up	1	TRUE	2.33729157800139	11.141160505107	5.91030606856072e-26	8.44402344902327e-09	TRUE	TRUE	TRUE	2.23386194924172	1.85279506697243	8.44402344902327e-09	TRUE	1.91436346472367	1.85866888573602	7.73902411295136e-09	TRUE	2.53149860889123	2.41659396148136	3.50562152725504e-24	TRUE	TRUE
original_287	CHP2	Adenoma-down	-1	TRUE	-1.13496646810407	-10.1116373405453	1.75348393408365e-21	1.25128314099054e-06	TRUE	TRUE	TRUE	-0.801352177701636	-0.799726757137102	1.19104152096483e-08	TRUE	-0.905461357145467	-1.00910307371767	1.25128314099054e-06	TRUE	-1.46828650645504	-1.3574002913552	1.11022302462516e-16	TRUE	TRUE
original_287	ATP5MC3	Adenoma-down	-1	TRUE	-0.933804794541428	-10.5571095104951	2.03768481285431e-23	1.65576663491152e-10	TRUE	TRUE	TRUE	-0.793364636445583	-0.698647263637147	1.65576663491152e-10	TRUE	-1.00610289313644	-0.927202369923597	0	TRUE	-0.958959916722729	-0.992789005633225	1.791899961745e-13	TRUE	TRUE
original_287	C15orf48	Adenoma-down	-1	TRUE	-1.04305371600802	-10.6185205634098	1.33949562592643e-23	1.73645664514055e-09	TRUE	TRUE	TRUE	-0.750822331314796	-0.777750442972947	1.73645664514055e-09	TRUE	-1.12827121000072	-1.08458532843429	0	TRUE	-1.32271093158527	-1.25941896481196	5.55111512312578e-16	TRUE	TRUE
original_287	TMEM171	Adenoma-down	-1	TRUE	-0.838956520764345	-7.56735383437908	2.84673328363262e-12	1.85637282494877e-05	TRUE	TRUE	TRUE	-0.951464910184258	-0.671989725776843	1.06007093103599e-06	TRUE	-0.663141087011187	-0.643999154967306	1.85637282494877e-05	TRUE	-0.910971494978965	-0.825871513282287	4.03578281904515e-11	TRUE	TRUE
original_287	FABP1	Adenoma-down	-1	TRUE	-0.878681237708183	-4.88490693794684	1.24917813207215e-05	0.00234035617409678	TRUE	TRUE	TRUE	-0.808821528521189	-0.589478554040155	0.000300695035408638	TRUE	-1.27335186748189	-0.810654665077469	0.00022641664840406	TRUE	-0.682351557335879	-0.686006148211194	0.00234035617409678	TRUE	TRUE
