distance_metric	endpoint	gene_set	targets	n_targets	mean_gene_set_size	observed_mean_impact_percentile	matched_null_mean	matched_null_ci_low	matched_null_ci_high	matched_z	p_matched_empirical_one_sided	target_level_positive_fraction	q_matched_primary_endpoints	endpoint_label	metric_label	statistic	supported
KL	upstream_context_to_core	measurable_fixed_287_core	TCF7L2,ASCL2,SOX4	3	256.333333333333	0.648378686472161	0.630246795569149	0.622171411863079	0.638506458376892	4.36387522321644	9.99900009999e-05	0.666666666666667	0.0002999700029997	Upstream → core	KL	q=3.0e-04	TRUE
KL	upstream_context_to_panel	leave_target_out_fixed_12_panel	TCF7L2,ASCL2,SOX4	3	11.3333333333333	0.810956215157035	0.78528881540818	0.756855224029917	0.812207586451951	1.80486625380998	0.0307969203079692	1	0.0461953804619538	Upstream → signature	KL	q=0.046	TRUE
KL	within_panel_virtual_knockout_coherence	leave_target_out_fixed_12_panel	LGALS3,ASCL2,COX6C,SOX4,NDUFA1,SLC7A5,CYCS,AXIN2,LRRC19,SDC3,ETHE1,DPEP1	12	11	0.812612118452282	0.809819405289231	0.79303420992714	0.825438685005796	0.337695143314944	0.374862513748625	0.5	0.374862513748625	Member → signature	KL	q=0.37	FALSE
EMD	upstream_context_to_core	measurable_fixed_287_core	TCF7L2,ASCL2,SOX4	3	256.333333333333	0.623031461019948	0.609590709266667	0.600861476106476	0.618368387685182	3.03885138120113	0.0010998900109989	0.666666666666667		Upstream → core	EMD	P=0.001	TRUE
EMD	upstream_context_to_panel	leave_target_out_fixed_12_panel	TCF7L2,ASCL2,SOX4	3	11.3333333333333	0.76631409725672	0.743627431130522	0.71444945240198	0.770977089312984	1.5719109902338	0.0530946905309469	1		Upstream → signature	EMD	P=0.053	FALSE
EMD	within_panel_virtual_knockout_coherence	leave_target_out_fixed_12_panel	LGALS3,ASCL2,COX6C,SOX4,NDUFA1,SLC7A5,CYCS,AXIN2,LRRC19,SDC3,ETHE1,DPEP1	12	11	0.768085568802782	0.762754150452614	0.743798987139151	0.781476048048794	0.5536844160518	0.288971102889711	0.583333333333333		Member → signature	EMD	P=0.29	FALSE
