cohort	comparison	group_a	group_b	signature_size_per_direction	paired_primary	n_a	n_b	median_a	median_b	median_difference_a_minus_b	auc_a_vs_b	rank_biserial_a_vs_b	p_mannwhitney	n_pairs	median_paired_difference	p_paired_wilcoxon	paired_positive_fraction	primary_p_value	clustered_mean_difference	clustered_ci_low	clustered_ci_high	p_patient_clustered_ols	n_patient_clusters	clustered_standardized_mean_difference	clustered_standardized_ci_low	clustered_standardized_ci_high	p_patient_clustered_standardized_ols	panel_id	panel_label
GSE8671	adenoma_vs_normal	adenoma	normal	50	True	32	32	1.39598078428628	-1.26824739018261	2.66422817446889	1	1	6.51131430101301e-12	32	2.67397401612995	4.65661287307739e-10	1	4.65661287307739e-10	2.71360563905638	2.45313017038022	2.97408110773254	4.88457649543868e-20	32	1.82959504851779	1.65397460430469	2.00521549273089	4.88457649543863e-20	objective_12	Objective Kneedle panel (12)
GSE50114	adenoma_vs_normal	adenoma	normal	50	False	37	9	0.804051439538055	-2.56085894099934	3.36491038053739	0.996996996996997	0.993993993993994	4.90490744719206e-06					8.20181503230765e-18	3.0774416785661	2.64521292792635	3.50967042920585	8.20181503230765e-18	43	2.10759258382877	1.81157978991926	2.40360537773827	8.20181503230788e-18	objective_12	Objective Kneedle panel (12)
GSE41657	adenoma_vs_normal	adenoma	normal	50	False	51	12	0.433281160167129	-2.91266716176334	3.34594832193047	0.993464052287582	0.986928104575163	1.31097182959791e-07					3.51340972263638e-25	3.13220745945858	2.76651621243488	3.49789870648228	3.51340972263638e-25	63	2.05276206952072	1.81309814854412	2.29242599049732	3.51340972263638e-25	objective_12	Objective Kneedle panel (12)
GSE40362	adenoma_vs_normal	adenoma	normal	50	False	8	8	1.05344039573754	-0.836008746315571	1.88944914205311	1	1	0.000155400155400155					1.35530105193712e-06	1.97167153201682	1.42651467310554	2.5168283909281	1.35530105193712e-06	16	1.74212345443004	1.26043543752123	2.22381147133886	1.35530105193712e-06	objective_12	Objective Kneedle panel (12)
GSE72820	adenoma_vs_normal	adenoma	normal	50	True	7	7	0.0878713765895354	-0.77342917533643	0.861300551925965	0.693877551020408	0.387755102040816	0.259324009324009	7	0.0360939860255479	0.46875	0.571428571428571	0.46875	1.09443511234877	-0.927389799105873	3.11626002380341	0.233538054099508	7	0.734913626871525	-0.622742630508147	2.0925698842512	0.233538054099508	objective_12	Objective Kneedle panel (12)
