label	class	genes
287 up	State-shared	17
287 up	Other testable	4
287 up	Not testable	68
287 down	State-shared	132
287 down	Other testable	10
287 down	Not testable	56
Historical 12	State-shared	9
Historical 12	Other testable	0
Historical 12	Not testable	3
