cohort	n_samples	n_measurable_programme_genes	spearman_compact_rank_vs_reference_full	p_value
GSE8671	64	69	0.8812088618407182	7.635455875689326e-22
GSE50114	46	1708	0.6379895158803577	1.8484146112976287e-06
GSE41657	88	1708	0.6717974005846924	7.787234219174721e-13
GSE40362	24	1451	0.8391304347826085	2.996367956626341e-07
GSE72820	14	1673	0.7582417582417583	0.0016730034070264247
