contrast	group_a	group_b	n_a	n_b	mean_a	mean_b	mean_difference	ci_low	ci_high	welch_t_statistic	degrees_of_freedom	welch_p_value	hedges_g	mann_whitney_w	mann_whitney_p_value	cohort	signature_id	grouping_variable	welch_p_value_BH	label	cohort_label
adenoma_vs_normal	adenoma	normal	8	8	0.358458726984838	-0.188071353709747	0.546530080694585	0.22029297693194	0.87276718445723	3.61829644981188	13.0308300397232	0.00310965066545573	1.71046741263834	59	0.00538494000014703	GSE40362	state_shared_1843	tissue_group	0.00497544106472917	Adenoma − normal	Histology
hyperplastic_vs_normal	hyperplastic	normal	8	8	-0.170387373275091	-0.188071353709747	0.0176839804346559	-0.266077194489972	0.301445155359284	0.133696352452257	13.9628550253656	0.895550549102033	0.0632019120683398	30	0.874825976949244	GSE40362	state_shared_1843	tissue_group	0.895550549102033	Hyperplastic − normal	Histology
adenoma_vs_hyperplastic	adenoma	hyperplastic	8	8	0.358458726984838	-0.170387373275091	0.528846100259929	0.196973861021638	0.86071833949822	3.43396889832303	13.329418806621	0.00429799000517587	1.62333075193452	58	0.00740553334050027	GSE40362	state_shared_1843	tissue_group	0.00573065334023449	Adenoma − hyperplastic	Histology
low_grade_adenoma_vs_normal	low_grade	normal	21	12	0.0149215126203369	-1.30949477082872	1.32441628344905	1.11185333524554	1.53697923165257	12.7102377551948	30.8420497272619	8.48986849432648e-14	3.93435836129586	250	3.80293857430016e-06	GSE41657	state_shared_1843	grade_group	2.26396493182039e-13	Low grade − normal	Grade
high_grade_adenoma_vs_normal	high_grade	normal	30	12	0.396830870892061	-1.30949477082872	1.70632564172078	1.47999209577072	1.93265918767083	15.2460961598371	39.2369873576021	4.44410721307096e-18	3.79608786576439	360	5.80201776326147e-07	GSE41657	state_shared_1843	grade_group	3.55528577045677e-17	High grade − normal	Grade
high_vs_low_grade_adenoma	high_grade	low_grade	30	21	0.396830870892061	0.0149215126203369	0.381909358271724	0.136291935966632	0.627526780576815	3.12510284765591	48.7386352725327	0.00299240275308078	0.832049921860555	445	0.0131937120742042	GSE41657	state_shared_1843	grade_group	0.00497544106472917	High grade − low grade	Grade
