excluded_cohort	model	estimate	ci_low	ci_high
GSE8671	Random effects	1.63121576338816	0.720617302164405	2.54181422461192
GSE50114	Random effects	1.91721762404713	1.59532714895804	2.23910809913622
GSE41657	Random effects	1.66642491645357	0.934605715980783	2.39824411692635
GSE40362	Random effects	1.91473287781057	1.62824714897347	2.20121860664767
GSE72820	Random effects	1.91468566326405	1.70716901271862	2.12220231380949
GSE40362	Proliferation-adjusted	1.64607744380412	1.35440464486648	1.93775024274175
GSE41657	Proliferation-adjusted	1.34572746080819	1.0685792434279	1.62287567818849
GSE50114	Proliferation-adjusted	1.60373045411943	1.34127537554856	1.8661855326903
GSE72820	Proliferation-adjusted	1.75402493804357	1.54596381724654	1.9620860588406
GSE8671	Proliferation-adjusted	1.52706917777347	1.22311541649961	1.83102293904733
