partition	k	total	within	fraction	partition_label
discovery	3	0.0754137408897875	0.0611387167989594	0.810710569156221	Discovery
discovery	4	0.0754137408897875	0.060120320695752	0.797206450527552	Discovery
discovery	5	0.0754137408897875	0.0548241498899235	0.726978256788051	Discovery
validation	3	0.0999115353220597	0.0806547086154583	0.807261227199362	Validation
validation	4	0.0999115353220597	0.0790451561804283	0.791151451387773	Validation
validation	5	0.0999115353220597	0.0772151586168683	0.772835272403424	Validation
