model	estimate	ci_low	ci_high
REML random effects	1.90288083576639	1.6608729438893	2.14488872764347
One-stage cohort-adjusted	1.72679578134455	1.54705186363236	1.90653969905674
One-stage + proliferation	1.5904965769175	1.35030360283621	1.8306895509988
