outcome	term	n	coef	se_hc1	p_value	r_squared	q_value	outcome_label	ci_low	ci_high
all__ca_route_signature	disease_stage_group_polyp	72	0.644991485396975	0.151972651183829	2.19444420335274e-05	0.469723766333218	0.000153611094234692	All nuclei	0.347125089076672	0.942857881717279
epi__ca_route_signature	disease_stage_group_polyp	72	0.672987592051612	0.153181783649345	1.11595743371741e-05	0.484002757562701	0.000153611094234692	Epithelial-marker positive	0.372751296098895	0.973223888004328
