rank	enrichment_score	hit	pathway
107	-0.013310113198159	FALSE	Oxidative Phosphorylation
108	-0.0134345067794502	FALSE	Oxidative Phosphorylation
109	-0.0135589003607414	FALSE	Oxidative Phosphorylation
110	-0.0136832939420326	FALSE	Oxidative Phosphorylation
111	-0.0138076875233238	FALSE	Oxidative Phosphorylation
112	-0.013932081104615	FALSE	Oxidative Phosphorylation
113	-0.0140564746859062	FALSE	Oxidative Phosphorylation
114	-0.0141808682671974	FALSE	Oxidative Phosphorylation
115	-0.0143052618484886	FALSE	Oxidative Phosphorylation
116	-0.0144296554297798	FALSE	Oxidative Phosphorylation
117	-0.014554049011071	FALSE	Oxidative Phosphorylation
118	-0.0146784425923622	FALSE	Oxidative Phosphorylation
119	-0.0148028361736534	FALSE	Oxidative Phosphorylation
120	-0.0149272297549446	FALSE	Oxidative Phosphorylation
121	-0.0150516233362359	FALSE	Oxidative Phosphorylation
122	-0.0151760169175271	FALSE	Oxidative Phosphorylation
123	-0.0153004104988183	FALSE	Oxidative Phosphorylation
124	-0.0154248040801095	FALSE	Oxidative Phosphorylation
125	-0.0155491976614007	FALSE	Oxidative Phosphorylation
126	-0.0156735912426919	FALSE	Oxidative Phosphorylation
127	-0.0157979848239831	FALSE	Oxidative Phosphorylation
128	-0.0159223784052743	FALSE	Oxidative Phosphorylation
129	-0.0160467719865655	FALSE	Oxidative Phosphorylation
130	-0.0161711655678567	FALSE	Oxidative Phosphorylation
131	-0.0162955591491479	FALSE	Oxidative Phosphorylation
132	-0.0164199527304391	FALSE	Oxidative Phosphorylation
133	-0.0165443463117303	FALSE	Oxidative Phosphorylation
134	-0.0166687398930215	FALSE	Oxidative Phosphorylation
135	-0.0167931334743127	FALSE	Oxidative Phosphorylation
136	-0.0169175270556039	FALSE	Oxidative Phosphorylation
137	-0.0170419206368951	FALSE	Oxidative Phosphorylation
138	-0.0171663142181863	FALSE	Oxidative Phosphorylation
139	-0.0172907077994775	FALSE	Oxidative Phosphorylation
140	-0.0174151013807688	FALSE	Oxidative Phosphorylation
141	-0.01753949496206	FALSE	Oxidative Phosphorylation
142	-0.0176638885433512	FALSE	Oxidative Phosphorylation
143	-0.0177882821246424	FALSE	Oxidative Phosphorylation
144	-0.0179126757059336	FALSE	Oxidative Phosphorylation
145	-0.0180370692872248	FALSE	Oxidative Phosphorylation
146	-0.018161462868516	FALSE	Oxidative Phosphorylation
147	-0.0182858564498072	FALSE	Oxidative Phosphorylation
148	-0.0184102500310984	FALSE	Oxidative Phosphorylation
149	-0.0185346436123896	FALSE	Oxidative Phosphorylation
150	-0.0186590371936808	FALSE	Oxidative Phosphorylation
151	-0.018783430774972	FALSE	Oxidative Phosphorylation
152	-0.0189078243562632	FALSE	Oxidative Phosphorylation
153	-0.0190322179375544	FALSE	Oxidative Phosphorylation
154	-0.0191566115188456	FALSE	Oxidative Phosphorylation
155	-0.0192810051001368	FALSE	Oxidative Phosphorylation
156	-0.019405398681428	FALSE	Oxidative Phosphorylation
157	-0.0195297922627192	FALSE	Oxidative Phosphorylation
158	-0.0196541858440104	FALSE	Oxidative Phosphorylation
159	-0.0197785794253017	FALSE	Oxidative Phosphorylation
160	-0.0199029730065929	FALSE	Oxidative Phosphorylation
161	-0.0200273665878841	FALSE	Oxidative Phosphorylation
162	-0.0201517601691753	FALSE	Oxidative Phosphorylation
163	-0.0202761537504665	FALSE	Oxidative Phosphorylation
164	-0.0204005473317577	FALSE	Oxidative Phosphorylation
165	-0.0205249409130489	FALSE	Oxidative Phosphorylation
166	-0.0206493344943401	FALSE	Oxidative Phosphorylation
167	-0.0207737280756313	FALSE	Oxidative Phosphorylation
168	-0.0208981216569225	FALSE	Oxidative Phosphorylation
169	-0.0210225152382137	FALSE	Oxidative Phosphorylation
170	-0.0211469088195049	FALSE	Oxidative Phosphorylation
171	-0.0212713024007961	FALSE	Oxidative Phosphorylation
172	-0.0213956959820873	FALSE	Oxidative Phosphorylation
173	-0.0215200895633785	FALSE	Oxidative Phosphorylation
174	-0.0216444831446697	FALSE	Oxidative Phosphorylation
175	-0.0217688767259609	FALSE	Oxidative Phosphorylation
176	-0.0218932703072521	FALSE	Oxidative Phosphorylation
177	-0.0220176638885433	FALSE	Oxidative Phosphorylation
178	-0.0221420574698346	FALSE	Oxidative Phosphorylation
179	-0.0222664510511258	FALSE	Oxidative Phosphorylation
180	-0.022390844632417	FALSE	Oxidative Phosphorylation
181	-0.0225152382137082	FALSE	Oxidative Phosphorylation
182	-0.0226396317949994	FALSE	Oxidative Phosphorylation
183	-0.0227640253762906	FALSE	Oxidative Phosphorylation
184	-0.0228884189575818	FALSE	Oxidative Phosphorylation
185	-0.023012812538873	FALSE	Oxidative Phosphorylation
186	-0.0231372061201642	FALSE	Oxidative Phosphorylation
187	-0.0232615997014554	FALSE	Oxidative Phosphorylation
188	-0.0233859932827466	FALSE	Oxidative Phosphorylation
189	-0.0235103868640378	FALSE	Oxidative Phosphorylation
190	-0.023634780445329	FALSE	Oxidative Phosphorylation
191	-0.0237591740266202	FALSE	Oxidative Phosphorylation
192	-0.0238835676079114	FALSE	Oxidative Phosphorylation
193	-0.0240079611892026	FALSE	Oxidative Phosphorylation
194	-0.0241323547704938	FALSE	Oxidative Phosphorylation
195	-0.024256748351785	FALSE	Oxidative Phosphorylation
196	-0.0243811419330763	FALSE	Oxidative Phosphorylation
197	-0.0245055355143675	FALSE	Oxidative Phosphorylation
198	-0.0246299290956587	FALSE	Oxidative Phosphorylation
199	-0.0247543226769499	FALSE	Oxidative Phosphorylation
200	-0.0248787162582411	FALSE	Oxidative Phosphorylation
201	-0.0250031098395323	FALSE	Oxidative Phosphorylation
202	-0.0251275034208235	FALSE	Oxidative Phosphorylation
203	-0.0252518970021147	FALSE	Oxidative Phosphorylation
204	-0.0253762905834059	FALSE	Oxidative Phosphorylation
205	-0.0255006841646971	FALSE	Oxidative Phosphorylation
206	-0.0256250777459883	FALSE	Oxidative Phosphorylation
207	-0.0257494713272795	FALSE	Oxidative Phosphorylation
208	-0.0258738649085707	FALSE	Oxidative Phosphorylation
209	-0.0259982584898619	FALSE	Oxidative Phosphorylation
210	-0.0261226520711531	FALSE	Oxidative Phosphorylation
211	-0.0262470456524443	FALSE	Oxidative Phosphorylation
212	-0.0263714392337355	FALSE	Oxidative Phosphorylation
213	-0.0264958328150267	FALSE	Oxidative Phosphorylation
214	-0.0266202263963179	FALSE	Oxidative Phosphorylation
215	-0.0267446199776092	FALSE	Oxidative Phosphorylation
216	-0.0268690135589004	FALSE	Oxidative Phosphorylation
217	-0.0269934071401916	FALSE	Oxidative Phosphorylation
218	-0.0271178007214828	FALSE	Oxidative Phosphorylation
219	-0.027242194302774	FALSE	Oxidative Phosphorylation
220	-0.0273665878840652	FALSE	Oxidative Phosphorylation
221	-0.0274909814653564	FALSE	Oxidative Phosphorylation
222	-0.0276153750466476	FALSE	Oxidative Phosphorylation
223	-0.0277397686279388	FALSE	Oxidative Phosphorylation
224	-0.02786416220923	FALSE	Oxidative Phosphorylation
225	-0.0279885557905212	FALSE	Oxidative Phosphorylation
226	-0.0281129493718124	FALSE	Oxidative Phosphorylation
227	-0.0282373429531036	FALSE	Oxidative Phosphorylation
228	-0.0283617365343948	FALSE	Oxidative Phosphorylation
229	-0.028486130115686	FALSE	Oxidative Phosphorylation
230	-0.0286105236969772	FALSE	Oxidative Phosphorylation
231	-0.0287349172782684	FALSE	Oxidative Phosphorylation
232	-0.0288593108595596	FALSE	Oxidative Phosphorylation
233	-0.0289837044408509	FALSE	Oxidative Phosphorylation
234	-0.0291080980221421	FALSE	Oxidative Phosphorylation
235	-0.0292324916034333	FALSE	Oxidative Phosphorylation
236	-0.0293568851847245	FALSE	Oxidative Phosphorylation
237	-0.0294812787660157	FALSE	Oxidative Phosphorylation
238	-0.0296056723473069	FALSE	Oxidative Phosphorylation
239	-0.0297300659285981	FALSE	Oxidative Phosphorylation
240	-0.0298544595098893	FALSE	Oxidative Phosphorylation
241	-0.0299788530911805	FALSE	Oxidative Phosphorylation
242	-0.0301032466724717	FALSE	Oxidative Phosphorylation
243	-0.0302276402537629	FALSE	Oxidative Phosphorylation
244	-0.0303520338350541	FALSE	Oxidative Phosphorylation
245	-0.0304764274163453	FALSE	Oxidative Phosphorylation
246	-0.0306008209976365	FALSE	Oxidative Phosphorylation
247	-0.0307252145789277	FALSE	Oxidative Phosphorylation
248	-0.0308496081602189	FALSE	Oxidative Phosphorylation
249	-0.0309740017415101	FALSE	Oxidative Phosphorylation
250	-0.0310983953228013	FALSE	Oxidative Phosphorylation
251	-0.0312227889040925	FALSE	Oxidative Phosphorylation
252	-0.0313471824853838	FALSE	Oxidative Phosphorylation
253	-0.031471576066675	FALSE	Oxidative Phosphorylation
254	-0.0315959696479662	FALSE	Oxidative Phosphorylation
