signature	gene	expected_arm	expected_sign	in_common_universe	common_effect	common_z	common_q_value	max_lfsr	strict_state_shared	relaxed_state_shared	common_direction_matches	logFC_ABS	posterior_mean_ABS	lfsr_ABS	direction_matches_ABS	logFC_GOB	posterior_mean_GOB	lfsr_GOB	direction_matches_GOB	logFC_TAC	posterior_mean_TAC	lfsr_TAC	direction_matches_TAC	all_state_directions_match
existing_12	ASCL2	up	1	TRUE	2.33729157800139	11.141160505107	5.91030606856072e-26	8.44402344902327e-09	TRUE	TRUE	TRUE	2.23386194924172	1.85279506697243	8.44402344902327e-09	TRUE	1.91436346472367	1.85866888573602	7.73902411295136e-09	TRUE	2.53149860889123	2.41659396148136	3.50562152725504e-24	TRUE	TRUE
existing_12	LGALS3	down	-1	TRUE	-0.909435258997805	-9.88414983421536	1.54208204871215e-20	3.27373407826848e-07	TRUE	TRUE	TRUE	-0.715007584729568	-0.64524362383262	3.27373407826848e-07	TRUE	-1.12411434624195	-1.02344347077348	0	TRUE	-0.782387905212093	-0.786081090227781	1.68773217623652e-10	TRUE	TRUE
existing_12	SOX4	up	1	TRUE	0.505053690066959	5.11012701618502	4.52425235340401e-06	0.00338882781762216	TRUE	TRUE	TRUE	0.329893211693186	0.313641540677793	0.00219270531573148	TRUE	1.03635996851981	0.828762768659453	5.59277359733991e-08	TRUE	0.394700627458558	0.407689255732159	0.00338882781762216	TRUE	TRUE
existing_12	COX6C	down	-1	TRUE	-0.740037508915188	-7.88929682827129	3.16242030382632e-13	1.98271053886145e-06	TRUE	TRUE	TRUE	-0.530898915066543	-0.536016370291033	1.98271053886145e-06	TRUE	-0.829433693848138	-0.767673351441992	3.40260042364093e-11	TRUE	-0.911809566682655	-0.868155559452156	6.19016504721515e-10	TRUE	TRUE
existing_12	SLC7A5	up	1	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
existing_12	NDUFA1	down	-1	TRUE	-0.488453037880996	-5.74540250956922	1.92809952733143e-07	0.000142851641715569	TRUE	TRUE	TRUE	-0.379967613394846	-0.350468393357918	0.000142851641715569	TRUE	-0.669937240226946	-0.542606473905254	3.67433474646184e-07	TRUE	-0.449487998622194	-0.445234954306216	0.000113018362140727	TRUE	TRUE
existing_12	AXIN2	up	1	TRUE	1.30898658015039	9.66927068210392	1.08005382271187e-19	5.40602865406992e-06	TRUE	TRUE	TRUE	0.856141685715662	0.865587286815571	7.60336539039156e-07	TRUE	0.979078163084999	1.06183079642775	5.40602865406992e-06	TRUE	1.75333172028548	1.60840041609863	1.31130438025215e-22	TRUE	TRUE
existing_12	CYCS	down	-1	TRUE	-0.96306439391685	-8.15441174142962	3.8981265209669e-14	3.98389940259314e-07	TRUE	TRUE	TRUE	-0.890826159552876	-0.751512564627547	1.76484403646704e-07	TRUE	-1.19316090108118	-1.03941438495743	8.33588753579306e-12	TRUE	-0.783208428126694	-0.795253491084394	3.98389940259314e-07	TRUE	TRUE
existing_12	SDC3	up	1	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
existing_12	LRRC19	down	-1	TRUE	-1.19845739062046	-8.59308949629806	1.16000425640329e-15	3.08000886573012e-07	TRUE	TRUE	TRUE	-1.03433400665923	-0.830851897370317	3.08000886573012e-07	TRUE	-1.31934619381344	-1.11579660298996	4.74566164143653e-10	TRUE	-1.19783070955591	-1.19920756023412	2.90989454754254e-12	TRUE	TRUE
existing_12	DPEP1	up	1	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
existing_12	ETHE1	down	-1	TRUE	-0.665499763026293	-6.37948482981666	5.75096767988854e-09	0.000289261892606363	TRUE	TRUE	TRUE	-0.574905619458874	-0.479745520400633	5.22630032835369e-05	TRUE	-0.863728242396794	-0.707868835845877	1.40551867922056e-08	TRUE	-0.487862799877562	-0.510094188446842	0.000289261892606363	TRUE	TRUE
