dataset	score	state_set	comparison	total_r	composition_r	within_state_r	closure_error_r	total_difference	composition_component	within_state_component	total_abs_error	composition_abs_error	within_state_abs_error	pass
discovery	core_287	all_states	conventional_vs_normal	0.466644872758015	0.154148367529285	0.31249650522873	0	0.466644872758015	0.154148367529285	0.31249650522873	0	2.77555756156289e-17	0	TRUE
discovery	core_287	all_states	conventional_vs_serrated	0.347342969954613	0.153959476202313	0.193383493752301	0	0.347342969954613	0.153959476202313	0.193383493752301	5.55111512312578e-17	2.77555756156289e-17	5.55111512312578e-17	TRUE
discovery	core_287	canonical_states	conventional_vs_normal	0.359792765979485	0.0366935931681529	0.323099172811332	5.55111512312578e-17	0.359792765979485	0.0366935931681529	0.323099172811332	0	0	5.55111512312578e-17	TRUE
discovery	core_287	canonical_states	conventional_vs_serrated	0.230398192878724	0.0378325992104101	0.192565593668314	0	0.230398192878724	0.0378325992104101	0.192565593668314	0	6.93889390390723e-18	0	TRUE
discovery	signature_12	all_states	conventional_vs_normal	0.828379344118609	0.316525983184422	0.511853360934187	-1.11022302462516e-16	0.828379344118609	0.316525983184422	0.511853360934187	0	0	0	TRUE
discovery	signature_12	all_states	conventional_vs_serrated	0.697942212185652	0.32301101195106	0.374931200234592	0	0.697942212185652	0.32301101195106	0.374931200234592	0	5.55111512312578e-17	5.55111512312578e-17	TRUE
discovery	signature_12	canonical_states	conventional_vs_normal	0.641798983344236	0.0780514959019322	0.563747487442304	0	0.641798983344236	0.0780514959019322	0.563747487442304	0	1.38777878078145e-17	0	TRUE
discovery	signature_12	canonical_states	conventional_vs_serrated	0.481635729232621	0.0810970217684951	0.400538707464126	0	0.481635729232621	0.0810970217684951	0.400538707464126	1.11022302462516e-16	1.38777878078145e-17	0	TRUE
validation	core_287	all_states	conventional_vs_normal	0.55613911668011	0.228832736032247	0.327306380647864	5.55111512312578e-17	0.55613911668011	0.228832736032247	0.327306380647864	0	0	5.55111512312578e-17	TRUE
validation	core_287	all_states	conventional_vs_serrated	0.447881614746362	0.215365769095958	0.232515845650404	-2.77555756156289e-17	0.447881614746362	0.215365769095958	0.232515845650404	1.11022302462516e-16	2.77555756156289e-17	5.55111512312578e-17	TRUE
validation	core_287	canonical_states	conventional_vs_normal	0.425231960068093	0.046130735760017	0.379101224308076	0	0.425231960068093	0.046130735760017	0.379101224308076	5.55111512312578e-17	6.93889390390723e-18	5.55111512312578e-17	TRUE
validation	core_287	canonical_states	conventional_vs_serrated	0.318540791479805	0.0482913277527068	0.270249463727098	5.55111512312578e-17	0.318540791479805	0.0482913277527068	0.270249463727098	0	6.93889390390723e-18	5.55111512312578e-17	TRUE
validation	signature_12	all_states	conventional_vs_normal	1.10594596269229	0.494021852990299	0.611924109701994	1.11022302462516e-16	1.10594596269229	0.494021852990299	0.611924109701994	0	5.55111512312578e-17	0	TRUE
validation	signature_12	all_states	conventional_vs_serrated	1.0065149969347	0.454782906207824	0.551732090726878	-1.11022302462516e-16	1.0065149969347	0.454782906207824	0.551732090726878	0	5.55111512312578e-17	1.11022302462516e-16	TRUE
validation	signature_12	canonical_states	conventional_vs_normal	0.837667000850234	0.0967877470065203	0.740879253843714	0	0.837667000850234	0.0967877470065203	0.740879253843714	0	0	0	TRUE
validation	signature_12	canonical_states	conventional_vs_serrated	0.700234634974	0.112978629143662	0.587256005830338	0	0.700234634974	0.112978629143662	0.587256005830339	0	1.38777878078145e-17	2.22044604925031e-16	TRUE
