PXD000445 candidate-focused proteomics reanalysis
=================================================
PRIDE identification files audited: 11.
The public mzTab files are identification-only; no differential effect is inferred from mzTab detection.
Publisher PSM table: 30 paired samples in 10 experiments; the authors' QC retained 21 pairs in experiments 1, 2, and 6-10.
Paired iTRAQ reanalysis uses expectation <=0.05, master protein assignment, unique peptides, peptide-level median aggregation, and within-pair adenoma-minus-normal contrasts.
This candidate-focused aggregation is a sensitivity reanalysis, not an exact reconstruction of the authors' protein-family assembly model.

Current and reserve panel evidence
- OLFM4: existing tier=A_directional_protein_replication_and_ffpe_detectability; mzTab detection=0.818; paired effect=0.896, n=18; transcript cluster concordance=0.750.
- FABP1: existing tier=B_directional_support_and_ffpe_detectability; mzTab detection=1.000; paired effect=-0.852, n=21; transcript cluster concordance=0.750.
- ETHE1: existing tier=A_directional_protein_replication_and_ffpe_detectability; mzTab detection=0.909; paired effect=-0.287, n=21; transcript cluster concordance=0.750.
- CA2: existing tier=A_directional_protein_replication_and_ffpe_detectability; mzTab detection=0.000; paired effect not estimable; transcript cluster concordance=0.500.
- EPHB3: existing tier=A_directional_protein_replication_and_ffpe_detectability; mzTab detection=0.091; paired effect not estimable; transcript cluster concordance=1.000.
- CTNNB1: existing tier=context_only_not_locked; mzTab detection=1.000; paired effect not estimable; transcript cluster concordance=1.000.
- SOX9: existing tier=context_only_not_locked; mzTab detection=0.182; paired effect not estimable; transcript cluster concordance=1.000.
- MKI67: existing tier=context_only_not_locked; mzTab detection=0.091; paired effect not estimable; transcript cluster concordance=1.000.
- KRT20: existing tier=context_only_not_locked; mzTab detection=0.000; paired effect not estimable; transcript cluster concordance=0.750.

Positive-control SORD: paired median log2 effect=0.583, n=21, Wilcoxon p=4.1e-05.
