experiment	passes_author_batch_qc	qc_basis
1	True	Retained in the authors' 21-pair analysis
2	True	Retained in the authors' 21-pair analysis
3	False	Excluded: samples formed the 18-sample experiment-specific cluster in Supplementary Figure 1
4	False	Excluded: samples formed the 18-sample experiment-specific cluster in Supplementary Figure 1
5	False	Excluded: samples formed the 18-sample experiment-specific cluster in Supplementary Figure 1
6	True	Retained in the authors' 21-pair analysis
7	True	Retained in the authors' 21-pair analysis
8	True	Retained in the authors' 21-pair analysis
9	True	Retained in the authors' 21-pair analysis
10	True	Retained in the authors' 21-pair analysis
