gene	pxd000445_mztab_detected	pxd000445_n_mztab_experiments_detected	pxd000445_n_mztab_experiments_total	pxd000445_mztab_experiment_detection_fraction	pxd000445_max_distinct_peptides	pxd000445_max_psms	pxd000445_accessions
ACAA2	True	11	11	1.0	34.0	42.0	P42765
ANKH	False	0	11	0.0			
APCDD1	False	0	11	0.0			
AQP8	False	0	11	0.0			
ASCL2	False	0	11	0.0			
ATP5MC3	False	0	11	0.0			
AXIN2	False	0	11	0.0			
B2M	True	9	11	0.8181818181818182	5.0	7.0	F5H6I0
BSG	True	8	11	0.7272727272727273	2.0	3.0	D3YLG5;P35613;P35613-2
C15orf48	False	0	11	0.0			
CA2	False	0	11	0.0			
CALM1	True	4	11	0.36363636363636365	20.0	28.0	E7ETZ0;G3V479;P62158
CALM2	True	7	11	0.6363636363636364	17.0	27.0	E7EMB3
CAMK2N1	False	0	11	0.0			
CD9	True	8	11	0.7272727272727273	2.0	4.0	B4DPP0
CEMIP	False	0	11	0.0			
CHP1	False	0	11	0.0			
CHP2	False	0	11	0.0			
CLDN2	False	0	11	0.0			
COX5A	True	10	11	0.9090909090909091	6.0	9.0	P20674;REV_P20674
COX6A1	True	1	11	0.09090909090909091	1.0	1.0	P12074
COX6C	True	9	11	0.8181818181818182	4.0	6.0	P09669
CPNE7	True	5	11	0.45454545454545453	2.0	2.0	Q9UBL6
CTNNB1	True	11	11	1.0	24.0	45.0	B4DGU4;E7EMJ5;E7ERS9;P35222;P35222-2
CYCS	True	9	11	0.8181818181818182	15.0	30.0	C9JFR7
CYP4X1	False	0	11	0.0			
DAB2	True	4	11	0.36363636363636365	1.0	1.0	P98082
DHRS11	True	11	11	1.0	6.0	9.0	Q6UWP2
DPEP1	True	2	11	0.18181818181818182	1.0	1.0	REV_P16444
ENC1	False	0	11	0.0			
EPCAM	True	11	11	1.0	10.0	12.0	B5MCA4;C9JKY3;P16422
EPHB3	True	1	11	0.09090909090909091	1.0	2.0	P54753
ETHE1	True	10	11	0.9090909090909091	19.0	26.0	O95571
ETS2	False	0	11	0.0			
FABP1	True	11	11	1.0	36.0	88.0	A8MW49;P07148
FCGRT	True	3	11	0.2727272727272727	2.0	3.0	P55899
FIRRE	False	0	11	0.0			
GDF15	False	0	11	0.0			
GRIN2B	False	0	11	0.0			
GUCA2A	True	1	11	0.09090909090909091	1.0	1.0	Q02747
HMGCS2	True	11	11	1.0	31.0	44.0	B7Z8R3;F5H8J6;P54868
HSPA1A	True	11	11	1.0	53.0	80.0	E7EP11;E7EP94;E7EQL7;F5H1D3;P08107
IFITM3	True	2	11	0.18181818181818182	2.0	4.0	Q01628
IGFBP2	True	9	11	0.8181818181818182	4.0	5.0	C9JW52;P18065
ITM2C	True	1	11	0.09090909090909091	1.0	2.0	B8ZZM6;C9JG41;Q9NQX7
KRT20	False	0	11	0.0			
KRT6B	True	6	11	0.5454545454545454	11.0	15.0	F5H6G5
L1TD1	True	1	11	0.09090909090909091	1.0	1.0	Q5T7N2
LGALS3	True	11	11	1.0	13.0	25.0	G3V3R6;P17931
LGALS4	True	11	11	1.0	23.0	55.0	P56470
LGR5	False	0	11	0.0			
LINC01411	False	0	11	0.0			
LINC01819	False	0	11	0.0			
LINC02350	False	0	11	0.0			
LRRC19	False	0	11	0.0			
LRRC36	False	0	11	0.0			
LTBP1	False	0	11	0.0			
LYPD8	False	0	11	0.0			
LZTS3	False	0	11	0.0			
MAGEB17-AS1	False	0	11	0.0			
MKI67	True	1	11	0.09090909090909091	1.0	1.0	F5H4V4
MSX2	False	0	11	0.0			
MT1G	True	4	11	0.36363636363636365	4.0	7.0	P13640
MYL12A	True	4	11	0.36363636363636365	13.0	17.0	P19105
MYL6	True	11	11	1.0	24.0	40.0	B7Z6Z4;F8VPF3;F8VXL3;F8VZU9;F8VZV5;F8W180;G3V1V0;G3V1Y7;P60660;P60660-2
NDRG1	True	11	11	1.0	13.0	24.0	B3KR80;B7Z505;E5RG99;E5RGM5;E5RH82;E5RIR1;E5RIV1;E5RJY1;E5RK17;E7ESM1;E9PDL6;Q92597
NDUFA1	True	1	11	0.09090909090909091	1.0	1.0	O15239
NKD1	False	0	11	0.0			
NOS2	False	0	11	0.0			
OLFM4	True	9	11	0.8181818181818182	19.0	25.0	Q6UX06
PCK1	True	9	11	0.8181818181818182	3.0	5.0	B4DT64;F5GZM4;P35558
PHGR1	False	0	11	0.0			
PKIB	False	0	11	0.0			
PLAC8	False	0	11	0.0			
PRDX6	True	11	11	1.0	20.0	27.0	P30041
REG1A	True	4	11	0.36363636363636365	5.0	6.0	P05451
REG1B	True	2	11	0.18181818181818182	2.0	3.0	P48304
RNF43	False	0	11	0.0			
SCHLAP1	False	0	11	0.0			
SDC3	False	0	11	0.0			
SEMA3F	False	0	11	0.0			
SHISA9	False	0	11	0.0			
SLC25A5	True	11	11	1.0	20.0	38.0	P05141
SLC26A2	True	4	11	0.36363636363636365	3.0	3.0	P50443
SLC35F1	False	0	11	0.0			
SLC40A1	False	0	11	0.0			
SLC51A	False	0	11	0.0			
SLC6A6	False	0	11	0.0			
SLC7A5	True	1	11	0.09090909090909091	2.0	2.0	Q01650
SLC9A3-OT1	False	0	11	0.0			
SORD	True	11	11	1.0	11.0	13.0	Q00796
SOX4	False	0	11	0.0			
SOX9	True	2	11	0.18181818181818182	1.0	1.0	E7EPD5
SPINK1	True	2	11	0.18181818181818182	1.0	1.0	P00995
SRI	True	11	11	1.0	10.0	16.0	A8MTH6;B4DKK2;C9J0K6
TBX3	False	0	11	0.0			
TMSB4X	False	0	11	0.0			
TPT1	True	11	11	1.0	5.0	7.0	E9PJF7;P13693
TRIP6	True	8	11	0.7272727272727273	2.0	2.0	Q15654
TST	True	11	11	1.0	15.0	29.0	B1AH48;Q16762
UGT2A3	True	5	11	0.45454545454545453	2.0	2.0	F5GY78;Q6UWM9
ZFP36L1	True	3	11	0.2727272727272727	1.0	1.0	B4E1N3;G3V2D5
ZNF503	False	0	11	0.0			
ZNF703	False	0	11	0.0			
ZNRF3	False	0	11	0.0			
