experiment	gene	pair_number_within_experiment	pair_id	normal_channel	adenoma_channel	normal_log2_ratio_vs_114	adenoma_log2_ratio_vs_114	adenoma_minus_normal_log2	n_unique_peptides_normal	n_unique_peptides_adenoma	passes_author_batch_qc
1	CYCS	2	Exp01_Pair2	117	118	-0.34190279464862844	0.11370049916472831	0.45560329381335674	7	7	True
1	CYCS	3	Exp01_Pair3	119	121	-0.6676111396207338	0.2387868595871165	0.9063979992078504	7	7	True
1	DAB2	1	Exp01_Pair1	115	116	-0.5695193953976232	-0.3584539709124763	0.21106542448514687	2	2	True
1	DAB2	2	Exp01_Pair2	117	118	0.20359750574258836	-0.7720448517408975	-0.9756423574834859	2	2	True
1	DAB2	3	Exp01_Pair3	119	121	-0.0033410723988670336	-0.08680121261603063	-0.0834601402171636	2	2	True
1	DHRS11	1	Exp01_Pair1	115	116	0.01006368334469748	-0.7636604608316264	-0.7737241441763238	3	3	True
1	DHRS11	2	Exp01_Pair2	117	118	0.765534746362977	-1.0115879742752119	-1.777122720638189	3	3	True
1	DHRS11	3	Exp01_Pair3	119	121	0.08542465625267766	-1.1202942337177118	-1.2057188899703895	3	3	True
1	EPCAM	1	Exp01_Pair1	115	116	-0.42687572421413517	-0.03955991548173428	0.3873158087324009	4	4	True
1	EPCAM	2	Exp01_Pair2	117	118	-0.19825863204713695	-0.24774980206949027	-0.049491170022353315	4	4	True
1	EPCAM	3	Exp01_Pair3	119	121	-0.6169746851227302	0.3153452490515696	0.9323199341742998	4	4	True
1	ETHE1	1	Exp01_Pair1	115	116	-0.382538480076358	-0.6699461521489287	-0.28740767207257073	6	6	True
1	ETHE1	2	Exp01_Pair2	117	118	-0.013297807618319394	-0.6750273198911123	-0.6617295122727929	6	6	True
1	ETHE1	3	Exp01_Pair3	119	121	-0.41311646613164676	-0.300704416182998	0.11241204994864878	6	6	True
1	FABP1	1	Exp01_Pair1	115	116	0.32267602427043995	-1.356897474046572	-1.679573498317012	10	10	True
1	FABP1	2	Exp01_Pair2	117	118	0.8473607716621934	-1.3950478718374044	-2.242408643499598	10	10	True
1	FABP1	3	Exp01_Pair3	119	121	0.6160675758573433	-0.14905263137378716	-0.7651202072311305	10	10	True
1	FCGRT	1	Exp01_Pair1	115	116	-0.42399268252039446	-0.4784005509849651	-0.05440786846457063	2	2	True
1	FCGRT	2	Exp01_Pair2	117	118	-0.9376877075044507	-1.3041953166559697	-0.3665076091515189	2	2	True
1	FCGRT	3	Exp01_Pair3	119	121	-0.8256888885536338	-1.1181837350073682	-0.29249484645373447	2	2	True
1	HMGCS2	1	Exp01_Pair1	115	116	-0.21592361483058004	-0.7933567760166047	-0.5774331611860246	15	15	True
1	HMGCS2	2	Exp01_Pair2	117	118	0.16607267594670594	-0.9091624692925515	-1.0752351452392575	15	15	True
1	HMGCS2	3	Exp01_Pair3	119	121	-0.3291596641184381	0.6781150156097892	1.0072746797282273	15	15	True
1	LGALS3	1	Exp01_Pair1	115	116	0.08099026384790993	0.2133111766394577	0.13232091279154778	6	6	True
1	LGALS3	2	Exp01_Pair2	117	118	0.18501956021808702	-0.28591093828420044	-0.47093049850228746	6	6	True
