gene	pride_result_accession	mztab_file	protein_accessions	max_num_psms	max_num_distinct_peptides
LGALS4	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P56470	55	22
LGALS4	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P56470	53	21
LGALS4	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P56470	41	20
LGALS4	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P56470	22	18
LGALS4	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P56470	31	23
LGALS4	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P56470	15	13
LGALS4	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P56470	27	21
LGALS4	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P56470	20	17
LGALS4	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P56470	9	7
MKI67	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	F5H4V4	1	1
MT1G	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P13640	1	1
MT1G	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P13640	1	1
MT1G	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P13640	1	1
MT1G	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P13640	7	4
MYL12A	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P19105	17	13
MYL12A	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P19105	16	12
MYL12A	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P19105	11	7
MYL12A	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P19105	7	5
MYL6	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	F8VXL3;P60660;P60660-2	29	21
MYL6	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	B7Z6Z4;F8W180;P60660;P60660-2	28	19
MYL6	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	B7Z6Z4;F8VZU9;F8VZV5;F8W180;P60660;P60660-2	34	24
MYL6	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	B7Z6Z4;F8W180;P60660;P60660-2	31	22
MYL6	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	B7Z6Z4;F8W180;P60660;P60660-2	40	18
MYL6	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	B7Z6Z4;F8VXL3;G3V1Y7	30	18
MYL6	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	F8VPF3;F8VXL3;G3V1V0	29	21
MYL6	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	B7Z6Z4;F8VXL3	22	16
MYL6	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	F8VXL3;F8W180;P60660-2	30	21
MYL6	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	B7Z6Z4;F8VXL3;F8VZV5;F8W180;G3V1Y7;P60660-2	34	20
MYL6	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	B7Z6Z4;F8VXL3;F8VZU9;F8W180;P60660-2	21	14
NDRG1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	E5RG99;E5RH82;E5RJY1;E5RK17;Q92597	17	13
NDRG1	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	B7Z505;E5RG99;E5RH82;Q92597	13	11
NDRG1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	E5RIV1;Q92597	12	11
NDRG1	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	Q92597	14	10
NDRG1	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	B3KR80;Q92597	24	13
NDRG1	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	B7Z505;E5RGM5;E5RH82;E5RIR1;E5RIV1;E5RJY1;E5RK17;Q92597	7	7
NDRG1	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	B7Z505;E5RIV1;Q92597	7	4
NDRG1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	B3KR80;B7Z505;E5RGM5;E5RIR1;E5RIV1;Q92597	10	8
NDRG1	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	B7Z505;E5RG99;E5RH82;E7ESM1;Q92597	9	7
NDRG1	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	E5RG99;E5RJY1;E5RK17;Q92597	11	8
NDRG1	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	B7Z505;E5RH82;E5RIV1;E5RJY1;E9PDL6;Q92597	5	5
NDUFA1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	O15239	1	1
OLFM4	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	Q6UX06	12	11
OLFM4	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	Q6UX06	13	12
OLFM4	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	Q6UX06	3	2
OLFM4	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	Q6UX06	13	9
OLFM4	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	Q6UX06	25	19
OLFM4	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	Q6UX06	5	4
OLFM4	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	Q6UX06	9	6
OLFM4	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	Q6UX06	11	9
OLFM4	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	Q6UX06	6	5
PCK1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P35558	3	2
PCK1	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P35558	5	3
PCK1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P35558	3	2
PCK1	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	F5GZM4;P35558	3	2
PCK1	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P35558	3	2
PCK1	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	F5GZM4;P35558	2	1
PCK1	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	F5GZM4;P35558	2	2
PCK1	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	B4DT64;F5GZM4;P35558	3	3
PCK1	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P35558	3	3
PRDX6	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P30041	22	16
PRDX6	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P30041	16	14
PRDX6	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P30041	17	15
PRDX6	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P30041	20	16
PRDX6	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P30041	27	15
PRDX6	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P30041	20	16
PRDX6	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P30041	21	20
PRDX6	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P30041	17	14
PRDX6	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P30041	23	18
PRDX6	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P30041	15	14
PRDX6	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P30041	21	17
REG1A	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P05451	6	5
REG1A	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P05451	3	3
REG1A	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P05451	4	3
REG1A	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P05451	2	2
REG1B	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P48304	3	2
REG1B	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P48304	1	1
SLC25A5	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P05141	27	11
SLC25A5	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P05141	33	16
SLC25A5	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P05141	28	19
SLC25A5	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P05141	28	18
SLC25A5	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P05141	38	20
SLC25A5	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P05141	15	11
