gene	pride_result_accession	mztab_file	protein_accessions	max_num_psms	max_num_distinct_peptides
TST	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	Q16762	7	6
TST	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	Q16762	1	1
UGT2A3	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	Q6UWM9	2	2
UGT2A3	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	F5GY78;Q6UWM9	1	1
UGT2A3	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	F5GY78	2	1
UGT2A3	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	Q6UWM9	2	1
UGT2A3	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	Q6UWM9	1	1
ZFP36L1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	G3V2D5	1	1
ZFP36L1	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	B4E1N3	1	1
ZFP36L1	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	G3V2D5	1	1
