module	dataset	species	model_system	comparison	n_units	mean_module_reversal	median_module_reversal	bootstrap_mean_ci_low	bootstrap_mean_ci_high	n_positive_reversal	all_units_positive_reversal	p_exact_sign_two_sided	interpretation_role	consistent_n3
M02	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	0.143299331570979	0.143299331570979	0.143299331570979	0.143299331570979	1	True	1	causal or pathway perturbation	FALSE
M02	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	-0.0406815185770244	-0.0544016180577213	-0.0846483948401204	0.0170054571667685	1	False	0.625	causal or pathway perturbation	FALSE
M02	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	0.0290104817164958	0.134147132661399	-0.246048223925854	0.198932536413943	2	False	1	causal or pathway perturbation	FALSE
M02	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	0.357259511338846	0.505592970684908	-0.142451097132923	0.708636660464551	2	False	1	causal or pathway perturbation	FALSE
M02	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	0.908581637376134	0.908581637376134	0.908581637376134	0.908581637376134	1	True	1	causal or pathway perturbation	FALSE
M02	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	0.156205154568896	0.168440951908463	0.0501149580653874	0.25936337765137	3	False	0.625	causal or pathway perturbation	FALSE
M02	GSE171910	human	conditional_crc_wnt_models	WNT off	4	0.106589636530024	0.0857810775847243	-0.0766789071351332	0.310666739140479	3	False	0.625	causal or pathway perturbation	FALSE
M02	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	0.209800882564688	0.209800882564688	0.209800882564688	0.209800882564688	1	True	1	causal or pathway perturbation	FALSE
M02	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	-0.0602726884808107	-0.0602726884808107	-0.0602726884808107	-0.0602726884808107	0	False	1	causal or pathway perturbation	FALSE
M03	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	-0.0265165445997781	-0.0265165445997781	-0.0265165445997781	-0.0265165445997781	0	False	1	causal or pathway perturbation	FALSE
M03	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	-0.0335654679898199	-0.0401974571388031	-0.0543414704419215	-0.00955838719989041	1	False	0.625	causal or pathway perturbation	FALSE
M03	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	-0.0515995403237996	-0.0243635873801218	-0.204092493411833	0.0736574598205563	1	False	1	causal or pathway perturbation	FALSE
M03	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	0.483964439010855	0.443385885607766	0.28586367450045	0.722643756924348	3	True	0.25	causal or pathway perturbation	TRUE
M03	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	1.24409741909633	1.24409741909633	1.24409741909633	1.24409741909633	1	True	1	causal or pathway perturbation	FALSE
M03	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	0.153497916214901	0.189196843523439	-0.02491342985748	0.296210334978743	3	False	0.625	causal or pathway perturbation	FALSE
M03	GSE171910	human	conditional_crc_wnt_models	WNT off	4	0.00207505285980832	-0.0651291937591747	-0.0827689239029035	0.14710712202022	1	False	0.625	causal or pathway perturbation	FALSE
M03	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	-0.0936732924784327	-0.0936732924784327	-0.0936732924784327	-0.0936732924784327	0	False	1	causal or pathway perturbation	FALSE
M03	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	-0.141529553403403	-0.141529553403403	-0.141529553403403	-0.141529553403403	0	False	1	causal or pathway perturbation	FALSE
M04	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	-0.111064874018846	-0.111064874018846	-0.111064874018846	-0.111064874018846	0	False	1	causal or pathway perturbation	FALSE
M04	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	0.140797791627862	0.128422133022232	0.107014670894987	0.176400055013209	4	True	0.125	causal or pathway perturbation	TRUE
M04	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	0.201545625063649	0.241734157288593	0.0357658262543067	0.327136891648047	3	True	0.25	causal or pathway perturbation	TRUE
M04	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	0.029915201002906	-0.152559790439918	-0.370484050363045	0.612789443811681	1	False	1	causal or pathway perturbation	FALSE
M04	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	-0.75177713434361	-0.75177713434361	-0.75177713434361	-0.75177713434361	0	False	1	causal or pathway perturbation	FALSE
M04	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	-0.0264848446782468	-0.0280796038486499	-0.0838830806594062	0.0309133913029126	2	False	1	causal or pathway perturbation	FALSE
M04	GSE171910	human	conditional_crc_wnt_models	WNT off	4	-0.0424464372178038	-0.042470456233142	-0.10087322885557	0.016004373435301	1	False	0.625	causal or pathway perturbation	FALSE
M04	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	-0.0785208907375524	-0.0785208907375524	-0.0785208907375524	-0.0785208907375524	0	False	1	causal or pathway perturbation	FALSE
M04	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	0.347111433867693	0.347111433867693	0.347111433867693	0.347111433867693	1	True	1	causal or pathway perturbation	FALSE
M05	GSE114059	human	patient_derived_crc_organoid	PRI-724	1	0.0578642538298821	0.0578642538298821	0.0578642538298821	0.0578642538298821	1	True	1	causal or pathway perturbation	FALSE
M05	GSE114059	human	patient_derived_crc_organoid	Trametinib	4	0.080071255438757	0.0832683920041535	0.0157498880673137	0.1443926228102	3	False	0.625	causal or pathway perturbation	FALSE
M05	GSE125472	human	isogenic_human_colon_organoid	WNT− / APC-KO	3	0.315363121182281	0.230895942200254	0.157692672598338	0.557500748748253	3	True	0.25	causal or pathway perturbation	TRUE
M05	GSE125472	human	isogenic_human_colon_organoid	WNT− / WT	3	-0.148557079574056	-0.294214931933157	-0.641598748085873	0.490142441296863	1	False	1	causal or pathway perturbation	FALSE
M05	GSE130822	mouse	colonic_stem_cells	ASCL2 KO	1	-1.27135946131532	-1.27135946131532	-1.27135946131532	-1.27135946131532	0	False	1	causal or pathway perturbation	FALSE
M05	GSE135328	human	crc_cell_line_clone	TCF7L2 KO	4	-0.0736134851999705	-0.0836727971111087	-0.198239393542996	0.0610717350541927	1	False	0.625	causal or pathway perturbation	FALSE
M05	GSE171910	human	conditional_crc_wnt_models	WNT off	4	-0.148024129989311	-0.199641111784814	-0.226466296398053	-0.0179649817850671	1	False	0.625	causal or pathway perturbation	FALSE
M05	GSE67186	mouse	in_vivo_colon_polyp	APC restore	1	-0.221244764955213	-0.221244764955213	-0.221244764955213	-0.221244764955213	0	False	1	causal or pathway perturbation	FALSE
M05	GSE67186	mouse	in_vivo_colon_polyp	APC restore + Kras	1	0.0713891468330864	0.0713891468330864	0.0713891468330864	0.0713891468330864	1	True	1	causal or pathway perturbation	FALSE
