x	y	xend	yend
2	0	2	0.979919068228899
3	0	3	0.979919068228899
2	0.979919068228899	3	0.979919068228899
1	0	1	0.992576250231152
2.5	0.979919068228899	2.5	0.992576250231152
1	0.992576250231152	2.5	0.992576250231152
6	0	6	0.978030608500414
7	0	7	0.978030608500414
6	0.978030608500414	7	0.978030608500414
8	0	8	0.985149205203206
9	0	9	0.985149205203206
8	0.985149205203206	9	0.985149205203206
6.5	0.978030608500414	6.5	0.989765716133612
8.5	0.985149205203206	8.5	0.989765716133612
6.5	0.989765716133612	8.5	0.989765716133612
5	0	5	0.992302544310739
7.5	0.989765716133612	7.5	0.992302544310739
5	0.992302544310739	7.5	0.992302544310739
10	0	10	0.987432578915132
11	0	11	0.987432578915132
10	0.987432578915132	11	0.987432578915132
14	0	14	0.985398279405118
15	0	15	0.985398279405118
14	0.985398279405118	15	0.985398279405118
16	0	16	0.990886046879637
17	0	17	0.990886046879637
16	0.990886046879637	17	0.990886046879637
20	0	20	0.990699364864726
21	0	21	0.990699364864726
20	0.990699364864726	21	0.990699364864726
22	0	22	0.989111026295961
23	0	23	0.989111026295961
22	0.989111026295961	23	0.989111026295961
30	0	30	0.985800783720428
31	0	31	0.985800783720428
30	0.985800783720428	31	0.985800783720428
32	0	32	0.987686362717677
33	0	33	0.987686362717677
32	0.987686362717677	33	0.987686362717677
37	0	37	0.978965849099581
38	0	38	0.978965849099581
37	0.978965849099581	38	0.978965849099581
36	0	36	0.982809530369344
37.5	0.978965849099581	37.5	0.982809530369344
36	0.982809530369344	37.5	0.982809530369344
35	0	35	0.98799137326827
36.75	0.982809530369344	36.75	0.98799137326827
35	0.98799137326827	36.75	0.98799137326827
39	0	39	0.984604834693155
40	0	40	0.984604834693155
39	0.984604834693155	40	0.984604834693155
43	0	43	0.983582886350674
44	0	44	0.983582886350674
43	0.983582886350674	44	0.983582886350674
45	0	45	0.982302225966774
46	0	46	0.982302225966774
45	0.982302225966774	46	0.982302225966774
47	0	47	0.990051221884784
48	0	48	0.990051221884784
47	0.990051221884784	48	0.990051221884784
49	0	49	0.984150962338451
50	0	50	0.984150962338451
49	0.984150962338451	50	0.984150962338451
52	0	52	0.977102235372831
53	0	53	0.977102235372831
52	0.977102235372831	53	0.977102235372831
54	0	54	0.984373108511998
55	0	55	0.984373108511998
54	0.984373108511998	55	0.984373108511998
52.5	0.977102235372831	52.5	0.986994632253998
54.5	0.984373108511998	54.5	0.986994632253998
52.5	0.986994632253998	54.5	0.986994632253998
59	0	59	0.913545139385485
60	0	60	0.913545139385485
59	0.913545139385485	60	0.913545139385485
58	0	58	0.937654977725009
59.5	0.913545139385485	59.5	0.937654977725009
58	0.937654977725009	59.5	0.937654977725009
57	0	57	0.977366934934178
58.75	0.937654977725009	58.75	0.977366934934178
57	0.977366934934178	58.75	0.977366934934178
56	0	56	0.986866281879049
57.875	0.977366934934178	57.875	0.986866281879049
56	0.986866281879049	57.875	0.986866281879049
61	0	61	0.98889648085419
62	0	62	0.98889648085419
61	0.98889648085419	62	0.98889648085419
63	0	63	0.978832314447093
64	0	64	0.978832314447093
63	0.978832314447093	64	0.978832314447093
67	0	67	0.956992433523464
68	0	68	0.956992433523464
67	0.956992433523464	68	0.956992433523464
66	0	66	0.977049575100537
67.5	0.956992433523464	67.5	0.977049575100537
66	0.977049575100537	67.5	0.977049575100537
65	0	65	0.984885056903216
66.75	0.977049575100537	66.75	0.984885056903216
65	0.984885056903216	66.75	0.984885056903216
63.5	0.978832314447093	63.5	0.988443735692339
65.875	0.984885056903216	65.875	0.988443735692339
63.5	0.988443735692339	65.875	0.988443735692339
70	0	70	0.986474117113851
71	0	71	0.986474117113851
70	0.986474117113851	71	0.986474117113851
73	0	73	0.9787884397505
74	0	74	0.9787884397505
73	0.9787884397505	74	0.9787884397505
72	0	72	0.985291507818544
73.5	0.9787884397505	73.5	0.985291507818544
72	0.985291507818544	73.5	0.985291507818544
76	0	76	0.980904258138846
77	0	77	0.980904258138846
76	0.980904258138846	77	0.980904258138846
75	0	75	0.98237658767489
76.5	0.980904258138846	76.5	0.98237658767489
75	0.98237658767489	76.5	0.98237658767489
81	0	81	0.973143478419136
82	0	82	0.973143478419136
81	0.973143478419136	82	0.973143478419136
80	0	80	0.980902257941222
81.5	0.973143478419136	81.5	0.980902257941222
80	0.980902257941222	81.5	0.980902257941222
79	0	79	0.984716557404283
80.75	0.980902257941222	80.75	0.984716557404283
79	0.984716557404283	80.75	0.984716557404283
83	0	83	0.971196665574
84	0	84	0.971196665574
83	0.971196665574	84	0.971196665574
86	0	86	0.966170438675417
87	0	87	0.966170438675417
86	0.966170438675417	87	0.966170438675417
88	0	88	0.964511820745414
89	0	89	0.964511820745414
88	0.964511820745414	89	0.964511820745414
91	0	91	0.95872338899166
92	0	92	0.95872338899166
91	0.95872338899166	92	0.95872338899166
90	0	90	0.970841318184448
91.5	0.95872338899166	91.5	0.970841318184448
90	0.970841318184448	91.5	0.970841318184448
88.5	0.964511820745414	88.5	0.97791790958193
90.75	0.970841318184448	90.75	0.97791790958193
88.5	0.97791790958193	90.75	0.97791790958193
86.5	0.966170438675417	86.5	0.981740932302983
89.625	0.97791790958193	89.625	0.981740932302983
86.5	0.981740932302983	89.625	0.981740932302983
85	0	85	0.983842570468751
88.0625	0.981740932302983	88.0625	0.983842570468751
85	0.983842570468751	88.0625	0.983842570468751
83.5	0.971196665574	83.5	0.985674398494809
86.53125	0.983842570468751	86.53125	0.985674398494809
83.5	0.985674398494809	86.53125	0.985674398494809
79.875	0.984716557404283	79.875	0.986655777917131
85.015625	0.985674398494809	85.015625	0.986655777917131
79.875	0.986655777917131	85.015625	0.986655777917131
78	0	78	0.988970346979227
82.4453125	0.986655777917131	82.4453125	0.988970346979227
78	0.988970346979227	82.4453125	0.988970346979227
93	0	93	0.980112035428087
94	0	94	0.980112035428087
93	0.980112035428087	94	0.980112035428087
95	0	95	0.98284806803507
96	0	96	0.98284806803507
95	0.98284806803507	96	0.98284806803507
98	0	98	0.979374183862177
99	0	99	0.979374183862177
98	0.979374183862177	99	0.979374183862177
97	0	97	0.985282933266292
98.5	0.979374183862177	98.5	0.985282933266292
97	0.985282933266292	98.5	0.985282933266292
100	0	100	0.979934208381354
101	0	101	0.979934208381354
100	0.979934208381354	101	0.979934208381354
102	0	102	0.978574105189885
103	0	103	0.978574105189885
102	0.978574105189885	103	0.978574105189885
104	0	104	0.957550178182807
105	0	105	0.957550178182807
104	0.957550178182807	105	0.957550178182807
106	0	106	0.957218174195658
107	0	107	0.957218174195658
106	0.957218174195658	107	0.957218174195658
110	0	110	0.946404132556778
111	0	111	0.946404132556778
110	0.946404132556778	111	0.946404132556778
109	0	109	0.955477319122778
110.5	0.946404132556778	110.5	0.955477319122778
109	0.955477319122778	110.5	0.955477319122778
108	0	108	0.96059887949856
109.75	0.955477319122778	109.75	0.96059887949856
108	0.96059887949856	109.75	0.96059887949856
106.5	0.957218174195658	106.5	0.975377386617487
108.875	0.96059887949856	108.875	0.975377386617487
106.5	0.975377386617487	108.875	0.975377386617487
104.5	0.957550178182807	104.5	0.983814484388402
107.6875	0.975377386617487	107.6875	0.983814484388402
104.5	0.983814484388402	107.6875	0.983814484388402
114	0	114	0.973905315368757
115	0	115	0.973905315368757
114	0.973905315368757	115	0.973905315368757
113	0	113	0.985711450901097
114.5	0.973905315368757	114.5	0.985711450901097
113	0.985711450901097	114.5	0.985711450901097
118	0	118	0.97837608086458
119	0	119	0.97837608086458
118	0.97837608086458	119	0.97837608086458
122	0	122	0.981267689426906
123	0	123	0.981267689426906
122	0.981267689426906	123	0.981267689426906
124	0	124	0.977633870797865
125	0	125	0.977633870797865
124	0.977633870797865	125	0.977633870797865
126	0	126	0.979174575821051
127	0	127	0.979174575821051
126	0.979174575821051	127	0.979174575821051
124.5	0.977633870797865	124.5	0.986089266081503
126.5	0.979174575821051	126.5	0.986089266081503
124.5	0.986089266081503	126.5	0.986089266081503
128	0	128	0.979269823840209
129	0	129	0.979269823840209
128	0.979269823840209	129	0.979269823840209
131	0	131	0.975386412961209
132	0	132	0.975386412961209
131	0.975386412961209	132	0.975386412961209
133	0	133	0.981551847990793
134	0	134	0.981551847990793
133	0.981551847990793	134	0.981551847990793
135	0	135	0.984832093392105
136	0	136	0.984832093392105
135	0.984832093392105	136	0.984832093392105
139	0	139	0.982725540330387
140	0	140	0.982725540330387
139	0.982725540330387	140	0.982725540330387
142	0	142	0.975425414777701
143	0	143	0.975425414777701
142	0.975425414777701	143	0.975425414777701
141	0	141	0.981567042322425
142.5	0.975425414777701	142.5	0.981567042322425
141	0.981567042322425	142.5	0.981567042322425
146	0	146	0.972527729792014
147	0	147	0.972527729792014
146	0.972527729792014	147	0.972527729792014
145	0	145	0.981429393030425
146.5	0.972527729792014	146.5	0.981429393030425
145	0.981429393030425	146.5	0.981429393030425
144	0	144	0.982924482955782
145.75	0.981429393030425	145.75	0.982924482955782
144	0.982924482955782	145.75	0.982924482955782
150	0	150	0.980768535565856
151	0	151	0.980768535565856
150	0.980768535565856	151	0.980768535565856
152	0	152	0.984812414103791
153	0	153	0.984812414103791
