gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier	direction
CA2	locked_signature_candidate	True	True	-0.50416976	-0.68166378736496	-0.308551739156246	1	-1	True	8	16	1	1	21.6018206866469	18.2820802108958	-3.31974047575112	-6.43005544538618	0	0	2.71934583416613e-06	-3.4389325042047	-3.86091280827527	-3.01695220013413	1.97881751596383e-57	7.07029916883195e-05	8.31103356704807e-56	True	P00918	118	118	1	16.4808549880982	0.856393423557562	0.887535002596018	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	Adenoma-down
PRDX6	locked_signature_candidate	True	True	-0.40287	-0.62816174775362	-0.129642568528652	0.994	-1	True	8	16	1	1	20.8738069258592	19.9291371036917	-0.944669822167569	-3.12818702433289	0	0	2.71934583416613e-06	-1.004065825556	-1.3731124502715	-0.635019200840505	9.68817284548076e-08	7.07029916883195e-05	1.35634419836731e-06	True	P30041	118	118	1	19.7417392730713	0.0808701541329069	0.271152869739747	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	Adenoma-down
EPHB3	locked_signature_candidate	True	True	0.45734045	0.233486159145832	0.717114707827568	1	1	True	7	16	0.875	1	8.70758150776273	14.7530165306102	6.04543502284743	2.73432892587422	0.964285714285714	108	9.78964500299808e-05	5.31265984941443	2.89097709597734	7.73434260285152	1.70993581816556e-05	0.000848435900259834	0.000119695507271589	True	P54753	118	116	0.983050847457627	15.8136148452759	0.652720814005951	0.775105966632066	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	Adenoma-up
OLFM4	current_primary_up_arm	True	True	0.7293857	0.263501511514187	1.29643965363502	0.999	1	True	8	16	1	1	13.6884509738108	16.5766354537296	2.88818447991876	2.06528713329981	0.9609375	123	5.16675708491565e-05	3.44325035011264	1.64356348525881	5.24293721496648	0.00017690474940056	0.000537342736831228	0.000928749934352938	True	Q6UX06	118	98	0.830508474576271	17.2385501861572	0.278621156953869	0.496293935824079	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	Adenoma-up
