module	context	estimate	p_value	direction	evidence_strength
M09	GSE40362	-0.196500779965782	0.708076356002442	Opposite direction	0.149919907278472
M10	GSE40362	0.059447680823615	0.910034334187327	Expected direction	0.0409422221109878
M02	GSE72820	0.0318600851183298	0.846553358549543	Expected direction	0.0723456629616585
M03	GSE72820	0.0488013680520733	0.884796856624167	Expected direction	0.0531564289340468
M04	GSE72820	0.0814448466585477	0.706644915539503	Expected direction	0.150798761536031
M05	GSE72820	-0.296807223982563	0.331951622372881	Opposite direction	0.478925204450807
M06	GSE72820	-0.119553376494545	0.83250097238129	Opposite direction	0.0796152505548774
M09	GSE72820	-0.496680549299265	0.163527160036674	Opposite direction	0.786410105545255
M10	GSE72820	-0.285123281863029	0.280861203138075	Opposite direction	0.55150824807765
M02	Paired FFPE	0.22747556870645	1.20110121560203e-06	Expected direction	5.92042039349196
M03	Paired FFPE	0.0200712134646282	0.561136029650356	Expected direction	0.250931845044584
M04	Paired FFPE	-0.00631169736433765	0.714689540773014	Opposite direction	0.145882573597452
M05	Paired FFPE	-0.119720251570949	0.30691917633565	Opposite direction	0.512975975965121
M06	Paired FFPE	0.137895345951296	0.000395347046518571	Expected direction	3.40302150129668
M09	Paired FFPE	-0.358066347143487	5.78981669878293e-05	Opposite direction	4.2373351854897
M10	Paired FFPE	-0.161956088165332	0.264660821213963	Opposite direction	0.577310344266954
M02	Becker snRNA-seq	1.17084739264927	2.66737083121939e-07	Expected direction	6.57391660232407
M03	Becker snRNA-seq	0.17579355406778	0.364212753201564	Expected direction	0.438644851105364
M04	Becker snRNA-seq	-0.325829680815607	0.0401119118982966	Opposite direction	1.39672663726813
M05	Becker snRNA-seq	-0.0204477800639294	0.937905026535556	Opposite direction	0.0278411366100605
M06	Becker snRNA-seq	1.02094025106797	0.000129492470297537	Expected direction	3.88775548411789
M09	Becker snRNA-seq	-1.0385308653276	1.34539024616268e-05	Opposite direction	4.87115172519869
M10	Becker snRNA-seq	0.188759856730791	0.391201123659323	Expected direction	0.40759990644491
M02	RNA–ATAC	-0.020979020979021	0.948402225236522	Opposite direction	0.0230074357073366
M03	RNA–ATAC	0.195804195804196	0.541935885731317	Expected direction	0.266052090066999
M04	RNA–ATAC	0.13986013986014	0.664633161792668	Expected direction	0.177417993445109
M05	RNA–ATAC	-0.566433566433566	0.0548421197754079	Opposite direction	1.26088576706687
M06	RNA–ATAC	-0.125874125874126	0.696683109395766	Opposite direction	0.156964718509691
M09	RNA–ATAC	-0.685314685314685	0.0139059688143628	Opposite direction	1.8567987489016
M10	RNA–ATAC	-0.412587412587413	0.182563978573167	Opposite direction	0.738584908346848
M02	CRC Atlas	0.227134417744435	0.0586608915095849	Expected direction	1.23165134103581
M03	CRC Atlas	-0.00447784000408739	0.968794571568787	Opposite direction	0.0137683033335489
M04	CRC Atlas	0.891120481602661	1.63258965474155e-10	Expected direction	8
M05	CRC Atlas	0.952580159966806	3.47605518704912e-09	Expected direction	8
M06	CRC Atlas	0.289297564745653	0.0167772797731371	Expected direction	1.77527845323818
M09	CRC Atlas	0.726693286939205	1.86189284746642e-05	Expected direction	4.73004531642294
M10	CRC Atlas	0.60911030279757	4.48446332556894e-05	Expected direction	4.34828952334229
M02	Spatial	0.176811634400503	0.03125	Expected direction	1.50514997831991
M03	Spatial	0.143829812919629	0.03125	Expected direction	1.50514997831991
M04	Spatial	-0.210604445277974	0.03125	Opposite direction	1.50514997831991
M05	Spatial	-0.241362066997674	0.03125	Opposite direction	1.50514997831991
M06	Spatial	0.139718366633136	0.03125	Expected direction	1.50514997831991
M09	Spatial	-0.375336246830425	0.03125	Opposite direction	1.50514997831991
M10	Spatial	-0.21419295306246	0.03125	Opposite direction	1.50514997831991
