module	context	estimate	p_value	direction	evidence_strength
M02	GSE8671	0.718675275798634	0.00447567144303418	Expected direction	2.34914180233014
M03	GSE8671	-0.826895668828989	0.000687407906760661	Opposite direction	3.16278547679179
M04	GSE8671	-0.360923511443165	0.111744440643756	Opposite direction	0.951774074082358
M05	GSE8671	-0.93085467606646	0.000116175332227946	Opposite direction	3.93488607689035
M06	GSE8671	-0.304533712508203	0.221491062272412	Opposite direction	0.654643793974038
M09	GSE8671	-1.84485584040507	8.5676279380789e-19	Opposite direction	8
M10	GSE8671	-0.477971954392104	0.0329369421976618	Opposite direction	1.48231672235886
M02	GSE50114	0.778475104916234	0.0109381082574776	Expected direction	1.96105778260771
M03	GSE50114	0.0703544058245068	0.800025545366086	Expected direction	0.0968961454650508
M04	GSE50114	-0.216890364236418	0.537234073423425	Opposite direction	0.269836450525858
M05	GSE50114	-0.913859531106845	0.00354770106188442	Opposite direction	2.45005298203187
M06	GSE50114	0.259585445390223	0.413014563698043	Expected direction	0.38403463400418
M09	GSE50114	-1.80881381270482	3.06845507361225e-10	Opposite direction	8
M10	GSE50114	-0.249591443085571	0.379331132289041	Opposite direction	0.420981512618863
M02	GSE41657	-0.311121533064519	0.217493657049769	Opposite direction	0.662553404219471
M03	GSE41657	0.520576626115265	0.089293052532438	Expected direction	1.04918233018425
M04	GSE41657	1.38637442359689	1.13384018592553e-12	Expected direction	8
M05	GSE41657	1.03260576981761	6.34408321245244e-09	Expected direction	8
M06	GSE41657	0.636964956257824	0.0982730131415489	Expected direction	1.00756572787302
M09	GSE41657	-0.0066217974103769	0.974981302930734	Opposite direction	0.0110037126213275
M10	GSE41657	1.06708670168858	2.57100636069939e-09	Expected direction	8
M02	GSE40362	0.606093549382333	0.236538180160043	Expected direction	0.626098748818222
M03	GSE40362	-0.20301706946227	0.698807635854637	Opposite direction	0.155642358137568
M04	GSE40362	0.28650286263148	0.583921971439434	Expected direction	0.233645183088528
M05	GSE40362	0.276030402758299	0.597901706387623	Expected direction	0.223370207118951
M06	GSE40362	0.658989523811556	0.19575237818966	Expected direction	0.708292953007581
