cohort	arm	coverage
GSE8671	Adenoma-up	1.92307692307692
GSE8671	Adenoma-down	4.69238790406674
GSE50114	Adenoma-up	92.1945701357466
GSE50114	Adenoma-down	92.4921793534932
GSE41657	Adenoma-up	92.1945701357466
GSE41657	Adenoma-down	92.4921793534932
GSE40362	Adenoma-up	76.9230769230769
GSE40362	Adenoma-down	79.6663190823775
GSE72820	Adenoma-up	90.2714932126697
GSE72820	Adenoma-down	90.3023983315954
