pseudobulk_id	specimen_id	donor_id	route	cell_type	n_cells	library_size
HTA11_1391_2000001011__GOB	HTA11_1391_2000001011	HTA11_1391	Adenoma	Goblet	61	492158
HTA11_1938_2000001011__GOB	HTA11_1938_2000001011	HTA11_1938	Adenoma	Goblet	89	718256
HTA11_1938_2000002011__GOB	HTA11_1938_2000002011	HTA11_1938	Normal	Goblet	88	602027
HTA11_2112_2000002021__GOB	HTA11_2112_2000002021	HTA11_2112	Normal	Goblet	209	2158621
HTA11_2235_2000001011__GOB	HTA11_2235_2000001011	HTA11_2235	Adenoma	Goblet	40	245608
HTA11_2235_2000002021__GOB	HTA11_2235_2000002021	HTA11_2235	Normal	Goblet	160	1028294
HTA11_2487_2000002011__GOB	HTA11_2487_2000002011	HTA11_2487	Normal	Goblet	95	402691
HTA11_2951_2000001011__GOB	HTA11_2951_2000001011	HTA11_2951	Adenoma	Goblet	147	914075
HTA11_2951_2000002011__GOB	HTA11_2951_2000002011	HTA11_2951	Normal	Goblet	214	1084686
HTA11_2951_2000002021__GOB	HTA11_2951_2000002021	HTA11_2951	Normal	Goblet	360	2033551
HTA11_3077_2000002011__GOB	HTA11_3077_2000002011	HTA11_3077	Normal	Goblet	252	1392223
HTA11_3252_2000002011__GOB	HTA11_3252_2000002011	HTA11_3252	Normal	Goblet	44	204458
HTA11_3252_2000002021__GOB	HTA11_3252_2000002021	HTA11_3252	Normal	Goblet	82	410070
HTA11_3361_2000001011__GOB	HTA11_3361_2000001011	HTA11_3361	Adenoma	Goblet	821	4470180
HTA11_3361_2000002011__GOB	HTA11_3361_2000002011	HTA11_3361	Normal	Goblet	207	906835
HTA11_3361_2000002021__GOB	HTA11_3361_2000002021	HTA11_3361	Normal	Goblet	52	355445
HTA11_3410_2000001011__GOB	HTA11_3410_2000001011	HTA11_3410	Adenoma	Goblet	493	2312513
HTA11_3410_2000002021__GOB	HTA11_3410_2000002021	HTA11_3410	Normal	Goblet	342	2069689
HTA11_347_2000001011__GOB	HTA11_347_2000001011	HTA11_347	Adenoma	Goblet	42	443782
HTA11_377_2000001011__GOB	HTA11_377_2000001011	HTA11_377	Normal	Goblet	120	973251
HTA11_392_3000012011__GOB	HTA11_392_3000012011	HTA11_392	Normal	Goblet	87	946177
HTA11_411_2000002011__GOB	HTA11_411_2000002011	HTA11_411	Normal	Goblet	185	1898757
HTA11_411_2000002021__GOB	HTA11_411_2000002021	HTA11_411	Normal	Goblet	469	3461309
HTA11_5216_2000002011__GOB	HTA11_5216_2000002011	HTA11_5216	Normal	Goblet	38	212008
HTA11_5216_2000002021__GOB	HTA11_5216_2000002021	HTA11_5216	Normal	Goblet	87	460910
HTA11_5363_2000002021__GOB	HTA11_5363_2000002021	HTA11_5363	Normal	Goblet	21	124137
HTA11_546_2000001011__GOB	HTA11_546_2000001011	HTA11_546	Adenoma	Goblet	181	1238066
HTA11_546_2000002011__GOB	HTA11_546_2000002011	HTA11_546	Normal	Goblet	110	1143718
HTA11_546_2000002021__GOB	HTA11_546_2000002021	HTA11_546	Normal	Goblet	269	3918253
HTA11_6025_2000002011__GOB	HTA11_6025_2000002011	HTA11_6025	Normal	Goblet	47	414876
