gene	state	effect
ASCL2	ABS	1.85279506697243
ASCL2	GOB	1.85866888573602
ASCL2	TAC	2.41659396148136
AXIN2	ABS	0.865587286815571
AXIN2	GOB	1.06183079642775
AXIN2	TAC	1.60840041609863
RNF43	ABS	0.897928039701563
RNF43	GOB	1.22842317985594
RNF43	TAC	1.47168403849931
COX6C	ABS	-0.536016370291033
COX6C	GOB	-0.767673351441992
COX6C	TAC	-0.868155559452156
ZNRF3	ABS	0.373367799922834
ZNRF3	GOB	0.986009575669988
ZNRF3	TAC	0.851640808182308
CA2	ABS	-0.709511316249021
CA2	GOB	-1.24270491172927
CA2	TAC	-1.11213222995024
EPHB2	ABS	0.507957875536871
EPHB2	GOB	0.773376175739133
EPHB2	TAC	0.701570717914535
ACAA2	ABS	-0.49113837588938
ACAA2	GOB	-0.603295877506139
ACAA2	TAC	-0.645520749916044
OLFM4	ABS	1.34611687402887
OLFM4	GOB	2.22413732742572
OLFM4	TAC	1.74805021457027
FABP1	ABS	-0.589478554040155
FABP1	GOB	-0.810654665077469
FABP1	TAC	-0.686006148211194
