gene	expected_direction_x	direction_stability	n_pairs	median_normal	median_adenoma	median_paired_delta	mean_paired_delta	mean_delta_ci_low	mean_delta_ci_high	paired_cohen_dz	paired_positive_fraction	p_paired_wilcoxon	p_paired_t	expected_direction_y	gse117606_direction_match	q_paired_wilcoxon_bh_candidates	arm
EPHB2	1	1	51	4.985514612	5.934696575	0.922661953	0.889518568058823	0.732867010278731	1.04617012583892	1.59705484140549	0.901960784313726	2.3595066045177e-09	1.60465427073231e-15	1	True	9.43802641807081e-09	Adenoma-up
RNF43	1	0.851851851851852	51	4.948914541	6.693633326	1.890166916	1.72319038894118	1.44882664706582	1.99755413081653	1.76646922609582	0.980392156862745	1.57480399132605e-09	3.71784287732291e-17	1	True	9.43802641807081e-09	Adenoma-up
REG1A	1	0.962962962962963	51	1.800417576	4.474485962	1.768193289	1.88869047827451	1.02087320762234	2.75650774892668	0.612113603810907	0.803921568627451	4.93443032883568e-05	6.24678239109944e-05	1	True	0.000131584808768951	Adenoma-up
B2M	-1	0.888888888888889	51	9.929564016	9.559071082	-0.226956878999999	-0.327529096470588	-0.479145558149093	-0.175912634792083	-0.607579426393849	0.254901960784314	0.000121479331642215	6.95234461169749e-05	-1	True	0.00024295866328443	Adenoma-down
CALM2	-1	1	51	7.381830628	6.997165886	-0.313930199	-0.367872543901961	-0.567651523838514	-0.168093563965408	-0.517901434310438	0.254901960784314	0.00033062999843434	0.000539489658174947	-1	True	0.000529007997494943	Adenoma-down
LTBP1	1	0.962962962962963	51	4.157410636	4.101434706	0.00059015200000001	-0.00548635994117646	-0.150628846256156	0.139656126373803	-0.010631370855358	0.509803921568627	0.903013799883877	0.939783197540572	1	True	0.903013799883877	Adenoma-up
COX6C	-1	0.925925925925926	51	6.048949174	6.185256735	-0.0289033510000003	0.0264955796078432	-0.14367865449186	0.196669813707546	0.0437904239035093	0.470588235294118	0.895594522568835	0.755789360247074	-1	True	0.903013799883877	Adenoma-down
ACAA2	-1	0.703703703703704	51	6.04905241	6.054379586	0.0408824169999997	-0.0395310230392157	-0.149999305244652	0.0709372591662209	-0.100646802605871	0.568627450980392	0.836621978498185	0.475633338074611	-1	False	0.903013799883877	Adenoma-down
